카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년10월_계_총인구수,"114,931","12,135","2,690","2,956","1,476","2,357","2,511","3,589","1,985","4,717","4,413","3,450","1,912","4,294","7,727","2,737","5,075","8,979","3,385","3,531","35,012"
2020년10월_계_연령구간인구수,"114,931","12,135","2,690","2,956","1,476","2,357","2,511","3,589","1,985","4,717","4,413","3,450","1,912","4,294","7,727","2,737","5,075","8,979","3,385","3,531","35,012"
2020년10월_계_0~9세,"10,074","1,143",57,76,17,85,47,65,35,96,142,85,38,122,648,156,242,763,117,131,"6,009"
2020년10월_계_10~19세,"9,392",794,157,144,50,126,83,157,56,173,216,141,54,204,873,227,367,943,264,213,"4,150"
2020년10월_계_20~29세,"12,212","1,211",200,253,109,154,175,240,120,352,400,320,111,309,"1,153",348,552,"1,332",286,391,"4,196"
2020년10월_계_30~39세,"14,524","1,651",135,172,71,127,130,209,90,275,331,254,106,247,960,266,406,975,237,293,"7,589"
2020년10월_계_40~49세,"16,375","1,719",224,262,121,231,191,307,167,416,453,372,162,387,"1,249",415,616,"1,374",319,438,"6,952"
2020년10월_계_50~59세,"17,229","1,969",477,548,259,377,399,613,348,890,789,689,385,733,"1,276",448,876,"1,474",646,626,"3,407"
2020년10월_계_60~69세,"15,947","1,876",574,617,333,506,565,809,437,"1,079",875,714,437,896,807,397,875,"1,034",641,671,"1,804"
2020년10월_계_70~79세,"11,536","1,125",502,496,280,429,526,657,386,790,757,509,365,829,464,299,749,711,527,481,654
2020년10월_계_80~89세,"6,588",563,308,340,202,289,352,460,299,544,375,317,224,493,263,149,340,315,298,234,223
2020년10월_계_90~99세,992,81,51,46,34,29,43,68,46,97,68,49,29,69,33,32,49,58,46,38,26
2020년10월_계_100세 이상,62,3,5,2,0,4,0,4,1,5,7,0,1,5,1,0,3,0,4,15,2
2020년10월_남_총인구수,"57,830","6,103","1,344","1,537",728,"1,172","1,236","1,797",966,"2,415","2,306","1,790",989,"2,220","3,834","1,358","2,552","4,509","1,722","1,853","17,399"
2020년10월_남_연령구간인구수,"57,830","6,103","1,344","1,537",728,"1,172","1,236","1,797",966,"2,415","2,306","1,790",989,"2,220","3,834","1,358","2,552","4,509","1,722","1,853","17,399"
2020년10월_남_0~9세,"5,145",586,27,38,7,41,21,33,15,56,77,39,23,61,324,74,138,396,69,61,"3,059"
2020년10월_남_10~19세,"4,858",417,84,82,26,67,50,98,31,86,119,72,26,120,443,118,219,503,121,107,"2,069"
2020년10월_남_20~29세,"6,446",645,111,142,71,88,110,138,70,193,224,187,64,176,633,199,305,733,156,221,"1,980"
2020년10월_남_30~39세,"7,575",848,76,116,51,72,74,141,55,167,208,151,60,141,505,139,214,490,134,175,"3,758"
2020년10월_남_40~49세,"9,143",967,154,174,78,147,129,201,115,279,283,237,107,257,631,231,335,708,198,273,"3,639"
2020년10월_남_50~59세,"9,391",986,287,336,149,222,228,337,201,518,471,412,231,457,657,235,459,769,386,385,"1,665"
2020년10월_남_60~69세,"8,089",956,300,332,162,267,304,426,231,574,459,370,243,469,380,185,430,480,333,342,846
2020년10월_남_70~79세,"5,001",514,216,218,127,177,208,276,149,352,331,218,160,363,179,125,321,321,218,217,311
2020년10월_남_80~89세,"1,963",161,84,94,50,85,100,135,89,170,120,91,67,157,73,49,120,97,94,61,66
2020년10월_남_90~99세,209,23,5,5,7,6,12,11,10,20,13,13,7,18,9,3,11,12,13,6,5
2020년10월_남_100세 이상,10,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,1
2020년10월_여_총인구수,"57,101","6,032","1,346","1,419",748,"1,185","1,275","1,792","1,019","2,302","2,107","1,660",923,"2,074","3,893","1,379","2,523","4,470","1,663","1,678","17,613"
