카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년12월_계_총인구수,"387,350","24,049","19,029","14,784","33,478","21,756","24,759","24,046","20,341","19,611","24,875","34,443","18,718","32,155","16,359","38,512","20,435"
2021년12월_계_연령구간인구수,"387,350","24,049","19,029","14,784","33,478","21,756","24,759","24,046","20,341","19,611","24,875","34,443","18,718","32,155","16,359","38,512","20,435"
2021년12월_계_0~9세,"21,285","1,144","1,003","1,385","1,399","1,113","1,006","1,676",751,"1,110","1,006","2,136",942,"1,858",691,"2,893","1,172"
2021년12월_계_10~19세,"25,432","1,450","1,192",872,"1,791","1,171","1,373","1,848",734,"1,262","1,108","2,991","1,149","2,031","1,040","3,790","1,630"
2021년12월_계_20~29세,"54,128","3,212","2,445","1,757","5,187","2,967","3,627","3,387","4,228","2,747","3,611","4,829","2,628","4,206","2,163","4,726","2,408"
2021년12월_계_30~39세,"57,025","3,221","2,655","2,658","5,184","3,265","3,500","3,569","4,492","3,133","3,664","4,706","2,850","4,608","2,029","4,690","2,801"
2021년12월_계_40~49세,"55,710","3,473","2,927","2,313","4,761","3,056","3,332","3,461","2,559","2,702","3,290","5,546","2,763","4,433","2,221","5,857","3,016"
2021년12월_계_50~59세,"67,518","4,768","3,289","2,425","6,136","3,779","4,574","4,192","3,055","3,193","4,733","5,536","3,152","5,689","3,180","6,360","3,457"
2021년12월_계_60~69세,"60,705","3,819","3,021","1,984","5,086","3,661","4,131","3,536","2,608","3,194","4,276","4,873","3,005","5,423","2,873","5,830","3,385"
2021년12월_계_70~79세,"31,176","2,049","1,806",995,"2,746","1,945","2,222","1,576","1,316","1,609","2,152","2,611","1,554","2,645","1,475","2,835","1,640"
2021년12월_계_80~89세,"12,702",795,621,363,"1,075",705,873,708,526,595,947,"1,078",606,"1,097",591,"1,313",809
2021년12월_계_90~99세,"1,602",115,66,32,109,93,117,90,68,65,87,123,66,157,94,208,112
2021년12월_계_100세 이상,67,3,4,0,4,1,4,3,4,1,1,14,3,8,2,10,5
2021년12월_남_총인구수,"191,112","12,000","9,470","7,421","16,582","10,934","12,272","11,714","9,801","9,624","12,781","16,639","9,173","16,110","8,204","18,652","9,735"
2021년12월_남_연령구간인구수,"191,112","12,000","9,470","7,421","16,582","10,934","12,272","11,714","9,801","9,624","12,781","16,639","9,173","16,110","8,204","18,652","9,735"
2021년12월_남_0~9세,"10,961",595,527,683,718,617,524,849,370,565,549,"1,094",481,941,367,"1,479",602
2021년12월_남_10~19세,"12,917",719,623,446,866,601,711,981,392,621,587,"1,520",598,"1,012",467,"1,945",828
2021년12월_남_20~29세,"26,637","1,610","1,266",888,"2,578","1,487","1,811","1,675","1,759","1,345","1,798","2,289","1,275","2,104","1,115","2,415","1,222"
2021년12월_남_30~39세,"29,325","1,680","1,387","1,331","2,745","1,680","1,867","1,800","2,261","1,637","1,939","2,380","1,452","2,397","1,095","2,282","1,392"
2021년12월_남_40~49세,"28,844","1,852","1,544","1,255","2,515","1,637","1,738","1,732","1,328","1,414","1,774","2,732","1,408","2,376","1,145","2,882","1,512"
2021년12월_남_50~59세,"33,407","2,426","1,642","1,230","3,049","1,869","2,261","1,999","1,549","1,515","2,541","2,665","1,567","2,869","1,597","3,014","1,614"
2021년12월_남_60~69세,"29,431","1,856","1,433",987,"2,464","1,812","1,965","1,702","1,279","1,530","2,197","2,257","1,399","2,735","1,463","2,808","1,544"
2021년12월_남_70~79세,"14,208",918,777,457,"1,205",922,"1,011",691,616,744,989,"1,211",725,"1,245",686,"1,306",705
2021년12월_남_80~89세,"5,012",318,249,135,421,287,353,269,227,240,384,460,253,393,251,488,284
2021년12월_남_90~99세,352,26,21,9,19,22,30,16,19,13,22,25,14,35,18,33,30
2021년12월_남_100세 이상,18,0,1,0,2,0,1,0,1,0,1,6,1,3,0,0,2
2021년12월_여_총인구수,"196,238","12,049","9,559","7,363","16,896","10,822","12,487","12,332","10,540","9,987","12,094","17,804","9,545","16,045","8,155","19,860","10,700"
2021년12월_여_연령구간인구수,"196,238","12,049","9,559","7,363","16,896","10,822","12,487","12,332","10,540","9,987","12,094","17,804","9,545","16,045","8,155","19,860","10,700"
2021년12월_여_0~9세,"10,324",549,476,702,681,496,482,827,381,545,457,"1,042",461,917,324,"1,414",570
2021년12월_여_10~19세,"12,515",731,569,426,925,570,662,867,342,641,521,"1,471",551,"1,019",573,"1,845",802
2021년12월_여_20~29세,"27,491","1,602","1,179",869,"2,609","1,480","1,816","1,712","2,469","1,402","1,813","2,540","1,353","2,102","1,048","2,311","1,186"
2021년12월_여_30~39세,"27,700","1,541","1,268","1,327","2,439","1,585","1,633","1,769","2,231","1,496","1,725","2,326","1,398","2,211",934,"2,408","1,409"
2021년12월_여_40~49세,"26,866","1,621","1,383","1,058","2,246","1,419","1,594","1,729","1,231","1,288","1,516","2,814","1,355","2,057","1,076","2,975","1,504"
2021년12월_여_50~59세,"34,111","2,342","1,647","1,195","3,087","1,910","2,313","2,193","1,506","1,678","2,192","2,871","1,585","2,820","1,583","3,346","1,843"
2021년12월_여_60~69세,"31,274","1,963","1,588",997,"2,622","1,849","2,166","1,834","1,329","1,664","2,079","2,616","1,606","2,688","1,410","3,022","1,841"
