,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년05월_계_총인구수,"369,970","25,299","37,342","21,371","21,705","14,360","15,412","22,708","24,886","25,014","17,639","20,522","18,746","15,279","19,097","39,795","30,795"
2021년05월_계_연령구간인구수,"369,970","25,299","37,342","21,371","21,705","14,360","15,412","22,708","24,886","25,014","17,639","20,522","18,746","15,279","19,097","39,795","30,795"
2021년05월_계_0~9세,"24,400","2,773","2,241","1,461","2,191",653,"1,379","1,685","1,790",806,"1,000","1,006","1,133",589,919,"2,389","2,385"
2021년05월_계_10~19세,"28,118","1,669","2,250","1,589","2,041",854,"1,414","1,862","1,736","1,197",927,"1,312","1,534",783,"1,432","3,403","4,115"
2021년05월_계_20~29세,"61,690","3,093","6,236","2,915","2,221","3,453","2,253","3,375","4,981","6,270","3,360","3,410","2,839","3,236","3,148","6,608","4,292"
2021년05월_계_30~39세,"64,041","4,988","6,498","3,621","3,680","2,405","2,419","3,658","4,142","5,355","3,656","3,875","2,929","3,054","3,319","6,592","3,850"
2021년05월_계_40~49세,"60,458","4,277","5,364","3,120","4,385","2,052","2,828","3,817","3,954","3,667","2,614","3,196","3,195","2,290","3,294","6,419","5,986"
2021년05월_계_50~59세,"54,426","3,790","6,271","3,464","2,988","2,040","2,291","3,578","3,622","3,061","2,354","2,977","2,829","1,975","2,842","5,814","4,530"
2021년05월_계_60~69세,"40,275","2,762","4,539","2,705","2,207","1,497","1,453","2,479","2,508","2,287","1,937","2,438","2,179","1,719","2,224","4,313","3,028"
2021년05월_계_70~79세,"23,715","1,177","2,520","1,520","1,267",868,871,"1,474","1,382","1,496","1,175","1,568","1,457","1,050","1,323","2,867","1,700"
2021년05월_계_80~89세,"11,176",658,"1,261",848,626,457,439,683,679,735,533,654,585,499,538,"1,193",788
2021년05월_계_90~99세,"1,567",102,149,127,96,70,53,92,90,131,80,82,60,79,55,191,110
2021년05월_계_100세 이상,104,10,13,1,3,11,12,5,2,9,3,4,6,5,3,6,11
2021년05월_남_총인구수,"174,194","11,868","17,600","10,242","10,221","6,936","7,456","11,025","11,837","11,465","8,181","9,626","8,819","7,212","8,963","18,072","14,671"
2021년05월_남_연령구간인구수,"174,194","11,868","17,600","10,242","10,221","6,936","7,456","11,025","11,837","11,465","8,181","9,626","8,819","7,212","8,963","18,072","14,671"
2021년05월_남_0~9세,"12,444","1,355","1,177",793,"1,058",347,700,856,939,409,509,512,586,290,451,"1,195","1,267"
2021년05월_남_10~19세,"14,171",810,"1,117",824,994,456,712,988,876,574,454,652,756,416,701,"1,775","2,066"
2021년05월_남_20~29세,"27,739","1,343","2,723","1,407","1,021","1,548","1,072","1,722","2,329","2,674","1,470","1,576","1,308","1,487","1,476","2,662","1,921"
2021년05월_남_30~39세,"30,242","2,295","3,135","1,746","1,691","1,212","1,138","1,789","1,954","2,491","1,752","1,850","1,369","1,489","1,603","2,972","1,756"
2021년05월_남_40~49세,"29,372","2,152","2,648","1,514","2,100","1,029","1,438","1,773","1,896","1,791","1,264","1,544","1,568","1,147","1,574","3,073","2,861"
2021년05월_남_50~59세,"26,726","1,832","3,078","1,650","1,501","1,068","1,162","1,793","1,741","1,481","1,104","1,468","1,386",939,"1,342","2,838","2,343"
2021년05월_남_60~69세,"18,711","1,319","2,182","1,274","1,046",718,696,"1,188","1,206","1,043",892,"1,101",958,776,"1,005","1,937","1,370"
2021년05월_남_70~79세,"10,010",484,"1,054",693,539,356,335,609,589,648,513,660,627,446,565,"1,144",748
2021년05월_남_80~89세,"4,305",249,442,314,244,181,184,275,278,307,199,237,240,192,228,427,308
2021년05월_남_90~99세,439,27,42,27,27,17,16,30,29,41,23,25,19,28,16,44,28
