,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년09월_계_총인구수,"318,718","24,876","29,193","13,937","26,708","24,678","21,106","26,988","21,434","18,786","16,528","18,730","28,794","19,703","27,257"
2021년09월_계_연령구간인구수,"318,718","24,876","29,193","13,937","26,708","24,678","21,106","26,988","21,434","18,786","16,528","18,730","28,794","19,703","27,257"
2021년09월_계_0~9세,"17,452","1,465","1,651",704,"1,666","1,476",814,"1,539","1,120",956,766,"1,135","1,474",854,"1,832"
2021년09월_계_10~19세,"24,574","2,073","2,171","1,046","2,551","1,882","1,125","1,616","1,565","1,335","1,010","1,939","2,145","1,440","2,676"
2021년09월_계_20~29세,"42,083","3,260","4,129","1,758","3,592","3,609","2,540","3,220","2,905","2,478","2,433","2,475","3,890","2,583","3,211"
2021년09월_계_30~39세,"39,409","3,327","3,964","1,625","3,325","3,444","2,254","3,468","2,506","2,469","2,283","2,243","3,286","2,132","3,083"
2021년09월_계_40~49세,"46,579","3,924","4,452","2,090","4,266","3,454","2,839","3,643","3,102","2,681","2,360","2,841","4,152","2,718","4,057"
2021년09월_계_50~59세,"56,024","4,210","5,102","2,510","4,837","4,290","3,710","4,423","3,703","3,257","2,850","3,376","5,296","3,727","4,733"
2021년09월_계_60~69세,"51,077","3,561","4,267","2,231","3,689","3,802","3,979","4,868","3,439","3,088","2,510","2,879","4,772","3,410","4,582"
2021년09월_계_70~79세,"27,469","1,962","2,328","1,366","1,692","1,762","2,674","2,814","2,054","1,624","1,590","1,153","2,643","1,912","1,895"
2021년09월_계_80~89세,"12,258",967,"1,011",555,930,833,"1,054","1,179",911,769,641,591,980,821,"1,016"
2021년09월_계_90~99세,"1,670",119,114,45,149,123,115,193,113,109,78,96,151,99,166
2021년09월_계_100세 이상,123,8,4,7,11,3,2,25,16,20,7,2,5,7,6
2021년09월_남_총인구수,"155,212","11,798","14,208","6,981","12,827","11,815","10,659","13,184","10,331","9,011","8,022","8,859","14,298","9,959","13,260"
2021년09월_남_연령구간인구수,"155,212","11,798","14,208","6,981","12,827","11,815","10,659","13,184","10,331","9,011","8,022","8,859","14,298","9,959","13,260"
2021년09월_남_0~9세,"9,083",749,857,370,872,774,399,794,591,491,390,604,735,451,"1,006"
2021년09월_남_10~19세,"12,619","1,049","1,119",552,"1,287",957,599,833,740,700,526,972,"1,089",742,"1,454"
2021년09월_남_20~29세,"21,381","1,599","2,072",919,"1,821","1,764","1,367","1,623","1,393","1,257","1,191","1,243","1,995","1,417","1,720"
2021년09월_남_30~39세,"20,137","1,654","1,995",868,"1,606","1,732","1,236","1,770","1,287","1,272","1,190","1,102","1,682","1,192","1,551"
2021년09월_남_40~49세,"23,129","1,911","2,261","1,080","2,011","1,656","1,556","1,843","1,574","1,370","1,211","1,281","2,066","1,408","1,901"
2021년09월_남_50~59세,"26,765","1,958","2,419","1,267","2,283","1,972","1,836","2,163","1,796","1,469","1,341","1,536","2,664","1,849","2,212"
2021년09월_남_60~69세,"24,205","1,631","1,978","1,066","1,782","1,781","1,934","2,297","1,606","1,426","1,179","1,363","2,329","1,672","2,161"
2021년09월_남_70~79세,"12,618",845,"1,048",619,774,813,"1,260","1,346",938,704,693,541,"1,293",869,875
2021년09월_남_80~89세,"4,787",369,430,230,339,329,430,467,372,284,277,190,406,327,337
2021년09월_남_90~99세,451,30,29,8,46,36,41,44,29,30,22,27,38,30,41
2021년09월_남_100세 이상,37,3,0,2,6,1,1,4,5,8,2,0,1,2,2
2021년09월_여_총인구수,"163,506","13,078","14,985","6,956","13,881","12,863","10,447","13,804","11,103","9,775","8,506","9,871","14,496","9,744","13,997"
2021년09월_여_연령구간인구수,"163,506","13,078","14,985","6,956","13,881","12,863","10,447","13,804","11,103","9,775","8,506","9,871","14,496","9,744","13,997"
2021년09월_여_0~9세,"8,369",716,794,334,794,702,415,745,529,465,376,531,739,403,826
2021년09월_여_10~19세,"11,955","1,024","1,052",494,"1,264",925,526,783,825,635,484,967,"1,056",698,"1,222"
2021년09월_여_20~29세,"20,702","1,661","2,057",839,"1,771","1,845","1,173","1,597","1,512","1,221","1,242","1,232","1,895","1,166","1,491"
2021년09월_여_30~39세,"19,272","1,673","1,969",757,"1,719","1,712","1,018","1,698","1,219","1,197","1,093","1,141","1,604",940,"1,532"
2021년09월_여_40~49세,"23,450","2,013","2,191","1,010","2,255","1,798","1,283","1,800","1,528","1,311","1,149","1,560","2,086","1,310","2,156"
2021년09월_여_50~59세,"29,259","2,252","2,683","1,243","2,554","2,318","1,874","2,260","1,907","1,788","1,509","1,840","2,632","1,878","2,521"
