카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년06월_계_총인구수,"312,774","5,318","7,245","9,798","14,220","14,778","10,960","17,068","12,811","12,959","33,076","13,669","26,702","14,333","21,071","12,891","32,441","51,166","2,268"
2020년06월_계_연령구간인구수,"312,774","5,318","7,245","9,798","14,220","14,778","10,960","17,068","12,811","12,959","33,076","13,669","26,702","14,333","21,071","12,891","32,441","51,166","2,268"
2020년06월_계_0~9세,"24,911",250,291,411,720,927,928,960,"1,101",514,"3,021","1,103","2,532","1,083","1,629","1,134","3,226","5,011",70
2020년06월_계_10~19세,"31,954",387,482,595,963,"1,320","1,150","1,613","1,571",927,"4,222","1,259","3,280","1,167","1,991","1,541","4,338","5,049",99
2020년06월_계_20~29세,"40,475",719,992,"1,345","1,888","1,878","1,312","2,415","1,680","2,071","4,236","1,718","3,279","1,739","2,538","1,656","3,739","7,061",209
2020년06월_계_30~39세,"44,097",690,823,"1,209","2,007","1,869","1,353","2,032","1,703","1,776","4,047","2,417","3,141","2,665","3,083","2,158","4,188","8,698",238
2020년06월_계_40~49세,"53,927",777,"1,019","1,416","2,029","2,405","1,866","2,577","2,392","1,884","6,160","2,387","5,126","2,510","3,623","2,463","6,303","8,749",241
2020년06월_계_50~59세,"52,021","1,044","1,379","1,860","2,486","2,551","1,846","3,112","2,162","2,705","5,522","2,179","4,481","2,171","3,292","1,959","4,830","7,995",447
2020년06월_계_60~69세,"38,015",799,"1,248","1,633","2,366","2,148","1,450","2,564","1,300","1,918","3,588","1,547","2,947","1,572","2,516","1,164","3,546","5,200",509
2020년06월_계_70~79세,"18,401",432,703,935,"1,255","1,159",746,"1,239",619,761,"1,500",768,"1,290",844,"1,492",515,"1,527","2,356",260
2020년06월_계_80~89세,"7,706",187,274,344,429,457,265,484,235,343,668,260,529,497,783,269,613,898,171
2020년06월_계_90~99세,"1,125",30,30,46,58,58,37,64,46,52,104,29,90,69,116,31,114,134,17
2020년06월_계_100세 이상,142,3,4,4,19,6,7,8,2,8,8,2,7,16,8,1,17,15,7
2020년06월_남_총인구수,"154,425","2,668","3,545","4,769","6,961","7,296","5,414","8,437","6,275","6,729","16,232","6,825","13,350","6,790","9,967","6,284","15,867","25,727","1,289"
2020년06월_남_연령구간인구수,"154,425","2,668","3,545","4,769","6,961","7,296","5,414","8,437","6,275","6,729","16,232","6,825","13,350","6,790","9,967","6,284","15,867","25,727","1,289"
2020년06월_남_0~9세,"12,742",126,145,208,366,475,450,479,569,261,"1,547",563,"1,295",539,863,597,"1,638","2,583",38
2020년06월_남_10~19세,"16,438",216,253,317,461,695,584,816,798,485,"2,179",656,"1,668",607,"1,030",802,"2,241","2,568",62
2020년06월_남_20~29세,"21,179",398,513,712,"1,004","1,007",692,"1,290",867,"1,109","2,203",901,"1,776",862,"1,258",835,"1,930","3,703",119
2020년06월_남_30~39세,"22,286",384,452,647,"1,070",980,685,"1,080",821,"1,007","1,895","1,228","1,500","1,373","1,516","1,092","1,977","4,435",144
2020년06월_남_40~49세,"26,748",404,522,721,"1,022","1,232",919,"1,265","1,134",992,"2,919","1,203","2,540","1,257","1,777","1,176","3,046","4,474",145
2020년06월_남_50~59세,"25,818",519,679,907,"1,211","1,231",923,"1,487","1,076","1,406","2,734","1,099","2,289","1,005","1,585",945,"2,409","4,040",273
2020년06월_남_60~69세,"18,151",382,562,716,"1,096",992,707,"1,241",649,985,"1,758",733,"1,492",660,"1,140",545,"1,694","2,507",292
2020년06월_남_70~79세,"8,216",178,317,399,567,509,361,580,261,338,737,351,605,327,549,201,712,"1,088",136
2020년06월_남_80~89세,"2,547",54,91,124,144,160,83,184,86,128,237,86,162,141,223,85,192,293,74
2020년06월_남_90~99세,263,7,11,16,15,13,9,13,14,15,20,5,22,14,25,6,24,30,4
2020년06월_남_100세 이상,37,0,0,2,5,2,1,2,0,3,3,0,1,5,1,0,4,6,2
2020년06월_여_총인구수,"158,349","2,650","3,700","5,029","7,259","7,482","5,546","8,631","6,536","6,230","16,844","6,844","13,352","7,543","11,104","6,607","16,574","25,439",979
2020년06월_여_연령구간인구수,"158,349","2,650","3,700","5,029","7,259","7,482","5,546","8,631","6,536","6,230","16,844","6,844","13,352","7,543","11,104","6,607","16,574","25,439",979
2020년06월_여_0~9세,"12,169",124,146,203,354,452,478,481,532,253,"1,474",540,"1,237",544,766,537,"1,588","2,428",32
2020년06월_여_10~19세,"15,516",171,229,278,502,625,566,797,773,442,"2,043",603,"1,612",560,961,739,"2,097","2,481",37
2020년06월_여_20~29세,"19,296",321,479,633,884,871,620,"1,125",813,962,"2,033",817,"1,503",877,"1,280",821,"1,809","3,358",90
2020년06월_여_30~39세,"21,811",306,371,562,937,889,668,952,882,769,"2,152","1,189","1,641","1,292","1,567","1,066","2,211","4,263",94
2020년06월_여_40~49세,"27,179",373,497,695,"1,007","1,173",947,"1,312","1,258",892,"3,241","1,184","2,586","1,253","1,846","1,287","3,257","4,275",96
2020년06월_여_50~59세,"26,203",525,700,953,"1,275","1,320",923,"1,625","1,086","1,299","2,788","1,080","2,192","1,166","1,707","1,014","2,421","3,955",174
2020년06월_여_60~69세,"19,864",417,686,917,"1,270","1,156",743,"1,323",651,933,"1,830",814,"1,455",912,"1,376",619,"1,852","2,693",217
2020년06월_여_70~79세,"10,185",254,386,536,688,650,385,659,358,423,763,417,685,517,943,314,815,"1,268",124
2020년06월_여_80~89세,"5,159",133,183,220,285,297,182,300,149,215,431,174,367,356,560,184,421,605,97
2020년06월_여_90~99세,862,23,19,30,43,45,28,51,32,37,84,24,68,55,91,25,90,104,13
2020년06월_여_100세 이상,105,3,4,2,14,4,6,6,2,5,5,2,6,11,7,1,13,9,5
