,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년11월_계_총인구수,"542,611","45,910","41,436","31,397","48,933","30,380","28,293","6,637","9,833","22,755","13,455","14,329","32,205","12,250","20,549","16,583","10,914","33,051","22,827","24,564","28,320","24,738","23,252"
2020년11월_계_연령구간인구수,"542,611","45,910","41,436","31,397","48,933","30,380","28,293","6,637","9,833","22,755","13,455","14,329","32,205","12,250","20,549","16,583","10,914","33,051","22,827","24,564","28,320","24,738","23,252"
2020년11월_계_0~9세,"50,207","4,679","2,413","3,875","6,904","4,739","3,293",340,475,"1,238",711,621,"2,777",621,"1,427",671,798,"2,711","1,932","2,568","2,973","2,304","2,137"
2020년11월_계_10~19세,"56,677","4,442","3,577","4,415","6,295","3,826","2,130",419,771,"1,569",942,"1,238","3,036",893,"1,953","1,286",789,"3,455","2,850","3,504","3,323","2,674","3,290"
2020년11월_계_20~29세,"72,752","6,541","6,586","3,908","5,745","3,269","3,480","1,041","1,590","3,295","1,747","2,211","4,309","1,731","2,998","2,351","1,403","4,736","2,873","2,727","3,881","3,158","3,172"
2020년11월_계_30~39세,"79,806","8,346","4,972","5,807","8,314","5,674","4,950",886,"1,191","2,981","1,582","1,551","4,526","1,576","2,587","1,857","1,682","4,668","2,568","3,377","4,568","3,276","2,867"
2020년11월_계_40~49세,"95,517","8,531","6,338","6,491","10,014","6,122","4,509",857,"1,337","3,243","1,899","2,115","4,972","1,867","3,060","2,277","1,594","5,910","4,515","5,598","5,478","4,318","4,472"
2020년11월_계_50~59세,"93,427","6,914","8,717","4,015","6,601","3,924","4,687","1,629","2,245","4,759","2,790","3,038","6,056","2,535","4,023","3,383","2,013","5,788","3,908","3,602","4,501","4,452","3,847"
2020년11월_계_60~69세,"57,935","4,014","5,242","1,888","3,430","1,975","3,289",997,"1,445","3,498","2,267","2,130","4,290","1,786","2,861","2,839","1,658","3,463","2,183","1,767","2,183","2,737","1,993"
2020년11월_계_70~79세,"24,287","1,721","2,259",660,"1,118",576,"1,309",292,508,"1,495","1,039",960,"1,579",855,"1,066","1,278",635,"1,573","1,313",963,917,"1,199",972
2020년11월_계_80~89세,"10,227",617,"1,125",294,429,226,540,136,244,574,405,409,559,340,476,546,278,640,622,393,430,516,428
