,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년05월_계_총인구수,"64,188","9,718","3,283","1,720","5,115","1,298",714,"1,836",683,667,"7,598","14,508","9,035","8,013"
2021년05월_계_연령구간인구수,"64,188","9,718","3,283","1,720","5,115","1,298",714,"1,836",683,667,"7,598","14,508","9,035","8,013"
2021년05월_계_0~9세,"3,702",312,88,43,106,20,9,42,11,15,276,"1,630",630,520
2021년05월_계_10~19세,"5,089",811,138,63,204,36,8,70,25,12,481,"1,692",819,730
2021년05월_계_20~29세,"6,976","1,720",231,125,336,63,33,82,27,23,720,"1,845","1,016",755
2021년05월_계_30~39세,"5,477",505,198,89,267,68,21,82,20,34,589,"1,989",897,718
2021년05월_계_40~49세,"8,666","1,034",377,188,461,132,61,190,76,67,932,"2,495","1,481","1,172"
2021년05월_계_50~59세,"11,082","1,613",618,346,977,277,134,339,125,128,"1,388","2,286","1,537","1,314"
2021년05월_계_60~69세,"11,452","1,858",719,381,"1,220",384,200,448,180,172,"1,616","1,497","1,335","1,442"
2021년05월_계_70~79세,"7,084","1,202",510,294,810,178,134,319,129,122,"1,024",689,843,830
2021년05월_계_80~89세,"4,036",599,343,166,610,124,90,231,78,85,511,324,406,469
2021년05월_계_90~99세,598,61,53,25,119,16,24,33,12,9,59,59,66,62
2021년05월_계_100세 이상,26,3,8,0,5,0,0,0,0,0,2,2,5,1
2021년05월_남_총인구수,"32,475","4,810","1,727",860,"2,630",709,389,953,350,362,"3,742","7,387","4,596","3,960"
2021년05월_남_연령구간인구수,"32,475","4,810","1,727",860,"2,630",709,389,953,350,362,"3,742","7,387","4,596","3,960"
2021년05월_남_0~9세,"1,885",150,49,20,58,12,4,24,9,8,147,823,316,265
2021년05월_남_10~19세,"2,604",359,70,35,122,20,3,45,12,5,253,872,434,374
2021년05월_남_20~29세,"3,896",902,156,72,212,32,23,54,16,12,401,"1,030",567,419
2021년05월_남_30~39세,"2,967",268,128,56,169,46,13,43,9,19,331,"1,036",464,385
2021년05월_남_40~49세,"4,761",590,242,112,292,99,43,136,49,51,501,"1,237",793,616
2021년05월_남_50~59세,"6,011",870,376,191,586,148,88,196,79,79,688,"1,187",865,658
2021년05월_남_60~69세,"5,759",960,379,198,623,213,118,240,84,97,757,755,645,690
2021년05월_남_70~79세,"3,123",519,211,114,352,83,60,146,59,57,468,308,369,377
2021년05월_남_80~89세,"1,353",179,104,55,200,53,32,66,31,33,182,125,129,164
2021년05월_남_90~99세,112,13,9,7,16,3,5,3,2,1,14,14,13,12
2021년05월_남_100세 이상,4,0,3,0,0,0,0,0,0,0,0,0,1,0
2021년05월_여_총인구수,"31,713","4,908","1,556",860,"2,485",589,325,883,333,305,"3,856","7,121","4,439","4,053"
2021년05월_여_연령구간인구수,"31,713","4,908","1,556",860,"2,485",589,325,883,333,305,"3,856","7,121","4,439","4,053"
2021년05월_여_0~9세,"1,817",162,39,23,48,8,5,18,2,7,129,807,314,255
2021년05월_여_10~19세,"2,485",452,68,28,82,16,5,25,13,7,228,820,385,356
2021년05월_여_20~29세,"3,080",818,75,53,124,31,10,28,11,11,319,815,449,336
2021년05월_여_30~39세,"2,510",237,70,33,98,22,8,39,11,15,258,953,433,333
2021년05월_여_40~49세,"3,905",444,135,76,169,33,18,54,27,16,431,"1,258",688,556
2021년05월_여_50~59세,"5,071",743,242,155,391,129,46,143,46,49,700,"1,099",672,656
2021년05월_여_60~69세,"5,693",898,340,183,597,171,82,208,96,75,859,742,690,752
2021년05월_여_70~79세,"3,961",683,299,180,458,95,74,173,70,65,556,381,474,453
2021년05월_여_80~89세,"2,683",420,239,111,410,71,58,165,47,52,329,199,277,305
2021년05월_여_90~99세,486,48,44,18,103,13,19,30,10,8,45,45,53,50
2021년05월_여_100세 이상,22,3,5,0,5,0,0,0,0,0,2,2,4,1
