,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년07월_계_총인구수,"296,896","17,250","27,344","23,064","11,904","14,370","24,277","15,891","15,786","23,707","14,847","26,877","16,692","13,788","16,885","11,279","10,876","12,059"
2020년07월_계_연령구간인구수,"296,896","17,250","27,344","23,064","11,904","14,370","24,277","15,891","15,786","23,707","14,847","26,877","16,692","13,788","16,885","11,279","10,876","12,059"
2020년07월_계_0~9세,"21,038","1,248","2,420","1,243",434,"1,026","1,863","1,220","1,341","1,779","1,407","2,690","1,069",793,886,598,554,467
2020년07월_계_10~19세,"20,659","1,245","1,648","1,715",872,"1,037","2,210","1,732","1,100","1,543",980,"1,684","1,163",961,935,542,635,657
2020년07월_계_20~29세,"45,597","2,526","4,482","4,465","4,483","2,292","3,047","1,764","1,842","3,024","1,548","3,069","2,572","2,208","2,429","2,063","1,717","2,066"
2020년07월_계_30~39세,"49,760","2,990","4,826","3,270","1,641","2,359","3,762","2,290","2,805","4,244","2,812","5,220","2,965","2,550","2,645","1,982","1,682","1,717"
2020년07월_계_40~49세,"45,846","2,672","4,050","3,113","1,147","2,214","4,192","2,989","2,609","3,800","2,610","4,487","2,454","2,162","2,398","1,516","1,613","1,820"
2020년07월_계_50~59세,"47,765","2,780","4,478","3,777","1,299","2,332","3,929","2,444","2,382","3,744","2,151","3,968","3,027","2,119","3,227","1,856","2,002","2,250"
2020년07월_계_60~69세,"35,886","2,076","2,982","2,934",934,"1,670","2,712","1,685","2,043","2,955","1,781","3,121","2,077","1,691","2,566","1,488","1,567","1,604"
2020년07월_계_70~79세,"20,621","1,191","1,641","1,745",755,973,"1,738","1,192","1,110","1,773","1,059","1,747",940,895,"1,242",841,751,"1,028"
2020년07월_계_80~89세,"8,332",438,689,697,292,392,704,499,485,713,442,734,372,350,472,343,302,408
2020년07월_계_90~99세,"1,153",65,106,88,36,67,99,68,57,105,48,130,45,45,71,40,45,38
2020년07월_계_100세 이상,239,19,22,17,11,8,21,8,12,27,9,27,8,14,14,10,8,4
