카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년04월_계_총인구수,"221,156","10,494","5,107","4,728","9,122","9,631","12,852","5,052","7,643","5,408","6,063","2,856","4,186","3,132","9,255","17,260","10,851","21,292","11,868","16,525","4,794","11,365","8,501","23,171"
2021년04월_계_연령구간인구수,"221,156","10,494","5,107","4,728","9,122","9,631","12,852","5,052","7,643","5,408","6,063","2,856","4,186","3,132","9,255","17,260","10,851","21,292","11,868","16,525","4,794","11,365","8,501","23,171"
2021년04월_계_0~9세,"17,460",441,213,159,640,"1,337",919,456,207,182,395,56,123,133,663,"1,756",979,"1,827",802,"1,262",393,"1,122",674,"2,721"
2021년04월_계_10~19세,"24,092",700,303,316,996,"1,132","1,462",462,405,326,602,130,208,222,994,"2,466","1,455","2,395","1,139","1,816",500,"1,563",858,"3,642"
2021년04월_계_20~29세,"26,896","1,070",518,410,"1,107","1,220","1,734",530,710,509,686,201,463,310,"1,085","1,773","1,175","2,499","2,195","2,570",549,"1,478","1,217","2,887"
2021년04월_계_30~39세,"24,741",963,437,369,958,"1,620","1,307",677,582,434,602,192,276,247,943,"2,039","1,157","2,483","1,572","1,922",539,"1,398","1,052","2,972"
2021년04월_계_40~49세,"36,878","1,368",677,634,"1,441","1,700","2,172",807,980,706,938,380,491,413,"1,493","3,300","1,907","3,566","2,045","2,695",796,"2,135","1,415","4,819"
2021년04월_계_50~59세,"35,939","1,734",838,816,"1,525","1,211","2,311",789,"1,322",869,931,504,677,507,"1,612","2,499","1,596","3,441","1,948","3,090",765,"1,843","1,597","3,514"
2021년04월_계_60~69세,"29,269","2,078","1,057",872,"1,291",809,"1,626",686,"1,522","1,063",995,663,846,573,"1,366","1,828","1,420","2,850","1,299","1,966",674,"1,075",985,"1,725"
2021년04월_계_70~79세,"17,592","1,483",793,766,776,418,911,423,"1,291",935,653,493,716,494,757,"1,051",770,"1,509",578,793,380,498,464,640
2021년04월_계_80~89세,"7,281",579,229,339,338,159,372,205,527,346,238,209,348,211,313,486,343,624,249,357,171,221,211,206
2021년04월_계_90~99세,971,76,41,43,48,25,38,15,91,36,23,27,36,22,29,60,45,95,38,52,27,32,27,45
2021년04월_계_100세 이상,37,2,1,4,2,0,0,2,6,2,0,1,2,0,0,2,4,3,3,2,0,0,1,0
2021년04월_남_총인구수,"110,217","5,269","2,578","2,402","4,421","4,743","6,335","2,522","3,901","2,843","2,974","1,526","2,256","1,631","4,655","8,491","5,351","10,447","6,104","8,227","2,392","5,441","4,139","11,569"
2021년04월_남_연령구간인구수,"110,217","5,269","2,578","2,402","4,421","4,743","6,335","2,522","3,901","2,843","2,974","1,526","2,256","1,631","4,655","8,491","5,351","10,447","6,104","8,227","2,392","5,441","4,139","11,569"
2021년04월_남_0~9세,"9,022",236,115,76,311,694,487,256,103,89,200,25,65,62,369,887,536,963,423,645,184,558,330,"1,408"
2021년04월_남_10~19세,"12,350",350,157,158,513,575,746,233,207,173,295,72,112,107,495,"1,270",736,"1,233",631,948,276,766,456,"1,841"
2021년04월_남_20~29세,"14,556",595,308,232,562,623,973,272,399,295,357,113,317,185,614,980,648,"1,328","1,095","1,383",285,763,637,"1,592"
2021년04월_남_30~39세,"12,791",558,238,223,516,792,694,344,341,262,321,123,180,152,510,994,558,"1,312",842,978,276,636,543,"1,398"
2021년04월_남_40~49세,"19,008",779,403,404,719,847,"1,080",437,572,443,512,256,329,248,800,"1,664",950,"1,743","1,082","1,307",413,978,712,"2,330"
2021년04월_남_50~59세,"18,100",907,440,461,728,594,"1,146",394,733,485,439,310,419,299,787,"1,230",768,"1,651","1,032","1,472",393,890,743,"1,779"
2021년04월_남_60~69세,"13,935",942,476,412,582,370,739,334,750,494,447,332,432,299,630,831,648,"1,362",657,"1,005",330,523,455,885
2021년04월_남_70~79세,"7,783",668,361,314,370,196,359,184,583,435,307,209,295,211,336,451,361,664,265,352,176,225,180,281
2021년04월_남_80~89세,"2,453",217,74,105,109,50,103,65,191,153,92,81,99,66,109,164,141,169,67,126,56,94,75,47
2021년04월_남_90~99세,213,17,6,15,10,2,8,3,21,13,4,5,8,2,5,20,5,22,10,11,3,8,7,8
2021년04월_남_100세 이상,6,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년04월_여_총인구수,"110,939","5,225","2,529","2,326","4,701","4,888","6,517","2,530","3,742","2,565","3,089","1,330","1,930","1,501","4,600","8,769","5,500","10,845","5,764","8,298","2,402","5,924","4,362","11,602"
2021년04월_여_연령구간인구수,"110,939","5,225","2,529","2,326","4,701","4,888","6,517","2,530","3,742","2,565","3,089","1,330","1,930","1,501","4,600","8,769","5,500","10,845","5,764","8,298","2,402","5,924","4,362","11,602"
2021년04월_여_0~9세,"8,438",205,98,83,329,643,432,200,104,93,195,31,58,71,294,869,443,864,379,617,209,564,344,"1,313"
2021년04월_여_10~19세,"11,742",350,146,158,483,557,716,229,198,153,307,58,96,115,499,"1,196",719,"1,162",508,868,224,797,402,"1,801"
2021년04월_여_20~29세,"12,340",475,210,178,545,597,761,258,311,214,329,88,146,125,471,793,527,"1,171","1,100","1,187",264,715,580,"1,295"
2021년04월_여_30~39세,"11,950",405,199,146,442,828,613,333,241,172,281,69,96,95,433,"1,045",599,"1,171",730,944,263,762,509,"1,574"
2021년04월_여_40~49세,"17,870",589,274,230,722,853,"1,092",370,408,263,426,124,162,165,693,"1,636",957,"1,823",963,"1,388",383,"1,157",703,"2,489"
2021년04월_여_50~59세,"17,839",827,398,355,797,617,"1,165",395,589,384,492,194,258,208,825,"1,269",828,"1,790",916,"1,618",372,953,854,"1,735"
2021년04월_여_60~69세,"15,334","1,136",581,460,709,439,887,352,772,569,548,331,414,274,736,997,772,"1,488",642,961,344,552,530,840
2021년04월_여_70~79세,"9,809",815,432,452,406,222,552,239,708,500,346,284,421,283,421,600,409,845,313,441,204,273,284,359
2021년04월_여_80~89세,"4,828",362,155,234,229,109,269,140,336,193,146,128,249,145,204,322,202,455,182,231,115,127,136,159
2021년04월_여_90~99세,758,59,35,28,38,23,30,12,70,23,19,22,28,20,24,40,40,73,28,41,24,24,20,37
2021년04월_여_100세 이상,31,2,1,2,1,0,0,2,5,1,0,1,2,0,0,2,4,3,3,2,0,0,0,0
