,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년10월_계_총인구수,"658,911","258,556","24,233","4,156","4,343","4,339","3,249","2,327","6,124","2,123","5,531","3,615","8,832","9,471","18,175","24,423","45,168","55,913","36,534","400,355","24,542","21,965","19,485","8,591","16,092","25,539","14,131","38,105","19,095","40,889","70,048","45,053","56,820"
2020년10월_계_연령구간인구수,"658,911","258,556","24,233","4,156","4,343","4,339","3,249","2,327","6,124","2,123","5,531","3,615","8,832","9,471","18,175","24,423","45,168","55,913","36,534","400,355","24,542","21,965","19,485","8,591","16,092","25,539","14,131","38,105","19,095","40,889","70,048","45,053","56,820"
2020년10월_계_0~9세,"62,635","20,685","1,737",152,113,131,84,55,253,27,163,92,423,294,"1,109","2,258","4,875","6,116","2,803","41,950","1,267","1,902","1,386",292,770,982,905,"3,520","1,473","5,789","10,521","3,808","9,335"
2020년10월_계_10~19세,"68,654","26,353","2,775",238,199,247,177,89,346,81,291,176,693,703,"1,442","3,271","5,923","6,997","2,705","42,301","2,279","2,402","1,884",571,"1,053","1,345","1,243","5,029","2,406","5,696","9,368","4,057","4,968"
2020년10월_계_20~29세,"96,365","35,411","2,798",390,378,387,240,198,782,132,551,494,"1,109","1,162","2,881","2,950","6,245","7,183","7,531","60,954","2,830","2,546","2,389",899,"2,412","6,466","2,494","6,022","2,699","5,169","8,855","9,920","8,253"
2020년10월_계_30~39세,"106,056","33,526","2,548",335,282,333,196,176,559,91,501,397,879,904,"2,524","2,718","6,916","8,555","5,612","72,530","2,217","2,948","2,655",734,"2,206","5,571","1,892","5,186","2,392","7,054","14,889","8,947","15,839"
2020년10월_계_40~49세,"111,999","43,016","4,541",439,463,511,333,243,744,185,684,470,"1,249","1,368","2,971","4,536","9,049","10,168","5,062","68,983","3,813","4,190","3,578","1,106","2,426","3,779","1,941","6,766","3,210","7,816","13,989","7,236","9,133"
2020년10월_계_50~59세,"103,176","44,067","4,399",795,896,874,656,450,"1,200",444,"1,098",682,"1,771","1,912","3,318","4,208","6,837","8,465","6,062","59,109","4,328","3,701","3,465","1,802","3,154","3,530","2,611","6,688","3,547","5,601","8,517","6,449","5,716"
2020년10월_계_60~69세,"62,658","30,792","2,857",910,992,937,744,502,"1,110",499,"1,185",703,"1,465","1,578","2,368","2,549","3,247","5,049","4,097","31,866","3,876","2,422","2,263","1,596","2,310","2,411","1,905","3,082","1,921","2,424","2,552","2,763","2,341"
2020년10월_계_70~79세,"30,008","15,472","1,530",513,570,515,471,334,637,362,697,388,804,992,"1,064","1,283","1,320","2,199","1,793","14,536","2,475","1,177","1,152",963,"1,204",971,750,"1,165",892,885,881,"1,225",796
2020년10월_계_80~89세,"14,992","7,961",922,339,379,341,298,253,414,259,311,182,375,496,424,564,656,999,749,"7,031","1,262",592,635,533,489,405,329,570,476,391,397,567,385
2020년10월_계_90~99세,"2,193","1,185",126,45,69,62,47,25,72,39,39,29,55,57,63,79,97,170,111,"1,008",164,83,74,81,58,73,60,72,77,61,76,76,53
2020년10월_계_100세 이상,175,88,0,0,2,1,3,2,7,4,11,2,9,5,11,7,3,12,9,87,31,2,4,14,10,6,1,5,2,3,3,5,1
2020년10월_남_총인구수,"336,138","130,986","12,383","2,252","2,193","2,237","1,706","1,270","3,247","1,140","2,908","1,902","4,577","4,886","9,281","12,198","23,011","27,973","17,822","205,152","12,743","11,492","10,596","4,608","8,492","13,643","6,971","18,710","9,258","20,507","35,119","23,215","29,798"
2020년10월_남_연령구간인구수,"336,138","130,986","12,383","2,252","2,193","2,237","1,706","1,270","3,247","1,140","2,908","1,902","4,577","4,886","9,281","12,198","23,011","27,973","17,822","205,152","12,743","11,492","10,596","4,608","8,492","13,643","6,971","18,710","9,258","20,507","35,119","23,215","29,798"
2020년10월_남_0~9세,"31,992","10,648",896,83,56,68,44,26,116,15,85,47,233,151,588,"1,139","2,536","3,139","1,426","21,344",644,937,735,146,403,499,484,"1,773",722,"2,936","5,378","1,943","4,744"
2020년10월_남_10~19세,"35,608","13,692","1,447",125,120,131,90,50,182,51,154,87,399,387,769,"1,681","3,102","3,572","1,345","21,916","1,220","1,220","1,001",310,510,698,623,"2,634","1,305","2,937","4,794","2,102","2,562"
2020년10월_남_20~29세,"50,622","18,770","1,555",245,207,225,140,122,526,80,295,255,620,661,"1,486","1,624","3,377","3,764","3,588","31,852","1,606","1,431","1,437",545,"1,320","3,255","1,278","3,143","1,417","2,720","4,435","5,052","4,213"
2020년10월_남_30~39세,"56,296","17,565","1,319",203,152,194,121,120,341,53,303,234,489,554,"1,390","1,283","3,631","4,298","2,880","38,731","1,236","1,579","1,583",463,"1,307","3,369","1,027","2,568","1,205","3,380","7,349","5,031","8,634"
2020년10월_남_40~49세,"57,790","22,146","2,354",271,253,280,207,166,437,129,383,282,663,711,"1,547","2,268","4,574","5,061","2,560","35,644","2,102","2,263","2,036",657,"1,337","2,132",963,"3,168","1,509","3,956","6,859","3,661","5,001"
2020년10월_남_50~59세,"52,974","22,524","2,363",442,480,478,374,270,619,258,633,377,917,986,"1,690","2,128","3,455","4,222","2,832","30,450","2,357","2,027","1,885",996,"1,701","1,896","1,202","3,182","1,681","2,819","4,444","3,274","2,986"
2020년10월_남_60~69세,"31,636","15,491","1,435",501,526,475,398,266,581,272,592,372,722,773,"1,182","1,287","1,589","2,522","1,998","16,145","1,930","1,266","1,173",824,"1,175","1,231",926,"1,540",941,"1,225","1,315","1,384","1,215"
2020년10월_남_70~79세,"13,509","7,064",670,258,263,253,225,149,278,179,322,171,387,450,478,576,536,999,870,"6,445","1,123",536,501,442,545,430,337,501,339,407,401,547,336
2020년10월_남_80~89세,"5,160","2,789",312,112,118,120,99,96,149,96,124,64,132,198,136,191,184,357,301,"2,371",475,212,228,194,175,119,115,181,127,111,129,205,100
2020년10월_남_90~99세,505,274,32,12,18,13,7,5,17,6,13,13,13,13,12,17,26,36,21,231,41,21,17,29,16,14,16,17,11,15,14,13,7
2020년10월_남_100세 이상,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0
2020년10월_여_총인구수,"322,773","127,570","11,850","1,904","2,150","2,102","1,543","1,057","2,877",983,"2,623","1,713","4,255","4,585","8,894","12,225","22,157","27,940","18,712","195,203","11,799","10,473","8,889","3,983","7,600","11,896","7,160","19,395","9,837","20,382","34,929","21,838","27,022"
2020년10월_여_연령구간인구수,"322,773","127,570","11,850","1,904","2,150","2,102","1,543","1,057","2,877",983,"2,623","1,713","4,255","4,585","8,894","12,225","22,157","27,940","18,712","195,203","11,799","10,473","8,889","3,983","7,600","11,896","7,160","19,395","9,837","20,382","34,929","21,838","27,022"
2020년10월_여_0~9세,"30,643","10,037",841,69,57,63,40,29,137,12,78,45,190,143,521,"1,119","2,339","2,977","1,377","20,606",623,965,651,146,367,483,421,"1,747",751,"2,853","5,143","1,865","4,591"
2020년10월_여_10~19세,"33,046","12,661","1,328",113,79,116,87,39,164,30,137,89,294,316,673,"1,590","2,821","3,425","1,360","20,385","1,059","1,182",883,261,543,647,620,"2,395","1,101","2,759","4,574","1,955","2,406"
2020년10월_여_20~29세,"45,743","16,641","1,243",145,171,162,100,76,256,52,256,239,489,501,"1,395","1,326","2,868","3,419","3,943","29,102","1,224","1,115",952,354,"1,092","3,211","1,216","2,879","1,282","2,449","4,420","4,868","4,040"
2020년10월_여_30~39세,"49,760","15,961","1,229",132,130,139,75,56,218,38,198,163,390,350,"1,134","1,435","3,285","4,257","2,732","33,799",981,"1,369","1,072",271,899,"2,202",865,"2,618","1,187","3,674","7,540","3,916","7,205"
2020년10월_여_40~49세,"54,209","20,870","2,187",168,210,231,126,77,307,56,301,188,586,657,"1,424","2,268","4,475","5,107","2,502","33,339","1,711","1,927","1,542",449,"1,089","1,647",978,"3,598","1,701","3,860","7,130","3,575","4,132"
2020년10월_여_50~59세,"50,202","21,543","2,036",353,416,396,282,180,581,186,465,305,854,926,"1,628","2,080","3,382","4,243","3,230","28,659","1,971","1,674","1,580",806,"1,453","1,634","1,409","3,506","1,866","2,782","4,073","3,175","2,730"
2020년10월_여_60~69세,"31,022","15,301","1,422",409,466,462,346,236,529,227,593,331,743,805,"1,186","1,262","1,658","2,527","2,099","15,721","1,946","1,156","1,090",772,"1,135","1,180",979,"1,542",980,"1,199","1,237","1,379","1,126"
2020년10월_여_70~79세,"16,499","8,408",860,255,307,262,246,185,359,183,375,217,417,542,586,707,784,"1,200",923,"8,091","1,352",641,651,521,659,541,413,664,553,478,480,678,460
2020년10월_여_80~89세,"9,832","5,172",610,227,261,221,199,157,265,163,187,118,243,298,288,373,472,642,448,"4,660",787,380,407,339,314,286,214,389,349,280,268,362,285
2020년10월_여_90~99세,"1,688",911,94,33,51,49,40,20,55,33,26,16,42,44,51,62,71,134,90,777,123,62,57,52,42,59,44,55,66,46,62,63,46
2020년10월_여_100세 이상,129,65,0,0,2,1,2,2,6,3,7,2,7,3,8,3,2,9,8,64,22,2,4,12,7,6,1,2,1,2,2,2,1
