카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년09월_계_총인구수,"493,005","43,606","36,721","10,046","49,040","12,195","42,415","22,422","15,906","20,393","22,510","31,980","22,976","21,452","70,266","1,929","23,857","26,807","18,484"
2020년09월_계_연령구간인구수,"493,005","43,606","36,721","10,046","49,040","12,195","42,415","22,422","15,906","20,393","22,510","31,980","22,976","21,452","70,266","1,929","23,857","26,807","18,484"
2020년09월_계_0~9세,"47,983","3,499","1,777",474,"5,974",733,"6,111","1,651","1,459","1,192","1,377","2,515","1,777","1,711","11,101",51,"1,786","3,298","1,497"
2020년09월_계_10~19세,"49,900","3,613","3,399",787,"5,196","1,239","3,332","2,270","1,466","1,152","1,950","3,661","2,151","2,746","7,746",43,"3,033","3,739","2,377"
2020년09월_계_20~29세,"68,523","6,739","5,906","1,411","6,290","1,664","4,185","2,939","1,794","3,165","3,545","5,156","3,118","3,604","9,047",156,"3,629","3,493","2,682"
2020년09월_계_30~39세,"76,326","6,715","3,984",992,"8,125","1,123","8,655","2,775","2,392","4,156","3,505","4,346","3,271","2,467","14,852",173,"2,581","3,970","2,244"
2020년09월_계_40~49세,"89,432","6,430","5,497","1,369","8,411","1,993","7,353","3,930","3,162","4,252","4,645","6,206","4,634","3,913","14,259",180,"4,372","5,498","3,328"
2020년09월_계_50~59세,"86,434","8,441","8,223","2,248","8,110","2,498","5,782","4,147","2,655","3,783","4,344","6,083","4,513","4,312","8,392",466,"4,776","4,282","3,379"
2020년09월_계_60~69세,"45,241","5,087","4,847","1,603","4,320","1,572","4,330","2,731","1,746","1,754","2,037","2,392","2,188","1,502","3,459",539,"1,982","1,495","1,657"
2020년09월_계_70~79세,"19,067","1,935","2,066",744,"1,714",869,"1,801","1,298",834,651,749,"1,025",855,737,988,219,"1,084",663,835
2020년09월_계_80~89세,"8,704",979,882,362,777,441,735,588,342,248,311,541,393,418,363,81,523,312,408
2020년09월_계_90~99세,"1,300",158,121,48,117,59,117,83,54,37,45,53,75,41,58,18,86,54,76
2020년09월_계_100세 이상,95,10,19,8,6,4,14,10,2,3,2,2,1,1,1,3,5,3,1
2020년09월_남_총인구수,"257,762","22,152","19,047","5,268","24,596","6,371","21,472","11,747","8,279","12,816","13,239","17,161","12,938","10,656","35,944","1,173","12,128","13,560","9,215"
2020년09월_남_연령구간인구수,"257,762","22,152","19,047","5,268","24,596","6,371","21,472","11,747","8,279","12,816","13,239","17,161","12,938","10,656","35,944","1,173","12,128","13,560","9,215"
2020년09월_남_0~9세,"24,494","1,809",950,241,"3,066",367,"3,078",859,737,601,684,"1,263",914,881,"5,613",30,920,"1,709",772
2020년09월_남_10~19세,"25,659","1,862","1,791",405,"2,643",654,"1,733","1,186",773,604,"1,010","1,874","1,120","1,414","3,856",22,"1,576","1,940","1,196"
2020년09월_남_20~29세,"37,202","3,512","3,230",781,"3,264",944,"2,123","1,622",958,"2,054","2,240","2,962","1,777","1,853","4,726",92,"1,904","1,789","1,371"
2020년09월_남_30~39세,"40,896","3,541","2,217",558,"4,013",588,"4,293","1,548","1,257","2,822","2,201","2,508","1,973","1,254","7,569",119,"1,326","1,931","1,178"
2020년09월_남_40~49세,"47,985","3,247","2,859",713,"4,277","1,051","4,027","2,175","1,740","2,867","2,874","3,384","2,792","1,831","7,580",127,"2,147","2,710","1,584"
2020년09월_남_50~59세,"45,744","4,217","4,233","1,194","4,074","1,381","2,884","2,176","1,430","2,401","2,629","3,238","2,585","2,198","4,222",297,"2,539","2,302","1,744"
2020년09월_남_60~69세,"24,065","2,723","2,579",881,"2,228",840,"2,208","1,380",852,"1,041","1,168","1,307","1,239",794,"1,817",323,"1,042",782,861
2020년09월_남_70~79세,"8,603",895,913,351,792,393,861,578,396,334,327,432,392,280,440,123,458,273,365
2020년09월_남_80~89세,"2,822",318,243,123,218,136,238,206,125,84,98,178,136,137,113,33,199,110,127
2020년09월_남_90~99세,266,27,30,16,20,16,23,15,10,7,7,15,9,14,8,5,15,13,16
2020년09월_남_100세 이상,26,1,2,5,1,1,4,2,1,1,1,0,1,0,0,2,2,1,1
2020년09월_여_총인구수,"235,243","21,454","17,674","4,778","24,444","5,824","20,943","10,675","7,627","7,577","9,271","14,819","10,038","10,796","34,322",756,"11,729","13,247","9,269"
2020년09월_여_연령구간인구수,"235,243","21,454","17,674","4,778","24,444","5,824","20,943","10,675","7,627","7,577","9,271","14,819","10,038","10,796","34,322",756,"11,729","13,247","9,269"
2020년09월_여_0~9세,"23,489","1,690",827,233,"2,908",366,"3,033",792,722,591,693,"1,252",863,830,"5,488",21,866,"1,589",725
2020년09월_여_10~19세,"24,241","1,751","1,608",382,"2,553",585,"1,599","1,084",693,548,940,"1,787","1,031","1,332","3,890",21,"1,457","1,799","1,181"
2020년09월_여_20~29세,"31,321","3,227","2,676",630,"3,026",720,"2,062","1,317",836,"1,111","1,305","2,194","1,341","1,751","4,321",64,"1,725","1,704","1,311"
2020년09월_여_30~39세,"35,430","3,174","1,767",434,"4,112",535,"4,362","1,227","1,135","1,334","1,304","1,838","1,298","1,213","7,283",54,"1,255","2,039","1,066"
2020년09월_여_40~49세,"41,447","3,183","2,638",656,"4,134",942,"3,326","1,755","1,422","1,385","1,771","2,822","1,842","2,082","6,679",53,"2,225","2,788","1,744"
2020년09월_여_50~59세,"40,690","4,224","3,990","1,054","4,036","1,117","2,898","1,971","1,225","1,382","1,715","2,845","1,928","2,114","4,170",169,"2,237","1,980","1,635"
2020년09월_여_60~69세,"21,176","2,364","2,268",722,"2,092",732,"2,122","1,351",894,713,869,"1,085",949,708,"1,642",216,940,713,796
2020년09월_여_70~79세,"10,464","1,040","1,153",393,922,476,940,720,438,317,422,593,463,457,548,96,626,390,470
2020년09월_여_80~89세,"5,882",661,639,239,559,305,497,382,217,164,213,363,257,281,250,48,324,202,281
2020년09월_여_90~99세,"1,034",131,91,32,97,43,94,68,44,30,38,38,66,27,50,13,71,41,60
2020년09월_여_100세 이상,69,9,17,3,5,3,10,8,1,2,1,2,0,1,1,1,3,2,0
