,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년12월_계_총인구수,"42,266","13,087","3,643","1,627","3,873","2,261","3,440","2,572","3,496","2,792","5,475"
2021년12월_계_연령구간인구수,"42,266","13,087","3,643","1,627","3,873","2,261","3,440","2,572","3,496","2,792","5,475"
2021년12월_계_0~9세,"1,512",818,58,49,122,73,53,55,115,49,120
2021년12월_계_10~19세,"2,831","1,354",254,101,184,159,167,89,166,102,255
2021년12월_계_20~29세,"3,033","1,506",184,92,191,167,186,111,175,147,274
2021년12월_계_30~39세,"2,302","1,083",122,81,175,118,118,96,173,102,234
2021년12월_계_40~49세,"4,341","1,862",308,136,375,218,299,207,303,179,454
2021년12월_계_50~59세,"7,121","2,220",621,293,629,448,583,400,566,438,923
2021년12월_계_60~69세,"8,602","2,073",787,344,885,521,710,565,700,681,"1,336"
2021년12월_계_70~79세,"6,604","1,221",683,257,690,348,707,487,639,530,"1,042"
2021년12월_계_80~89세,"4,971",807,526,233,516,173,514,484,525,466,727
2021년12월_계_90~99세,936,141,98,41,105,36,100,76,133,97,109
2021년12월_계_100세 이상,13,2,2,0,1,0,3,2,1,1,1
2021년12월_남_총인구수,"20,450","6,404","1,754",800,"1,885","1,165","1,660","1,234","1,632","1,318","2,598"
2021년12월_남_연령구간인구수,"20,450","6,404","1,754",800,"1,885","1,165","1,660","1,234","1,632","1,318","2,598"
2021년12월_남_0~9세,778,401,26,30,71,35,28,33,61,25,68
2021년12월_남_10~19세,"1,555",719,165,51,111,83,93,52,100,46,135
2021년12월_남_20~29세,"1,870",917,110,63,115,113,115,82,90,98,167
2021년12월_남_30~39세,"1,208",533,68,36,98,65,74,55,93,57,129
2021년12월_남_40~49세,"2,296",884,166,73,210,119,174,126,177,98,269
2021년12월_남_50~59세,"3,867","1,139",355,172,353,244,333,241,300,232,498
2021년12월_남_60~69세,"4,244",981,390,178,432,272,345,274,336,353,683
2021년12월_남_70~79세,"2,942",549,288,112,320,169,331,209,288,244,432
2021년12월_남_80~89세,"1,520",261,164,79,157,60,142,149,159,148,201
2021년12월_남_90~99세,169,20,21,6,18,5,25,13,28,17,16
2021년12월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"21,816","6,683","1,889",827,"1,988","1,096","1,780","1,338","1,864","1,474","2,877"
2021년12월_여_연령구간인구수,"21,816","6,683","1,889",827,"1,988","1,096","1,780","1,338","1,864","1,474","2,877"
2021년12월_여_0~9세,734,417,32,19,51,38,25,22,54,24,52
2021년12월_여_10~19세,"1,276",635,89,50,73,76,74,37,66,56,120
2021년12월_여_20~29세,"1,163",589,74,29,76,54,71,29,85,49,107
2021년12월_여_30~39세,"1,094",550,54,45,77,53,44,41,80,45,105
2021년12월_여_40~49세,"2,045",978,142,63,165,99,125,81,126,81,185
2021년12월_여_50~59세,"3,254","1,081",266,121,276,204,250,159,266,206,425
2021년12월_여_60~69세,"4,358","1,092",397,166,453,249,365,291,364,328,653
2021년12월_여_70~79세,"3,662",672,395,145,370,179,376,278,351,286,610
2021년12월_여_80~89세,"3,451",546,362,154,359,113,372,335,366,318,526
2021년12월_여_90~99세,767,121,77,35,87,31,75,63,105,80,93
2021년12월_여_100세 이상,12,2,1,0,1,0,3,2,1,1,1
