카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년06월_계_총인구수,"1,535,530","282,511","354,978","212,784","89,999","41,419","82,254","64,073","68,619","46,614","38,057","41,109","35,952","43,932","24,408","22,027","31,835","26,924","28,035"
2021년06월_계_연령구간인구수,"1,535,530","282,511","354,978","212,784","89,999","41,419","82,254","64,073","68,619","46,614","38,057","41,109","35,952","43,932","24,408","22,027","31,835","26,924","28,035"
2021년06월_계_0~9세,"103,005","21,109","27,761","13,131","6,442","2,412","5,753","3,681","3,691","2,123","1,609","1,799","1,700","3,263","1,753","1,688","2,464","1,308","1,318"
2021년06월_계_10~19세,"135,269","26,624","35,473","18,606","8,613","3,736","7,259","5,057","5,054","3,570","2,881","2,800","2,457","3,675","1,738","2,039","2,260","1,605","1,822"
2021년06월_계_20~29세,"177,090","37,309","45,084","24,931","9,324","3,561","8,885","6,943","6,652","3,791","3,131","3,290","2,700","5,529","3,735","2,975","4,182","2,697","2,371"
2021년06월_계_30~39세,"163,395","33,944","45,023","21,368","8,875","3,517","9,083","5,432","5,878","3,349","2,698","2,936","2,907","4,605","2,793","2,515","3,906","2,284","2,282"
2021년06월_계_40~49세,"220,674","42,006","56,740","31,971","14,360","6,164","12,253","8,637","8,074","5,014","4,389","5,175","4,744","5,564","2,619","2,486","3,918","3,062","3,498"
2021년06월_계_50~59세,"263,924","46,509","60,710","36,387","15,583","7,085","14,926","11,039","12,275","8,558","7,134","7,830","6,767","7,008","3,802","3,426","5,127","4,761","4,997"
2021년06월_계_60~69세,"252,215","40,172","48,169","34,914","14,362","7,724","13,391","11,534","14,606","10,749","8,287","9,186","7,694","6,989","4,018","3,552","5,544","5,503","5,821"
2021년06월_계_70~79세,"133,698","20,706","21,482","19,573","7,959","4,798","6,783","7,068","7,204","5,496","4,761","4,900","4,406","4,606","2,288","1,974","2,622","3,431","3,641"
2021년06월_계_80~89세,"74,448","12,174","12,576","10,166","3,930","2,144","3,301","4,045","4,507","3,397","2,796","2,806","2,243","2,317","1,431","1,193","1,554","1,930","1,938"
2021년06월_계_90~99세,"11,350","1,892","1,895","1,679",539,256,599,611,646,539,350,369,316,359,220,165,251,331,333
2021년06월_계_100세 이상,462,66,65,58,12,22,21,26,32,28,21,18,18,17,11,14,7,12,14
2021년06월_남_총인구수,"772,949","139,505","176,089","105,550","45,702","21,006","40,772","32,380","35,342","23,927","19,711","21,111","18,715","22,832","13,266","11,620","17,268","13,848","14,305"
2021년06월_남_연령구간인구수,"772,949","139,505","176,089","105,550","45,702","21,006","40,772","32,380","35,342","23,927","19,711","21,111","18,715","22,832","13,266","11,620","17,268","13,848","14,305"
2021년06월_남_0~9세,"52,777","10,856","14,155","6,781","3,311","1,277","2,936","1,872","1,878","1,121",844,896,876,"1,637",888,853,"1,254",667,675
2021년06월_남_10~19세,"70,294","13,844","18,323","9,758","4,483","1,945","3,766","2,590","2,574","1,867","1,562","1,466","1,270","1,920",873,"1,009","1,188",878,978
