카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년12월_계_총인구수,"42,721","7,670","19,124","3,116","3,895","2,567","1,741","1,003","2,696",191,718
2021년12월_계_연령구간인구수,"42,721","7,670","19,124","3,116","3,895","2,567","1,741","1,003","2,696",191,718
2021년12월_계_0~9세,"2,541",678,"1,445",84,119,69,43,21,57,4,21
2021년12월_계_10~19세,"3,048",394,"1,935",154,172,136,65,45,102,10,35
2021년12월_계_20~29세,"5,114","1,176","2,331",329,464,212,122,70,318,42,50
2021년12월_계_30~39세,"4,099","1,025","2,110",171,259,156,124,63,137,13,41
2021년12월_계_40~49세,"4,727",755,"2,594",270,379,229,132,74,217,16,61
2021년12월_계_50~59세,"6,946","1,028","3,171",538,680,495,323,152,399,25,135
2021년12월_계_60~69세,"8,009","1,171","2,956",734,925,591,501,250,673,40,168
2021년12월_계_70~79세,"4,823",825,"1,516",474,531,409,237,203,483,24,121
2021년12월_계_80~89세,"2,982",533,902,329,323,251,164,115,274,15,76
2021년12월_계_90~99세,414,82,157,30,41,18,29,10,35,2,10
2021년12월_계_100세 이상,18,3,7,3,2,1,1,0,1,0,0
2021년12월_남_총인구수,"22,399","4,154","9,747","1,657","2,086","1,370",932,543,"1,427",116,367
2021년12월_남_연령구간인구수,"22,399","4,154","9,747","1,657","2,086","1,370",932,543,"1,427",116,367
2021년12월_남_0~9세,"1,290",329,741,45,53,37,24,14,30,2,15
2021년12월_남_10~19세,"1,617",227,992,82,98,80,37,31,47,6,17
2021년12월_남_20~29세,"3,272",815,"1,335",225,340,133,74,42,236,37,35
2021년12월_남_30~39세,"2,340",613,"1,140",107,163,95,72,39,84,8,19
2021년12월_남_40~49세,"2,576",424,"1,319",161,226,127,84,49,137,9,40
2021년12월_남_50~59세,"3,760",586,"1,666",299,377,274,172,87,219,12,68
2021년12월_남_60~69세,"4,152",600,"1,502",393,472,313,285,128,350,24,85
2021년12월_남_70~79세,"2,193",348,700,221,230,193,105,99,227,13,57
2021년12월_남_80~89세,"1,087",188,307,115,116,111,71,53,90,5,31
2021년12월_남_90~99세,106,23,42,7,11,7,8,1,7,0,0
2021년12월_남_100세 이상,6,1,3,2,0,0,0,0,0,0,0
2021년12월_여_총인구수,"20,322","3,516","9,377","1,459","1,809","1,197",809,460,"1,269",75,351
2021년12월_여_연령구간인구수,"20,322","3,516","9,377","1,459","1,809","1,197",809,460,"1,269",75,351
2021년12월_여_0~9세,"1,251",349,704,39,66,32,19,7,27,2,6
2021년12월_여_10~19세,"1,431",167,943,72,74,56,28,14,55,4,18
2021년12월_여_20~29세,"1,842",361,996,104,124,79,48,28,82,5,15
2021년12월_여_30~39세,"1,759",412,970,64,96,61,52,24,53,5,22
2021년12월_여_40~49세,"2,151",331,"1,275",109,153,102,48,25,80,7,21
2021년12월_여_50~59세,"3,186",442,"1,505",239,303,221,151,65,180,13,67
2021년12월_여_60~69세,"3,857",571,"1,454",341,453,278,216,122,323,16,83
2021년12월_여_70~79세,"2,630",477,816,253,301,216,132,104,256,11,64
2021년12월_여_80~89세,"1,895",345,595,214,207,140,93,62,184,10,45
2021년12월_여_90~99세,308,59,115,23,30,11,21,9,28,2,10
2021년12월_여_100세 이상,12,2,4,1,2,1,1,0,1,0,0
