,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년03월_계_총인구수,"294,691","3,935","4,705","11,027","5,023","8,430","10,671","30,550","24,954","23,970","15,805","20,883","10,245","15,692","5,923","20,336","28,949","37,375","16,218"
2021년03월_계_연령구간인구수,"294,691","3,935","4,705","11,027","5,023","8,430","10,671","30,550","24,954","23,970","15,805","20,883","10,245","15,692","5,923","20,336","28,949","37,375","16,218"
2021년03월_계_0~9세,"21,256",98,378,577,172,550,845,"2,170","1,628","1,181",862,"2,382",553,"1,064",390,"1,233","2,616","2,980","1,577"
2021년03월_계_10~19세,"30,906",144,358,647,251,589,"1,253","3,071","2,420","1,674","1,093","2,406","1,016","1,573",410,"2,094","4,319","5,171","2,417"
2021년03월_계_20~29세,"45,225",414,486,"1,645",864,"1,117","1,674","5,486","4,752","4,414","3,101","2,427","1,540","2,184",732,"2,970","4,050","5,486","1,883"
2021년03월_계_30~39세,"36,172",348,593,"1,546",589,989,"1,414","4,344","3,567","2,943","2,342","2,974","1,076","1,692",704,"2,035","3,153","4,161","1,702"
2021년03월_계_40~49세,"48,174",433,729,"1,516",670,"1,297","1,872","4,920","3,940","3,209","2,253","3,695","1,399","2,196",744,"2,934","5,625","7,369","3,373"
2021년03월_계_50~59세,"49,516",644,669,"1,751",872,"1,582","1,800","5,392","3,981","4,056","2,351","2,941","1,749","2,657","1,198","3,923","5,111","6,335","2,504"
2021년03월_계_60~69세,"34,688",775,777,"1,559",794,"1,238",937,"2,807","2,649","3,413","1,893","2,399","1,607","2,611",953,"2,992","2,366","3,233","1,685"
2021년03월_계_70~79세,"19,298",739,507,"1,201",535,724,543,"1,511","1,435","2,083","1,223","1,201",861,"1,168",489,"1,417","1,139","1,748",774
2021년03월_계_80~89세,"8,177",301,181,509,247,293,287,759,498,866,599,384,367,471,252,654,482,779,248
2021년03월_계_90~99세,"1,227",36,27,71,28,47,45,87,80,122,87,73,74,73,49,82,80,112,54
2021년03월_계_100세 이상,52,3,0,5,1,4,1,3,4,9,1,1,3,3,2,2,8,1,1
2021년03월_남_총인구수,"144,373","1,941","2,299","5,452","2,610","4,323","5,429","14,620","12,465","11,662","7,523","10,464","5,050","7,579","3,061","9,675","14,178","18,352","7,690"
2021년03월_남_연령구간인구수,"144,373","1,941","2,299","5,452","2,610","4,323","5,429","14,620","12,465","11,662","7,523","10,464","5,050","7,579","3,061","9,675","14,178","18,352","7,690"
2021년03월_남_0~9세,"11,029",54,201,288,94,308,471,"1,086",802,627,455,"1,259",300,566,201,648,"1,371","1,513",785
2021년03월_남_10~19세,"16,276",77,195,371,151,296,635,"1,597","1,192",873,561,"1,419",565,868,220,"1,134","2,190","2,725","1,207"
2021년03월_남_20~29세,"23,145",229,266,792,450,584,884,"2,628","2,419","2,134","1,380","1,296",855,"1,178",395,"1,571","2,205","2,864","1,015"
2021년03월_남_30~39세,"18,315",190,291,828,338,535,766,"2,163","1,899","1,577","1,191","1,433",559,859,380,"1,002","1,484","2,044",776
2021년03월_남_40~49세,"23,228",260,404,783,377,721,938,"2,232","1,999","1,639","1,189","1,835",690,"1,008",389,"1,300","2,522","3,387","1,555"
2021년03월_남_50~59세,"24,282",345,327,901,444,808,967,"2,574","2,005","1,988","1,135","1,418",801,"1,155",649,"1,786","2,574","3,180","1,225"
2021년03월_남_60~69세,"16,276",355,335,701,380,613,447,"1,389","1,233","1,616",814,"1,091",734,"1,223",505,"1,420","1,122","1,587",711
2021년03월_남_70~79세,"8,595",300,211,570,261,346,204,638,707,895,535,561,394,542,240,612,512,736,331
2021년03월_남_80~89세,"2,953",123,64,203,110,100,106,284,189,287,242,138,137,165,75,188,180,287,75
