카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년04월_계_총인구수,"9,269","6,562",882,477,"1,348"
2020년04월_계_연령구간인구수,"9,269","6,562",882,477,"1,348"
2020년04월_계_0~9세,428,311,44,19,54
2020년04월_계_10~19세,483,383,39,15,46
2020년04월_계_20~29세,841,618,75,30,118
2020년04월_계_30~39세,920,683,63,37,137
2020년04월_계_40~49세,"1,335","1,021",98,35,181
2020년04월_계_50~59세,"1,906","1,363",198,96,249
2020년04월_계_60~69세,"1,758","1,209",169,112,268
2020년04월_계_70~79세,"1,015",651,113,82,169
2020년04월_계_80~89세,499,279,76,37,107
2020년04월_계_90~99세,73,33,7,14,19
2020년04월_계_100세 이상,11,11,0,0,0
2020년04월_남_총인구수,"5,049","3,583",474,249,743
2020년04월_남_연령구간인구수,"5,049","3,583",474,249,743
2020년04월_남_0~9세,225,166,21,12,26
2020년04월_남_10~19세,238,177,26,10,25
2020년04월_남_20~29세,502,365,48,14,75
2020년04월_남_30~39세,544,405,33,22,84
2020년04월_남_40~49세,832,625,61,23,123
2020년04월_남_50~59세,"1,086",777,119,51,139
2020년04월_남_60~69세,935,647,94,55,139
2020년04월_남_70~79세,465,296,44,44,81
2020년04월_남_80~89세,198,112,26,14,46
2020년04월_남_90~99세,19,8,2,4,5
2020년04월_남_100세 이상,5,5,0,0,0
2020년04월_여_총인구수,"4,220","2,979",408,228,605
2020년04월_여_연령구간인구수,"4,220","2,979",408,228,605
2020년04월_여_0~9세,203,145,23,7,28
2020년04월_여_10~19세,245,206,13,5,21
2020년04월_여_20~29세,339,253,27,16,43
2020년04월_여_30~39세,376,278,30,15,53
2020년04월_여_40~49세,503,396,37,12,58
2020년04월_여_50~59세,820,586,79,45,110
2020년04월_여_60~69세,823,562,75,57,129
2020년04월_여_70~79세,550,355,69,38,88
2020년04월_여_80~89세,301,167,50,23,61
2020년04월_여_90~99세,54,25,5,10,14
2020년04월_여_100세 이상,6,6,0,0,0
