카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년09월_계_총인구수,"1,469,099","223,368","237,425","480,780","352,604","174,922"
2020년09월_계_연령구간인구수,"1,469,099","223,368","237,425","480,780","352,604","174,922"
2020년09월_계_0~9세,"116,775","15,234","15,615","39,020","35,659","11,247"
2020년09월_계_10~19세,"148,077","20,165","22,312","50,265","38,445","16,890"
2020년09월_계_20~29세,"212,956","30,252","31,157","74,347","52,903","24,297"
2020년09월_계_30~39세,"196,294","26,058","26,694","66,985","56,858","19,699"
2020년09월_계_40~49세,"239,098","34,199","37,380","79,298","60,822","27,399"
2020년09월_계_50~59세,"242,735","36,919","40,015","78,112","54,171","33,518"
2020년09월_계_60~69세,"176,174","32,048","33,236","53,973","32,945","23,972"
2020년09월_계_70~79세,"90,737","19,058","20,549","25,792","13,354","11,984"
2020년09월_계_80~89세,"40,070","8,218","9,117","11,218","6,315","5,202"
2020년09월_계_90~99세,"5,819","1,121","1,265","1,679","1,076",678
2020년09월_계_100세 이상,364,96,85,91,56,36
2020년09월_남_총인구수,"733,356","112,589","117,205","236,605","178,003","88,954"
2020년09월_남_연령구간인구수,"733,356","112,589","117,205","236,605","178,003","88,954"
2020년09월_남_0~9세,"59,910","7,842","7,983","20,094","18,342","5,649"
2020년09월_남_10~19세,"76,647","10,430","11,492","25,988","19,917","8,820"
2020년09월_남_20~29세,"111,753","16,034","15,993","37,852","28,375","13,499"
2020년09월_남_30~39세,"102,270","14,075","13,730","34,196","29,527","10,742"
2020년09월_남_40~49세,"119,062","17,969","18,966","38,291","29,920","13,916"
2020년09월_남_50~59세,"121,133","18,922","20,212","37,897","27,024","17,078"
2020년09월_남_60~69세,"85,695","15,511","15,833","26,063","16,408","11,880"
2020년09월_남_70~79세,"41,155","8,550","9,219","11,825","6,172","5,389"
2020년09월_남_80~89세,"14,307","2,954","3,453","4,000","2,066","1,834"
2020년09월_남_90~99세,"1,335",273,302,381,240,139
2020년09월_남_100세 이상,89,29,22,18,12,8
2020년09월_여_총인구수,"735,743","110,779","120,220","244,175","174,601","85,968"
2020년09월_여_연령구간인구수,"735,743","110,779","120,220","244,175","174,601","85,968"
2020년09월_여_0~9세,"56,865","7,392","7,632","18,926","17,317","5,598"
2020년09월_여_10~19세,"71,430","9,735","10,820","24,277","18,528","8,070"
2020년09월_여_20~29세,"101,203","14,218","15,164","36,495","24,528","10,798"
2020년09월_여_30~39세,"94,024","11,983","12,964","32,789","27,331","8,957"
2020년09월_여_40~49세,"120,036","16,230","18,414","41,007","30,902","13,483"
2020년09월_여_50~59세,"121,602","17,997","19,803","40,215","27,147","16,440"
2020년09월_여_60~69세,"90,479","16,537","17,403","27,910","16,537","12,092"
2020년09월_여_70~79세,"49,582","10,508","11,330","13,967","7,182","6,595"
2020년09월_여_80~89세,"25,763","5,264","5,664","7,218","4,249","3,368"
2020년09월_여_90~99세,"4,484",848,963,"1,298",836,539
2020년09월_여_100세 이상,275,67,63,73,44,28
