,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년11월_계_총인구수,"464,453","48,513","13,277","10,831","30,047","9,061","13,278","11,465","3,909","7,594",0,555,0,159,0,"22,365","33,100","27,211","41,969","45,651","62,682","82,786"
2020년11월_계_연령구간인구수,"464,453","48,513","13,277","10,831","30,047","9,061","13,278","11,465","3,909","7,594",0,555,0,159,0,"22,365","33,100","27,211","41,969","45,651","62,682","82,786"
2020년11월_계_0~9세,"44,418","4,958",591,348,"1,779",196,656,494,95,587,0,20,0,5,0,"1,144","3,326","2,289","3,922","5,041","8,966","10,001"
2020년11월_계_10~19세,"48,931","4,760",794,740,"2,743",291,"1,005",656,196,527,0,36,0,12,0,"1,519","4,255","2,764","5,616","5,821","7,511","9,685"
2020년11월_계_20~29세,"56,695","5,818","1,482","1,319","3,773","2,027","1,476","1,264",412,941,0,53,0,3,0,"3,438","4,273","3,783","4,653","5,445","6,742","9,793"
2020년11월_계_30~39세,"67,024","7,699","1,341",898,"3,016","2,155","1,450","1,048",258,876,0,45,0,9,0,"2,826","4,475","3,630","5,200","6,584","11,876","13,638"
2020년11월_계_40~49세,"80,588","7,521","1,695","1,254","4,477",939,"2,135","1,353",357,844,0,73,0,14,0,"3,340","6,097","4,333","8,411","8,864","12,318","16,563"
2020년11월_계_50~59세,"72,714","6,952","2,562","2,196","5,935","1,326","2,600","2,327",786,"1,241",0,100,0,30,0,"4,228","5,181","4,672","6,794","6,816","7,441","11,527"
2020년11월_계_60~69세,"49,014","5,210","2,293","2,019","4,458","1,169","2,002","2,216",792,"1,216",0,94,0,35,0,"3,085","2,807","3,079","3,970","3,965","4,215","6,389"
2020년11월_계_70~79세,"28,722","3,511","1,489","1,276","2,476",562,"1,178","1,256",586,905,0,94,0,31,0,"1,829","1,740","1,711","2,155","2,051","2,409","3,463"
2020년11월_계_80~89세,"14,090","1,800",856,667,"1,207",343,659,698,357,383,0,37,0,18,0,820,824,839,"1,063",923,"1,055","1,541"
2020년11월_계_90~99세,"2,059",255,132,102,168,49,108,139,59,72,0,3,0,2,0,121,111,107,174,132,147,178
2020년11월_계_100세 이상,198,29,42,12,15,4,9,14,11,2,0,0,0,0,0,15,11,4,11,9,2,8
