,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년05월_계_총인구수,"278,999","2,678","8,617","1,936","20,394","6,303","6,461","2,781","1,331",808,"2,042","4,723","3,140","4,297","4,044","6,119","3,756","5,349","11,391","6,903","18,887","21,617","11,783","10,313","10,578","32,503","36,993","21,480","8,199","2,404","1,169"
2021년05월_계_연령구간인구수,"278,999","2,678","8,617","1,936","20,394","6,303","6,461","2,781","1,331",808,"2,042","4,723","3,140","4,297","4,044","6,119","3,756","5,349","11,391","6,903","18,887","21,617","11,783","10,313","10,578","32,503","36,993","21,480","8,199","2,404","1,169"
2021년05월_계_0~9세,"20,316",52,550,31,"2,028",262,130,61,14,18,58,236,111,145,108,206,145,162,681,427,"1,167","1,845",616,757,"1,032","2,656","4,608","1,156",971,61,22
2021년05월_계_10~19세,"26,018",85,664,72,"2,061",316,278,122,30,37,84,291,189,270,222,306,231,258,900,625,"1,863","2,313","1,073","1,179",943,"3,843","4,436","2,001","1,136",132,58
2021년05월_계_20~29세,"33,519",181,759,144,"2,207",460,570,125,61,51,144,482,371,412,355,656,429,455,"1,207",713,"2,516","2,730","1,785","1,412","1,110","5,126","4,522","3,288",892,247,109
2021년05월_계_30~39세,"30,339",124,791,86,"2,507",427,359,120,60,26,130,466,317,331,297,537,291,428,"1,077",630,"1,984","2,566","1,207","1,133","1,391","3,922","5,519","2,270","1,108",171,64
2021년05월_계_40~49세,"41,408",237,"1,270",151,"3,203",730,590,231,85,74,202,560,330,532,467,747,426,615,"1,548",943,"2,731","3,546","1,780","1,650","1,573","5,421","6,454","3,281","1,651",262,118
2021년05월_계_50~59세,"48,383",458,"1,405",313,"3,531","1,030","1,200",440,183,140,453,691,461,696,654,"1,030",596,884,"2,017","1,143","3,407","3,519","2,222","1,900","1,544","5,964","6,132","4,561","1,088",484,237
2021년05월_계_60~69세,"41,531",618,"1,627",462,"2,606","1,269","1,409",646,313,161,484,966,585,945,838,"1,264",787,"1,200","2,124","1,381","3,116","2,889","1,719","1,430","1,559","3,429","3,396","2,911",706,470,221
2021년05월_계_70~79세,"24,756",567,991,383,"1,382","1,060","1,122",621,329,175,302,742,533,701,774,977,569,952,"1,334",773,"1,397","1,488",940,623,996,"1,474","1,276","1,295",454,337,189
2021년05월_계_80~89세,"10,965",311,483,246,764,628,673,360,209,106,155,249,223,239,296,344,241,349,449,242,615,609,389,192,370,564,548,611,168,204,128
2021년05월_계_90~99세,"1,694",44,76,45,99,117,125,54,45,19,29,40,19,25,29,46,41,46,50,24,89,112,52,36,53,98,101,106,25,26,23
2021년05월_계_100세 이상,70,1,1,3,6,4,5,1,2,1,1,0,1,1,4,6,0,0,4,2,2,0,0,1,7,6,1,0,0,10,0
2021년05월_남_총인구수,"142,379","1,349","4,509",954,"10,393","3,271","3,325","1,416",655,402,"1,150","2,397","1,565","2,140","2,086","3,165","1,861","2,726","5,754","3,471","9,316","10,858","6,323","5,213","5,352","16,697","18,548","11,365","4,204","1,307",607
2021년05월_남_연령구간인구수,"142,379","1,349","4,509",954,"10,393","3,271","3,325","1,416",655,402,"1,150","2,397","1,565","2,140","2,086","3,165","1,861","2,726","5,754","3,471","9,316","10,858","6,323","5,213","5,352","16,697","18,548","11,365","4,204","1,307",607
2021년05월_남_0~9세,"10,290",25,286,16,"1,061",139,71,32,7,10,26,105,46,70,65,119,59,74,348,214,571,952,316,383,523,"1,329","2,329",589,486,31,8
2021년05월_남_10~19세,"13,493",42,342,39,"1,055",172,155,62,15,16,47,157,97,149,111,174,117,123,465,316,963,"1,169",573,625,485,"1,988","2,341",989,613,70,23
2021년05월_남_20~29세,"19,054",103,452,84,"1,259",276,335,77,29,29,84,273,191,242,209,372,233,258,699,400,"1,417","1,512","1,075",764,620,"2,980","2,407","1,967",474,167,66
2021년05월_남_30~39세,"16,287",79,433,47,"1,257",243,210,80,41,12,83,268,191,182,186,323,169,232,600,330,"1,029","1,342",709,623,734,"2,067","2,707","1,387",569,108,46
2021년05월_남_40~49세,"21,871",162,746,96,"1,692",488,372,151,65,42,145,336,189,305,287,455,241,398,862,500,"1,366","1,765",974,786,851,"2,623","3,157","1,725",845,162,85
2021년05월_남_50~59세,"25,499",254,788,169,"1,829",608,702,270,99,96,273,365,255,369,371,541,311,507,987,569,"1,639","1,809","1,235",955,764,"3,106","3,133","2,426",626,296,147
2021년05월_남_60~69세,"20,521",314,802,236,"1,351",640,771,340,184,79,274,446,264,410,393,583,349,537,985,672,"1,490","1,436",913,709,750,"1,706","1,699","1,492",328,248,120
2021년05월_남_70~79세,"11,358",245,457,178,620,474,490,271,148,81,156,355,238,312,347,458,283,450,625,370,611,660,412,296,487,720,597,591,204,154,68
2021년05월_남_80~89세,"3,698",116,185,78,249,213,193,121,60,32,57,84,90,95,107,129,93,139,177,94,218,198,109,66,132,166,161,178,56,62,40
2021년05월_남_90~99세,298,9,18,11,19,16,26,11,7,5,4,8,4,6,9,10,6,8,6,6,12,15,7,6,6,12,16,21,3,7,4
2021년05월_남_100세 이상,10,0,0,0,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2021년05월_여_총인구수,"136,620","1,329","4,108",982,"10,001","3,032","3,136","1,365",676,406,892,"2,326","1,575","2,157","1,958","2,954","1,895","2,623","5,637","3,432","9,571","10,759","5,460","5,100","5,226","15,806","18,445","10,115","3,995","1,097",562
2021년05월_여_연령구간인구수,"136,620","1,329","4,108",982,"10,001","3,032","3,136","1,365",676,406,892,"2,326","1,575","2,157","1,958","2,954","1,895","2,623","5,637","3,432","9,571","10,759","5,460","5,100","5,226","15,806","18,445","10,115","3,995","1,097",562
2021년05월_여_0~9세,"10,026",27,264,15,967,123,59,29,7,8,32,131,65,75,43,87,86,88,333,213,596,893,300,374,509,"1,327","2,279",567,485,30,14
2021년05월_여_10~19세,"12,525",43,322,33,"1,006",144,123,60,15,21,37,134,92,121,111,132,114,135,435,309,900,"1,144",500,554,458,"1,855","2,095","1,012",523,62,35
2021년05월_여_20~29세,"14,465",78,307,60,948,184,235,48,32,22,60,209,180,170,146,284,196,197,508,313,"1,099","1,218",710,648,490,"2,146","2,115","1,321",418,80,43
2021년05월_여_30~39세,"14,052",45,358,39,"1,250",184,149,40,19,14,47,198,126,149,111,214,122,196,477,300,955,"1,224",498,510,657,"1,855","2,812",883,539,63,18
2021년05월_여_40~49세,"19,537",75,524,55,"1,511",242,218,80,20,32,57,224,141,227,180,292,185,217,686,443,"1,365","1,781",806,864,722,"2,798","3,297","1,556",806,100,33
2021년05월_여_50~59세,"22,884",204,617,144,"1,702",422,498,170,84,44,180,326,206,327,283,489,285,377,"1,030",574,"1,768","1,710",987,945,780,"2,858","2,999","2,135",462,188,90
2021년05월_여_60~69세,"21,010",304,825,226,"1,255",629,638,306,129,82,210,520,321,535,445,681,438,663,"1,139",709,"1,626","1,453",806,721,809,"1,723","1,697","1,419",378,222,101
2021년05월_여_70~79세,"13,398",322,534,205,762,586,632,350,181,94,146,387,295,389,427,519,286,502,709,403,786,828,528,327,509,754,679,704,250,183,121
2021년05월_여_80~89세,"7,267",195,298,168,515,415,480,239,149,74,98,165,133,144,189,215,148,210,272,148,397,411,280,126,238,398,387,433,112,142,88
2021년05월_여_90~99세,"1,396",35,58,34,80,101,99,43,38,14,25,32,15,19,20,36,35,38,44,18,77,97,45,30,47,86,85,85,22,19,19
2021년05월_여_100세 이상,60,1,1,3,5,2,5,0,2,1,0,0,1,1,3,5,0,0,4,2,2,0,0,1,7,6,0,0,0,8,0
