,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년12월_계_총인구수,"219,014","37,470","40,329","39,096","16,634","29,904","35,440","10,063","10,078"
2020년12월_계_연령구간인구수,"219,014","37,470","40,329","39,096","16,634","29,904","35,440","10,063","10,078"
2020년12월_계_0~9세,"25,296","4,705","5,464","3,763","2,703","2,714","4,435",742,770
2020년12월_계_10~19세,"23,659","3,943","4,704","6,295","1,331","2,239","3,591",768,788
2020년12월_계_20~29세,"27,769","4,220","4,525","4,978","1,238","4,734","5,005","1,763","1,306"
2020년12월_계_30~39세,"34,264","5,892","6,738","3,946","3,503","4,940","6,204","1,610","1,431"
2020년12월_계_40~49세,"38,590","6,707","7,485","8,505","2,800","4,352","5,754","1,450","1,537"
2020년12월_계_50~59세,"38,708","6,243","6,335","7,135","2,197","6,410","6,448","2,007","1,933"
2020년12월_계_60~69세,"19,850","3,642","3,292","2,632","1,774","3,120","2,661","1,179","1,550"
2020년12월_계_70~79세,"7,397","1,493","1,198","1,254",679,945,889,388,551
2020년12월_계_80~89세,"3,022",536,515,513,349,392,392,134,191
2020년12월_계_90~99세,439,84,72,72,56,57,61,21,16
2020년12월_계_100세 이상,20,5,1,3,4,1,0,1,5
2020년12월_남_총인구수,"113,392","19,145","20,601","19,898","8,519","15,972","18,071","5,792","5,394"
2020년12월_남_연령구간인구수,"113,392","19,145","20,601","19,898","8,519","15,972","18,071","5,792","5,394"
2020년12월_남_0~9세,"12,989","2,392","2,838","1,943","1,342","1,432","2,293",369,380
2020년12월_남_10~19세,"12,333","2,026","2,450","3,315",674,"1,185","1,837",411,435
2020년12월_남_20~29세,"15,677","2,330","2,464","2,756",682,"2,682","2,750","1,217",796
2020년12월_남_30~39세,"17,843","2,977","3,386","1,903","1,767","2,838","3,165",989,818
2020년12월_남_40~49세,"19,748","3,492","3,870","3,996","1,580","2,320","2,788",824,878
2020년12월_남_50~59세,"19,992","3,178","3,200","3,882","1,099","3,270","3,270","1,116",977
2020년12월_남_60~69세,"10,413","1,902","1,668","1,388",933,"1,670","1,424",631,797
2020년12월_남_70~79세,"3,442",681,560,545,331,452,434,201,238
2020년12월_남_80~89세,885,153,155,155,101,114,104,31,72
2020년12월_남_90~99세,66,13,10,15,10,8,6,3,1
2020년12월_남_100세 이상,4,1,0,0,0,1,0,0,2
2020년12월_여_총인구수,"105,622","18,325","19,728","19,198","8,115","13,932","17,369","4,271","4,684"
2020년12월_여_연령구간인구수,"105,622","18,325","19,728","19,198","8,115","13,932","17,369","4,271","4,684"
2020년12월_여_0~9세,"12,307","2,313","2,626","1,820","1,361","1,282","2,142",373,390
2020년12월_여_10~19세,"11,326","1,917","2,254","2,980",657,"1,054","1,754",357,353
2020년12월_여_20~29세,"12,092","1,890","2,061","2,222",556,"2,052","2,255",546,510
2020년12월_여_30~39세,"16,421","2,915","3,352","2,043","1,736","2,102","3,039",621,613
2020년12월_여_40~49세,"18,842","3,215","3,615","4,509","1,220","2,032","2,966",626,659
2020년12월_여_50~59세,"18,716","3,065","3,135","3,253","1,098","3,140","3,178",891,956
2020년12월_여_60~69세,"9,437","1,740","1,624","1,244",841,"1,450","1,237",548,753
2020년12월_여_70~79세,"3,955",812,638,709,348,493,455,187,313
2020년12월_여_80~89세,"2,137",383,360,358,248,278,288,103,119
2020년12월_여_90~99세,373,71,62,57,46,49,55,18,15
2020년12월_여_100세 이상,16,4,1,3,4,0,0,1,3
