,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년06월_계_총인구수,"107,422","5,431","4,249","2,855","2,083","2,789","1,778","1,796","2,067","2,561","3,387","2,789","1,668","2,315","1,220","2,083","17,272","2,988","20,449","3,279","10,316","6,046","4,101","3,900"
2021년06월_계_연령구간인구수,"107,422","5,431","4,249","2,855","2,083","2,789","1,778","1,796","2,067","2,561","3,387","2,789","1,668","2,315","1,220","2,083","17,272","2,988","20,449","3,279","10,316","6,046","4,101","3,900"
2021년06월_계_0~9세,"6,053",238,172,57,64,67,48,37,41,76,66,51,48,84,30,55,"1,346",144,"1,553",153,953,460,183,127
2021년06월_계_10~19세,"9,449",361,268,144,74,117,72,98,86,110,145,66,67,141,54,90,"1,953",280,"2,712",262,"1,317",497,310,225
2021년06월_계_20~29세,"10,440",371,374,187,111,152,111,132,112,155,226,132,81,145,70,114,"2,183",326,"2,458",336,"1,210",618,410,426
2021년06월_계_30~39세,"8,619",359,297,140,116,190,86,84,94,141,166,167,101,115,49,94,"1,888",232,"1,817",243,"1,030",610,301,299
2021년06월_계_40~49세,"14,432",606,459,245,177,262,150,175,173,225,321,221,145,229,81,183,"3,056",467,"3,376",354,"1,714",920,473,420
2021년06월_계_50~59세,"18,179",875,823,540,348,432,259,341,324,438,559,420,261,395,240,358,"3,026",543,"3,379",521,"1,669",967,776,685
2021년06월_계_60~69세,"17,467","1,028",828,607,420,618,384,370,443,554,725,678,350,446,288,450,"2,002",432,"2,597",635,"1,245",901,766,700
2021년06월_계_70~79세,"13,204",933,569,479,411,516,371,300,411,466,612,601,325,406,227,401,"1,182",330,"1,624",489,775,714,507,555
2021년06월_계_80~89세,"8,325",579,402,398,327,381,250,218,335,344,491,390,240,313,158,290,564,209,808,239,366,297,331,395
2021년06월_계_90~99세,"1,192",77,52,56,34,52,45,40,47,49,73,59,48,38,22,48,64,24,121,46,36,60,38,63
2021년06월_계_100세 이상,62,4,5,2,1,2,2,1,1,3,3,4,2,3,1,0,8,1,4,1,1,2,6,5
2021년06월_남_총인구수,"53,374","2,672","2,151","1,435","1,075","1,393",879,912,"1,023","1,283","1,688","1,400",843,"1,189",623,"1,048","8,774","1,467","9,853","1,585","5,079","3,022","1,974","2,006"
2021년06월_남_연령구간인구수,"53,374","2,672","2,151","1,435","1,075","1,393",879,912,"1,023","1,283","1,688","1,400",843,"1,189",623,"1,048","8,774","1,467","9,853","1,585","5,079","3,022","1,974","2,006"
2021년06월_남_0~9세,"3,095",114,78,30,39,30,29,18,23,45,38,27,23,37,14,25,683,68,785,81,517,236,87,68
2021년06월_남_10~19세,"5,017",221,144,82,40,55,36,57,54,51,79,42,37,90,30,42,"1,053",137,"1,356",135,737,255,164,120
2021년06월_남_20~29세,"5,792",208,216,117,71,101,61,78,72,98,131,71,47,87,43,60,"1,226",174,"1,284",193,656,331,228,239
2021년06월_남_30~39세,"4,601",208,163,81,70,124,56,57,55,78,108,105,68,79,34,55,998,113,894,115,492,318,153,177
