,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년03월_계_총인구수,"132,542","6,738","1,928","1,275","2,023","2,202",711,"3,253","4,607","18,749","9,968","5,873","4,876","10,295","17,959","11,154","15,614","15,317"
2021년03월_계_연령구간인구수,"132,542","6,738","1,928","1,275","2,023","2,202",711,"3,253","4,607","18,749","9,968","5,873","4,876","10,295","17,959","11,154","15,614","15,317"
2021년03월_계_0~9세,"8,548",263,42,25,39,71,20,85,98,"1,536",804,244,187,778,"1,324",736,668,"1,628"
2021년03월_계_10~19세,"11,536",338,86,46,67,193,36,126,193,"2,348","1,104",403,293,904,"1,772","1,163","1,114","1,350"
2021년03월_계_20~29세,"14,626",471,119,68,83,76,33,162,358,"2,279","1,252",656,554,"1,045","2,639","1,367","1,904","1,560"
2021년03월_계_30~39세,"12,802",424,98,65,76,79,39,133,226,"1,944","1,020",477,394,"1,134","2,147","1,012","1,398","2,136"
2021년03월_계_40~49세,"18,225",693,139,81,128,188,66,237,408,"3,261","1,612",740,547,"1,450","2,689","1,720","1,900","2,366"
2021년03월_계_50~59세,"23,792","1,270",379,262,386,369,141,590,871,"3,420","1,793","1,011",892,"1,777","3,154","2,151","2,896","2,430"
2021년03월_계_60~69세,"23,271","1,708",541,359,600,576,193,983,"1,248","2,334","1,374","1,236","1,102","1,650","2,427","1,601","3,282","2,057"
2021년03월_계_70~79세,"12,463",941,281,218,384,399,97,536,704,"1,090",614,752,630,"1,010","1,110",902,"1,643","1,152"
2021년03월_계_80~89세,"6,388",550,208,139,236,214,69,349,433,485,336,308,253,477,623,433,706,569
2021년03월_계_90~99세,828,80,30,12,20,37,15,50,63,48,56,42,23,54,73,62,97,66
2021년03월_계_100세 이상,63,0,5,0,4,0,2,2,5,4,3,4,1,16,1,7,6,3
2021년03월_남_총인구수,"66,558","3,456","1,028",654,"1,052","1,121",361,"1,663","2,412","9,227","4,930","2,912","2,432","5,171","8,959","5,594","7,838","7,748"
2021년03월_남_연령구간인구수,"66,558","3,456","1,028",654,"1,052","1,121",361,"1,663","2,412","9,227","4,930","2,912","2,432","5,171","8,959","5,594","7,838","7,748"
2021년03월_남_0~9세,"4,377",144,26,16,21,41,9,46,45,773,432,115,99,422,661,373,335,819
2021년03월_남_10~19세,"5,994",176,54,21,35,102,19,75,110,"1,198",564,209,150,472,906,612,606,685
2021년03월_남_20~29세,"8,150",262,75,39,61,47,23,95,221,"1,225",675,342,320,591,"1,456",763,"1,087",868
2021년03월_남_30~39세,"6,728",233,57,41,49,41,22,76,150,963,496,285,218,570,"1,141",529,779,"1,078"
2021년03월_남_40~49세,"9,384",392,83,53,81,118,37,138,251,"1,560",791,384,293,778,"1,322",844,986,"1,273"
2021년03월_남_50~59세,"12,147",681,212,132,199,196,82,309,458,"1,718",899,504,451,895,"1,584","1,139","1,408","1,280"
2021년03월_남_60~69세,"11,588",897,299,193,320,299,96,513,661,"1,149",678,577,506,796,"1,244",799,"1,575",986
2021년03월_남_70~79세,"5,651",450,139,104,192,196,41,263,332,461,264,354,293,448,440,370,784,520
2021년03월_남_80~89세,"2,334",206,73,54,85,74,26,136,167,172,115,130,96,178,189,150,258,225
2021년03월_남_90~99세,184,15,9,1,6,7,4,12,15,8,15,10,6,14,16,13,19,14
2021년03월_남_100세 이상,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021년03월_여_총인구수,"65,984","3,282",900,621,971,"1,081",350,"1,590","2,195","9,522","5,038","2,961","2,444","5,124","9,000","5,560","7,776","7,569"
2021년03월_여_연령구간인구수,"65,984","3,282",900,621,971,"1,081",350,"1,590","2,195","9,522","5,038","2,961","2,444","5,124","9,000","5,560","7,776","7,569"
2021년03월_여_0~9세,"4,171",119,16,9,18,30,11,39,53,763,372,129,88,356,663,363,333,809
2021년03월_여_10~19세,"5,542",162,32,25,32,91,17,51,83,"1,150",540,194,143,432,866,551,508,665
2021년03월_여_20~29세,"6,476",209,44,29,22,29,10,67,137,"1,054",577,314,234,454,"1,183",604,817,692
2021년03월_여_30~39세,"6,074",191,41,24,27,38,17,57,76,981,524,192,176,564,"1,006",483,619,"1,058"
2021년03월_여_40~49세,"8,841",301,56,28,47,70,29,99,157,"1,701",821,356,254,672,"1,367",876,914,"1,093"
2021년03월_여_50~59세,"11,645",589,167,130,187,173,59,281,413,"1,702",894,507,441,882,"1,570","1,012","1,488","1,150"
2021년03월_여_60~69세,"11,683",811,242,166,280,277,97,470,587,"1,185",696,659,596,854,"1,183",802,"1,707","1,071"
2021년03월_여_70~79세,"6,812",491,142,114,192,203,56,273,372,629,350,398,337,562,670,532,859,632
2021년03월_여_80~89세,"4,054",344,135,85,151,140,43,213,266,313,221,178,157,299,434,283,448,344
2021년03월_여_90~99세,644,65,21,11,14,30,11,38,48,40,41,32,17,40,57,49,78,52
2021년03월_여_100세 이상,42,0,4,0,1,0,0,2,3,4,2,2,1,9,1,5,5,3
