,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년06월_계_총인구수,"340,693","7,488","10,520","9,859","11,768","6,435","13,034","12,145","7,399","13,953","13,604","4,075","21,540","14,584","15,773","18,063","15,394","43,034","11,158","21,259","29,282","18,683","21,643"
2021년06월_계_연령구간인구수,"340,693","7,488","10,520","9,859","11,768","6,435","13,034","12,145","7,399","13,953","13,604","4,075","21,540","14,584","15,773","18,063","15,394","43,034","11,158","21,259","29,282","18,683","21,643"
2021년06월_계_0~9세,"24,375",273,950,936,359,208,733,882,158,508,662,177,"2,179",631,812,817,741,"3,610",625,"2,366","2,458","2,980","1,310"
2021년06월_계_10~19세,"26,314",390,853,629,620,383,874,"1,025",335,801,964,219,"2,300",892,911,"1,240",939,"3,691",638,"2,685","2,932","1,516","1,477"
2021년06월_계_20~29세,"41,195",862,"1,012","1,060","1,729",766,"1,511","1,547","1,307","1,831","1,719",593,"2,241","1,903","2,131","2,310","1,897","5,167","1,365","2,165","3,811","1,879","2,389"
2021년06월_계_30~39세,"43,264",660,"1,354","1,592","1,384",560,"1,473","1,484","1,065","1,348","1,480",450,"2,721","1,485","1,871","1,666","1,627","5,546","1,327","3,003","4,069","4,464","2,635"
2021년06월_계_40~49세,"50,896",924,"1,822","1,377","1,537",811,"1,864","1,888",934,"1,664","1,907",442,"3,985","1,735","2,023","2,223","1,952","6,716","1,418","4,220","4,888","3,555","3,011"
2021년06월_계_50~59세,"56,380","1,298","1,550","1,492","2,250","1,204","2,185","2,131","1,247","2,539","2,281",728,"3,276","2,837","2,880","3,470","2,806","6,919","2,147","2,882","4,652","1,769","3,837"
2021년06월_계_60~69세,"52,867","1,442","1,429","1,474","2,137","1,290","2,164","1,711","1,246","2,702","2,462",752,"2,771","2,912","2,806","3,393","2,854","6,457","2,025","2,015","3,720","1,537","3,568"
2021년06월_계_70~79세,"30,274","1,023","1,005",869,"1,208",799,"1,442",934,739,"1,717","1,413",461,"1,414","1,501","1,568","1,929","1,756","3,259","1,112","1,321","1,917",699,"2,188"
