,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년06월_계_총인구수,"3,325,840","1,034,527","260,018","212,180","180,374","188,525","193,430","347,204","126,413","110,414","539,841","104,070","243,200","353,686","26,526","63,157","60,754","50,933","42,650","44,065","34,587","38,793","61,555","43,465"
2021년06월_계_연령구간인구수,"3,325,840","1,034,527","260,018","212,180","180,374","188,525","193,430","347,204","126,413","110,414","539,841","104,070","243,200","353,686","26,526","63,157","60,754","50,933","42,650","44,065","34,587","38,793","61,555","43,465"
2021년06월_계_0~9세,"259,234","81,179","20,791","15,735","13,288","12,675","18,690","27,481","9,062","7,875","47,416","5,421","25,335","33,730","1,037","3,799","3,060","2,409","1,541","1,710","1,250","1,751","3,656","1,522"
2021년06월_계_10~19세,"321,067","98,463","23,112","22,358","14,118","17,824","21,051","34,738","12,669","10,177","60,511","7,658","27,837","34,533","1,461","5,857","4,161","4,151","2,913","2,759","2,049","2,896","5,889","2,345"
2021년06월_계_20~29세,"371,865","128,124","34,989","31,655","19,237","21,653","20,590","44,908","10,848","10,586","68,290","8,904","23,629","40,169","1,949","5,266","4,696","3,815","3,186","3,251","2,349","3,041","5,910","2,944"
2021년06월_계_30~39세,"388,900","131,849","34,556","28,799","21,360","20,930","26,204","41,062","12,995","11,447","67,638","8,641","34,684","48,197","1,692","5,237","4,899","3,641","2,382","2,653","2,049","2,536","4,871","2,427"
2021년06월_계_40~49세,"531,783","167,185","40,537","34,877","26,587","29,672","35,512","53,685","20,954","17,529","97,280","12,819","47,446","61,217","2,759","9,084","6,957","6,185","4,507","4,774","3,393","4,272","7,614","4,123"
2021년06월_계_50~59세,"576,740","184,381","49,517","42,787","29,494","33,825","28,758","56,970","22,044","18,196","97,437","18,336","39,362","58,769","4,494","11,055","10,687","8,944","7,129","8,133","6,344","6,754","10,348","7,357"
2021년06월_계_60~69세,"482,382","147,857","36,216","25,356","31,135","30,699","24,451","47,925","21,041","17,093","61,286","21,584","27,882","45,148","5,655","11,434","12,482","10,045","8,504","9,186","7,610","7,587","10,603","9,460"
2021년06월_계_70~79세,"247,401","64,644","13,649","7,127","16,812","15,032","12,024","25,754","11,214","10,731","26,664","12,743","11,084","21,545","3,915","6,645","8,024","6,748","6,650","6,360","5,199","5,445","6,936","7,100"
2021년06월_계_80~89세,"128,001","27,164","5,797","3,031","7,282","5,595","5,459","12,795","4,916","5,908","11,810","7,031","5,099","9,174","3,090","4,190","5,101","4,325","4,925","4,445","3,746","3,897","4,933","5,452"
2021년06월_계_90~99세,"17,961","3,593",831,443,"1,038",601,680,"1,809",653,849,"1,457",905,813,"1,170",468,582,673,655,899,777,583,598,771,706
2021년06월_계_100세 이상,506,88,23,12,23,19,11,77,17,23,52,28,29,34,6,8,14,15,14,17,15,16,24,29
2021년06월_남_총인구수,"1,674,612","524,225","132,314","108,457","89,785","94,463","99,206","171,653","63,516","55,729","273,017","51,109","127,510","177,308","13,035","32,088","30,247","25,551","20,633","22,015","16,992","18,746","30,214","21,024"
2021년06월_남_연령구간인구수,"1,674,612","524,225","132,314","108,457","89,785","94,463","99,206","171,653","63,516","55,729","273,017","51,109","127,510","177,308","13,035","32,088","30,247","25,551","20,633","22,015","16,992","18,746","30,214","21,024"
2021년06월_남_0~9세,"133,219","41,910","10,667","8,061","6,898","6,527","9,757","14,226","4,560","4,071","24,189","2,773","13,130","17,205",537,"1,915","1,588","1,205",797,892,652,886,"1,893",790
2021년06월_남_10~19세,"167,798","51,530","12,225","11,793","7,309","9,308","10,895","18,294","6,544","5,271","31,387","4,020","14,554","17,695",773,"3,094","2,245","2,271","1,595","1,497","1,105","1,502","3,193","1,228"
2021년06월_남_20~29세,"207,472","71,608","19,453","17,768","10,639","12,014","11,734","24,702","6,064","6,333","37,269","5,167","13,355","21,613","1,104","3,080","2,710","2,248","1,969","1,945","1,338","1,724","3,538","1,705"
2021년06월_남_30~39세,"203,469","69,805","18,296","15,411","11,305","11,019","13,774","21,109","6,666","6,180","34,891","4,586","18,189","24,778",909,"2,677","2,691","2,015","1,240","1,463","1,092","1,307","2,513","1,358"
2021년06월_남_40~49세,"273,671","85,076","20,477","16,791","13,988","15,129","18,691","26,747","11,256","9,325","48,376","6,789","25,735","31,084","1,580","4,908","3,871","3,438","2,413","2,655","1,874","2,339","3,864","2,341"
2021년06월_남_50~59세,"295,138","91,605","24,305","20,746","14,725","16,837","14,992","28,119","11,405","9,680","49,957","9,286","21,227","29,676","2,511","6,113","5,750","4,878","3,852","4,483","3,451","3,636","5,413","4,096"
2021년06월_남_60~69세,"239,755","73,159","18,376","13,496","14,734","14,656","11,897","22,878","10,244","8,276","31,318","10,580","14,308","22,091","2,996","5,940","6,229","5,035","4,172","4,777","3,948","3,800","5,189","4,815"
