,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년04월_계_총인구수,"323,230","19,115","25,221","16,326","22,864","8,848","27,593","48,892","21,692","32,715","26,614","30,893","16,920","14,926","10,611"
2020년04월_계_연령구간인구수,"323,230","19,115","25,221","16,326","22,864","8,848","27,593","48,892","21,692","32,715","26,614","30,893","16,920","14,926","10,611"
2020년04월_계_0~9세,"24,683",880,"2,068","1,329","1,922",482,"1,701","3,697","1,301","2,303","2,067","3,622","1,583","1,276",452
2020년04월_계_10~19세,"31,650","1,153","3,219","1,226","2,458",609,"2,229","4,568","1,879","3,740","3,383","3,328","1,883","1,374",601
2020년04월_계_20~29세,"46,521","2,642","3,412","2,127","3,183","1,392","4,188","7,784","3,391","5,856","3,776","3,518","2,324","1,883","1,045"
2020년04월_계_30~39세,"43,270","2,318","2,979","2,078","3,021","1,273","4,001","7,860","2,381","3,692","3,076","4,902","2,383","2,103","1,203"
2020년04월_계_40~49세,"52,748","2,539","4,466","2,546","3,844","1,364","4,234","8,557","3,276","5,487","4,368","5,489","2,683","2,458","1,437"
2020년04월_계_50~59세,"62,508","3,876","4,814","3,283","4,051","1,768","5,440","9,302","4,841","6,682","5,462","4,925","3,259","2,754","2,051"
2020년04월_계_60~69세,"39,758","3,489","2,673","2,342","2,769","1,222","3,729","5,038","2,886","3,155","3,050","3,269","1,948","2,010","2,178"
2020년04월_계_70~79세,"15,962","1,634","1,180","1,002","1,182",551,"1,417","1,535","1,210","1,263","1,044","1,369",615,753,"1,207"
2020년04월_계_80~89세,"5,438",524,350,338,378,167,587,483,470,475,346,427,214,285,394
2020년04월_계_90~99세,660,55,58,51,53,20,63,65,57,61,42,41,28,27,39
2020년04월_계_100세 이상,32,5,2,4,3,0,4,3,0,1,0,3,0,3,4
2020년04월_남_총인구수,"164,885","9,760","12,952","8,317","11,522","4,712","13,928","25,214","11,081","16,758","13,370","15,467","8,492","7,653","5,659"
2020년04월_남_연령구간인구수,"164,885","9,760","12,952","8,317","11,522","4,712","13,928","25,214","11,081","16,758","13,370","15,467","8,492","7,653","5,659"
2020년04월_남_0~9세,"12,705",448,"1,099",696,984,252,884,"1,866",737,"1,184","1,051","1,819",801,658,226
2020년04월_남_10~19세,"16,708",591,"1,751",653,"1,273",318,"1,188","2,374",985,"1,947","1,871","1,717",996,715,329
2020년04월_남_20~29세,"25,956","1,512","1,937","1,168","1,754",809,"2,324","4,265","1,905","3,350","2,162","1,892","1,252","1,016",610
2020년04월_남_30~39세,"22,941","1,348","1,526","1,083","1,566",730,"2,178","4,249","1,306","1,980","1,534","2,405","1,189","1,124",723
2020년04월_남_40~49세,"25,726","1,349","2,077","1,295","1,862",737,"2,095","4,158","1,587","2,526","1,900","2,752","1,255","1,263",870
2020년04월_남_50~59세,"31,502","1,926","2,511","1,666","2,045",910,"2,604","4,729","2,436","3,384","2,659","2,478","1,628","1,380","1,146"
2020년04월_남_60~69세,"19,792","1,654","1,328","1,134","1,342",621,"1,811","2,606","1,429","1,622","1,574","1,595","1,001","1,026","1,049"
2020년04월_남_70~79세,"7,608",745,594,477,549,275,650,795,539,596,506,647,297,374,564
2020년04월_남_80~89세,"1,825",179,120,134,135,58,181,160,145,159,105,153,69,92,135
2020년04월_남_90~99세,112,7,8,9,11,2,12,11,12,10,8,9,4,2,7
2020년04월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년04월_여_총인구수,"158,345","9,355","12,269","8,009","11,342","4,136","13,665","23,678","10,611","15,957","13,244","15,426","8,428","7,273","4,952"
2020년04월_여_연령구간인구수,"158,345","9,355","12,269","8,009","11,342","4,136","13,665","23,678","10,611","15,957","13,244","15,426","8,428","7,273","4,952"
2020년04월_여_0~9세,"11,978",432,969,633,938,230,817,"1,831",564,"1,119","1,016","1,803",782,618,226
2020년04월_여_10~19세,"14,942",562,"1,468",573,"1,185",291,"1,041","2,194",894,"1,793","1,512","1,611",887,659,272
2020년04월_여_20~29세,"20,565","1,130","1,475",959,"1,429",583,"1,864","3,519","1,486","2,506","1,614","1,626","1,072",867,435
2020년04월_여_30~39세,"20,329",970,"1,453",995,"1,455",543,"1,823","3,611","1,075","1,712","1,542","2,497","1,194",979,480
2020년04월_여_40~49세,"27,022","1,190","2,389","1,251","1,982",627,"2,139","4,399","1,689","2,961","2,468","2,737","1,428","1,195",567
2020년04월_여_50~59세,"31,006","1,950","2,303","1,617","2,006",858,"2,836","4,573","2,405","3,298","2,803","2,447","1,631","1,374",905
2020년04월_여_60~69세,"19,966","1,835","1,345","1,208","1,427",601,"1,918","2,432","1,457","1,533","1,476","1,674",947,984,"1,129"
2020년04월_여_70~79세,"8,354",889,586,525,633,276,767,740,671,667,538,722,318,379,643
2020년04월_여_80~89세,"3,613",345,230,204,243,109,406,323,325,316,241,274,145,193,259
2020년04월_여_90~99세,548,48,50,42,42,18,51,54,45,51,34,32,24,25,32
2020년04월_여_100세 이상,22,4,1,2,2,0,3,2,0,1,0,3,0,0,4
