,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년06월_계_총인구수,"1,854,618","228,231","281,121","281,054","114,448","152,016","46,045","28,340","25,826","64,336","40,939","62,654","38,071","34,913","69,465","54,266","81,620","32,360","53,475","45,203","50,192","30,461","39,582"
2020년06월_계_연령구간인구수,"1,854,618","228,231","281,121","281,054","114,448","152,016","46,045","28,340","25,826","64,336","40,939","62,654","38,071","34,913","69,465","54,266","81,620","32,360","53,475","45,203","50,192","30,461","39,582"
2020년06월_계_0~9세,"135,676","19,579","21,598","23,830","10,126","13,853","2,335","1,133","1,191","2,653","1,837","3,579","2,065","1,863","4,223","3,828","7,080","1,447","3,805","2,944","3,274","1,757","1,676"
2020년06월_계_10~19세,"169,972","25,244","26,958","30,772","9,361","16,195","3,046","2,050","1,928","3,977","2,665","5,854","2,894","2,576","5,382","4,598","8,796","2,093","4,276","3,324","3,675","2,257","2,051"
2020년06월_계_20~29세,"200,707","27,537","33,790","37,201","12,165","20,344","4,846","2,402","2,007","4,289","3,061","6,772","3,117","2,868","5,599","5,008","8,299","2,567","5,074","4,584","3,795","2,420","2,962"
2020년06월_계_30~39세,"190,059","27,407","31,713","33,220","14,603","19,047","3,689","1,762","1,724","3,837","2,650","4,867","2,905","2,579","5,310","5,090","9,311","2,183","4,934","3,841","4,211","2,286","2,890"
2020년06월_계_40~49세,"262,465","38,142","42,449","43,771","16,253","24,196","5,287","3,153","3,020","6,436","4,287","8,511","4,262","3,847","8,219","7,637","12,695","3,589","6,687","5,714","6,291","3,569","4,450"
2020년06월_계_50~59세,"315,014","36,738","48,622","49,110","17,256","28,836","8,128","4,955","4,679","10,494","6,809","11,290","6,403","5,774","11,796","9,388","12,425","5,596","8,719","7,557","8,226","5,043","7,170"
2020년06월_계_60~69세,"264,683","28,294","39,782","32,821","15,663","16,183","8,005","4,889","4,539","12,505","7,521","9,092","6,450","6,080","12,104","7,856","10,478","5,810","8,367","7,090","8,409","5,166","7,579"
2020년06월_계_70~79세,"191,712","17,403","24,073","18,753","11,492","8,003","6,317","4,311","3,905","11,431","6,674","7,472","5,495","5,271","10,059","6,348","7,791","5,200","7,120","5,963","7,422","4,776","6,433"
2020년06월_계_80~89세,"107,957","6,877","10,472","9,964","6,494","4,605","3,772","3,171","2,462","7,459","4,706","4,548","3,853","3,541","5,938","3,971","4,138","3,369","3,924","3,661","4,323","2,816","3,893"
2020년06월_계_90~99세,"15,538",933,"1,560","1,550",977,732,589,503,350,"1,207",689,634,604,484,790,510,571,480,534,483,543,353,462
2020년06월_계_100세 이상,835,77,104,62,58,22,31,11,21,48,40,35,23,30,45,32,36,26,35,42,23,18,16
2020년06월_남_총인구수,"931,898","113,829","143,298","140,303","57,642","79,189","23,431","13,836","12,523","31,214","19,855","30,997","18,482","16,851","34,269","27,892","40,940","16,181","26,665","23,250","25,246","14,972","21,033"
2020년06월_남_연령구간인구수,"931,898","113,829","143,298","140,303","57,642","79,189","23,431","13,836","12,523","31,214","19,855","30,997","18,482","16,851","34,269","27,892","40,940","16,181","26,665","23,250","25,246","14,972","21,033"
2020년06월_남_0~9세,"69,174","10,073","10,970","12,257","5,182","7,025","1,166",573,589,"1,328",957,"1,817","1,066",936,"2,131","1,919","3,610",755,"1,940","1,482","1,685",846,867
2020년06월_남_10~19세,"88,373","12,952","14,072","16,099","4,813","8,400","1,592","1,073","1,026","2,104","1,356","3,049","1,519","1,324","2,798","2,464","4,514","1,111","2,227","1,759","1,889","1,169","1,063"
2020년06월_남_20~29세,"111,830","14,852","19,079","20,182","6,443","11,830","2,901","1,301","1,061","2,494","1,721","3,672","1,744","1,601","3,137","2,848","4,467","1,495","2,842","2,784","2,233","1,388","1,755"
2020년06월_남_30~39세,"100,061","14,116","17,057","16,972","7,590","10,171","1,953",951,915,"2,088","1,419","2,482","1,530","1,313","2,758","2,809","4,789","1,175","2,549","2,037","2,317","1,252","1,818"
2020년06월_남_40~49세,"140,651","19,655","22,400","21,607","9,151","12,302","3,071","1,768","1,653","3,757","2,430","4,449","2,362","2,150","4,661","4,533","6,740","2,130","3,819","3,296","3,690","2,060","2,967"
2020년06월_남_50~59세,"168,487","18,441","25,315","24,820","9,417","15,823","4,489","2,735","2,576","5,782","3,792","6,175","3,463","3,096","6,466","5,364","6,821","3,245","4,757","4,295","4,512","2,759","4,344"
2020년06월_남_60~69세,"132,975","13,506","19,764","16,478","7,956","8,534","4,136","2,538","2,217","6,181","3,756","4,732","3,211","3,023","5,987","3,971","5,220","2,989","4,182","3,685","4,177","2,607","4,125"
