,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년05월_계_총인구수,"55,616","15,063","2,375","2,690","1,701","18,644","2,554","2,485","1,547","2,781","3,226","1,177","1,373"
2020년05월_계_연령구간인구수,"55,616","15,063","2,375","2,690","1,701","18,644","2,554","2,485","1,547","2,781","3,226","1,177","1,373"
2020년05월_계_0~9세,"4,660",820,82,65,51,"3,223",154,59,23,57,59,25,42
2020년05월_계_10~19세,"4,412","1,285",117,83,59,"2,256",108,92,46,85,140,63,78
2020년05월_계_20~29세,"4,127","1,364",105,154,59,"1,638",220,120,54,96,206,44,67
2020년05월_계_30~39세,"5,640","1,201",91,120,82,"3,403",222,118,48,125,126,44,60
2020년05월_계_40~49세,"7,094","1,968",184,168,124,"3,429",241,203,109,210,255,90,113
2020년05월_계_50~59세,"8,119","2,558",367,429,265,"2,121",334,383,226,441,519,250,226
2020년05월_계_60~69세,"9,092","2,817",496,669,401,"1,303",443,566,386,678,713,322,298
2020년05월_계_70~79세,"6,912","1,846",493,513,337,740,426,533,350,582,649,175,268
2020년05월_계_80~89세,"4,886","1,027",393,434,296,462,355,361,275,450,500,142,191
2020년05월_계_90~99세,638,171,43,50,27,66,49,46,29,52,57,21,27
2020년05월_계_100세 이상,36,6,4,5,0,3,2,4,1,5,2,1,3
2020년05월_남_총인구수,"27,329","7,452","1,187","1,327",833,"9,138","1,258","1,205",743,"1,369","1,554",580,683
2020년05월_남_연령구간인구수,"27,329","7,452","1,187","1,327",833,"9,138","1,258","1,205",743,"1,369","1,554",580,683
2020년05월_남_0~9세,"2,360",405,46,35,25,"1,629",81,28,8,32,36,13,22
2020년05월_남_10~19세,"2,362",739,68,42,37,"1,156",61,48,26,43,70,34,38
2020년05월_남_20~29세,"2,312",795,64,100,31,842,135,67,35,57,126,21,39
2020년05월_남_30~39세,"2,820",609,48,69,42,"1,598",126,72,29,82,84,20,41
2020년05월_남_40~49세,"3,904","1,081",118,112,86,"1,720",157,136,75,143,154,56,66
2020년05월_남_50~59세,"4,250","1,256",220,236,162,"1,071",194,201,130,248,280,125,127
2020년05월_남_60~69세,"4,469","1,331",257,345,207,631,200,272,196,347,350,181,152
2020년05월_남_70~79세,"3,074",842,220,219,142,329,186,239,150,269,272,87,119
2020년05월_남_80~89세,"1,658",362,135,159,94,151,109,134,90,141,174,36,73
2020년05월_남_90~99세,116,31,10,9,7,11,9,8,4,6,8,7,6
2020년05월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년05월_여_총인구수,"28,287","7,611","1,188","1,363",868,"9,506","1,296","1,280",804,"1,412","1,672",597,690
2020년05월_여_연령구간인구수,"28,287","7,611","1,188","1,363",868,"9,506","1,296","1,280",804,"1,412","1,672",597,690
2020년05월_여_0~9세,"2,300",415,36,30,26,"1,594",73,31,15,25,23,12,20
2020년05월_여_10~19세,"2,050",546,49,41,22,"1,100",47,44,20,42,70,29,40
2020년05월_여_20~29세,"1,815",569,41,54,28,796,85,53,19,39,80,23,28
2020년05월_여_30~39세,"2,820",592,43,51,40,"1,805",96,46,19,43,42,24,19
2020년05월_여_40~49세,"3,190",887,66,56,38,"1,709",84,67,34,67,101,34,47
2020년05월_여_50~59세,"3,869","1,302",147,193,103,"1,050",140,182,96,193,239,125,99
2020년05월_여_60~69세,"4,623","1,486",239,324,194,672,243,294,190,331,363,141,146
2020년05월_여_70~79세,"3,838","1,004",273,294,195,411,240,294,200,313,377,88,149
2020년05월_여_80~89세,"3,228",665,258,275,202,311,246,227,185,309,326,106,118
2020년05월_여_90~99세,522,140,33,41,20,55,40,38,25,46,49,14,21
2020년05월_여_100세 이상,32,5,3,4,0,3,2,4,1,4,2,1,3
