,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년06월_계_총인구수,"62,153","38,872",923,427,"1,793","1,059","1,775","3,278","2,882","1,424",986,"1,593","1,614","2,139","3,388"
2021년06월_계_연령구간인구수,"62,153","38,872",923,427,"1,793","1,059","1,775","3,278","2,882","1,424",986,"1,593","1,614","2,139","3,388"
2021년06월_계_0~9세,"3,338","2,757",18,9,30,31,35,119,82,26,19,35,33,48,96
2021년06월_계_10~19세,"5,558","4,533",39,17,62,22,48,268,123,58,35,64,60,61,168
2021년06월_계_20~29세,"6,671","5,092",62,9,117,56,100,270,217,75,72,76,109,141,275
2021년06월_계_30~39세,"4,587","3,399",40,19,81,41,77,218,185,48,45,63,60,114,197
2021년06월_계_40~49세,"8,021","6,105",101,34,120,60,133,334,270,98,72,105,113,167,309
2021년06월_계_50~59세,"11,223","7,024",159,71,312,196,306,535,541,252,206,289,296,385,651
2021년06월_계_60~69세,"9,838","4,772",200,93,388,219,391,689,642,327,211,365,331,482,728
2021년06월_계_70~79세,"7,345","3,214",178,106,340,193,340,489,420,288,179,346,330,396,526
2021년06월_계_80~89세,"4,880","1,743",113,63,299,217,293,312,346,227,130,217,239,292,389
2021년06월_계_90~99세,660,218,12,6,44,23,49,44,55,24,15,32,42,50,46
2021년06월_계_100세 이상,32,15,1,0,0,1,3,0,1,1,2,1,1,3,3
2021년06월_남_총인구수,"30,733","19,103",471,201,918,520,869,"1,611","1,442",732,509,798,760,"1,084","1,715"
2021년06월_남_연령구간인구수,"30,733","19,103",471,201,918,520,869,"1,611","1,442",732,509,798,760,"1,084","1,715"
2021년06월_남_0~9세,"1,704","1,416",6,2,17,16,20,58,32,14,11,21,16,29,46
2021년06월_남_10~19세,"2,877","2,345",22,12,35,10,21,123,71,32,16,32,27,36,95
2021년06월_남_20~29세,"3,643","2,731",37,5,64,32,57,164,124,46,47,51,64,75,146
2021년06월_남_30~39세,"2,316","1,658",24,11,48,21,43,117,114,29,23,34,37,62,95
2021년06월_남_40~49세,"4,135","2,948",64,20,80,46,82,187,163,64,45,74,62,113,187
2021년06월_남_50~59세,"6,126","3,656",101,46,195,118,192,290,307,156,117,178,166,229,375
2021년06월_남_60~69세,"5,195","2,370",99,42,237,136,218,365,346,185,121,204,192,270,410
2021년06월_남_70~79세,"3,100","1,343",82,44,149,77,149,203,190,116,82,137,125,163,240
2021년06월_남_80~89세,"1,479",584,36,18,82,57,76,96,82,82,41,60,66,91,108
2021년06월_남_90~99세,155,51,0,1,11,7,9,8,13,8,6,7,5,16,13
2021년06월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"31,420","19,769",452,226,875,539,906,"1,667","1,440",692,477,795,854,"1,055","1,673"
2021년06월_여_연령구간인구수,"31,420","19,769",452,226,875,539,906,"1,667","1,440",692,477,795,854,"1,055","1,673"
2021년06월_여_0~9세,"1,634","1,341",12,7,13,15,15,61,50,12,8,14,17,19,50
2021년06월_여_10~19세,"2,681","2,188",17,5,27,12,27,145,52,26,19,32,33,25,73
2021년06월_여_20~29세,"3,028","2,361",25,4,53,24,43,106,93,29,25,25,45,66,129
2021년06월_여_30~39세,"2,271","1,741",16,8,33,20,34,101,71,19,22,29,23,52,102
2021년06월_여_40~49세,"3,886","3,157",37,14,40,14,51,147,107,34,27,31,51,54,122
2021년06월_여_50~59세,"5,097","3,368",58,25,117,78,114,245,234,96,89,111,130,156,276
2021년06월_여_60~69세,"4,643","2,402",101,51,151,83,173,324,296,142,90,161,139,212,318
2021년06월_여_70~79세,"4,245","1,871",96,62,191,116,191,286,230,172,97,209,205,233,286
2021년06월_여_80~89세,"3,401","1,159",77,45,217,160,217,216,264,145,89,157,173,201,281
2021년06월_여_90~99세,505,167,12,5,33,16,40,36,42,16,9,25,37,34,33
2021년06월_여_100세 이상,29,14,1,0,0,1,1,0,1,1,2,1,1,3,3
