,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년12월_계_총인구수,"103,145","7,259","3,185","2,916","5,380","4,255","4,628","4,591","5,157","2,850","3,161","4,598","8,250","5,353","7,847","19,425","14,290"
2021년12월_계_연령구간인구수,"103,145","7,259","3,185","2,916","5,380","4,255","4,628","4,591","5,157","2,850","3,161","4,598","8,250","5,353","7,847","19,425","14,290"
2021년12월_계_0~9세,"5,304",235,88,63,134,134,173,113,146,56,71,186,462,308,290,"1,274","1,571"
2021년12월_계_10~19세,"7,911",375,116,120,267,194,352,215,288,160,92,308,664,566,537,"1,990","1,667"
2021년12월_계_20~29세,"10,904",437,193,176,310,328,445,262,337,161,146,594,928,724,810,"3,303","1,750"
2021년12월_계_30~39세,"8,926",427,188,175,266,294,342,237,320,132,163,371,827,513,624,"2,229","1,818"
2021년12월_계_40~49세,"12,846",728,240,213,430,464,579,400,494,233,287,557,"1,132",747,993,"2,931","2,418"
2021년12월_계_50~59세,"17,853","1,229",579,442,979,936,914,769,912,489,574,799,"1,377",867,"1,476","3,264","2,247"
2021년12월_계_60~69세,"19,508","1,868",765,702,"1,405","1,070",931,"1,193","1,207",703,894,813,"1,477",885,"1,577","2,487","1,531"
2021년12월_계_70~79세,"11,433","1,131",543,528,892,511,498,725,795,467,545,581,840,458,946,"1,233",740
2021년12월_계_80~89세,"7,288",735,403,414,598,276,336,574,567,390,330,335,482,247,522,624,455
2021년12월_계_90~99세,"1,140",90,68,81,98,47,56,101,88,56,55,54,60,38,70,89,89
2021년12월_계_100세 이상,32,4,2,2,1,1,2,2,3,3,4,0,1,0,2,1,4
2021년12월_남_총인구수,"51,459","3,648","1,622","1,505","2,756","2,217","2,401","2,381","2,671","1,424","1,409","2,316","4,045","2,676","3,945","9,426","7,017"
2021년12월_남_연령구간인구수,"51,459","3,648","1,622","1,505","2,756","2,217","2,401","2,381","2,671","1,424","1,409","2,316","4,045","2,676","3,945","9,426","7,017"
2021년12월_남_0~9세,"2,761",135,37,32,70,84,87,67,76,30,34,104,251,163,149,652,790
2021년12월_남_10~19세,"4,072",185,77,58,138,109,174,121,147,77,47,168,329,283,279,"1,011",869
2021년12월_남_20~29세,"5,913",262,115,112,181,192,271,160,198,83,91,331,500,358,475,"1,648",936
2021년12월_남_30~39세,"4,816",269,103,107,151,172,193,136,193,84,84,204,449,280,361,"1,158",872
2021년12월_남_40~49세,"6,768",425,151,134,260,236,324,251,303,141,125,309,595,377,551,"1,424","1,162"
2021년12월_남_50~59세,"9,198",604,324,259,586,508,494,409,524,269,241,410,689,451,746,"1,576","1,108"
2021년12월_남_60~69세,"9,761",952,410,369,702,544,486,645,626,367,403,404,690,455,774,"1,158",776
2021년12월_남_70~79세,"5,291",530,258,255,446,249,250,355,389,211,241,249,363,225,393,541,336
2021년12월_남_80~89세,"2,571",260,124,156,196,109,110,211,185,147,126,125,166,81,194,236,145
2021년12월_남_90~99세,302,25,23,23,25,14,12,26,30,14,17,12,13,3,23,21,21
2021년12월_남_100세 이상,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2
2021년12월_여_총인구수,"51,686","3,611","1,563","1,411","2,624","2,038","2,227","2,210","2,486","1,426","1,752","2,282","4,205","2,677","3,902","9,999","7,273"
2021년12월_여_연령구간인구수,"51,686","3,611","1,563","1,411","2,624","2,038","2,227","2,210","2,486","1,426","1,752","2,282","4,205","2,677","3,902","9,999","7,273"
2021년12월_여_0~9세,"2,543",100,51,31,64,50,86,46,70,26,37,82,211,145,141,622,781
2021년12월_여_10~19세,"3,839",190,39,62,129,85,178,94,141,83,45,140,335,283,258,979,798
2021년12월_여_20~29세,"4,991",175,78,64,129,136,174,102,139,78,55,263,428,366,335,"1,655",814
2021년12월_여_30~39세,"4,110",158,85,68,115,122,149,101,127,48,79,167,378,233,263,"1,071",946
2021년12월_여_40~49세,"6,078",303,89,79,170,228,255,149,191,92,162,248,537,370,442,"1,507","1,256"
2021년12월_여_50~59세,"8,655",625,255,183,393,428,420,360,388,220,333,389,688,416,730,"1,688","1,139"
2021년12월_여_60~69세,"9,747",916,355,333,703,526,445,548,581,336,491,409,787,430,803,"1,329",755
2021년12월_여_70~79세,"6,142",601,285,273,446,262,248,370,406,256,304,332,477,233,553,692,404
2021년12월_여_80~89세,"4,717",475,279,258,402,167,226,363,382,243,204,210,316,166,328,388,310
2021년12월_여_90~99세,838,65,45,58,73,33,44,75,58,42,38,42,47,35,47,68,68
2021년12월_여_100세 이상,26,3,2,2,0,1,2,2,3,2,4,0,1,0,2,0,2
