카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년06월_계_총인구수,"47,736","21,148","3,376","4,345","2,266","1,941","2,395","3,273",966,"2,840","1,887","3,299"
2020년06월_계_연령구간인구수,"47,736","21,148","3,376","4,345","2,266","1,941","2,395","3,273",966,"2,840","1,887","3,299"
2020년06월_계_0~9세,"2,457","1,585",116,178,46,57,75,114,35,95,49,107
2020년06월_계_10~19세,"3,495","2,179",163,266,121,97,109,190,49,101,85,135
2020년06월_계_20~29세,"4,487","2,722",237,311,151,116,114,343,47,157,100,189
2020년06월_계_30~39세,"3,436","2,050",186,284,108,76,112,179,35,134,81,191
2020년06월_계_40~49세,"5,488","3,083",333,442,207,158,195,283,71,212,191,313
2020년06월_계_50~59세,"8,550","3,551",674,819,447,361,416,646,183,530,338,585
2020년06월_계_60~69세,"8,901","2,920",760,938,504,467,571,662,223,677,406,773
2020년06월_계_70~79세,"6,480","1,956",499,684,392,323,466,502,187,508,364,599
2020년06월_계_80~89세,"3,865",973,350,377,251,257,283,314,118,361,226,355
2020년06월_계_90~99세,541,115,53,41,38,28,51,39,17,61,47,51
2020년06월_계_100세 이상,36,14,5,5,1,1,3,1,1,4,0,1
2020년06월_남_총인구수,"23,723","10,433","1,712","2,185","1,119",952,"1,160","1,659",479,"1,432",945,"1,647"
2020년06월_남_연령구간인구수,"23,723","10,433","1,712","2,185","1,119",952,"1,160","1,659",479,"1,432",945,"1,647"
2020년06월_남_0~9세,"1,279",813,64,102,23,28,32,52,20,60,30,55
2020년06월_남_10~19세,"1,773","1,075",82,136,58,54,67,106,30,50,45,70
2020년06월_남_20~29세,"2,531","1,473",134,188,96,69,65,216,24,96,63,107
2020년06월_남_30~39세,"1,817","1,048",109,146,60,45,60,102,22,74,49,102
2020년06월_남_40~49세,"2,994","1,560",186,257,121,98,114,165,45,144,111,193
2020년06월_남_50~59세,"4,515","1,820",373,439,236,190,230,352,100,283,183,309
2020년06월_남_60~69세,"4,525","1,461",401,486,251,244,285,332,118,336,216,395
2020년06월_남_70~79세,"2,819",827,235,290,173,128,203,213,78,238,161,273
2020년06월_남_80~89세,"1,335",329,116,133,92,90,93,113,37,135,72,125
2020년06월_남_90~99세,125,22,11,7,8,6,10,8,5,15,15,18
2020년06월_남_100세 이상,10,5,1,1,1,0,1,0,0,1,0,0
2020년06월_여_총인구수,"24,013","10,715","1,664","2,160","1,147",989,"1,235","1,614",487,"1,408",942,"1,652"
2020년06월_여_연령구간인구수,"24,013","10,715","1,664","2,160","1,147",989,"1,235","1,614",487,"1,408",942,"1,652"
2020년06월_여_0~9세,"1,178",772,52,76,23,29,43,62,15,35,19,52
2020년06월_여_10~19세,"1,722","1,104",81,130,63,43,42,84,19,51,40,65
2020년06월_여_20~29세,"1,956","1,249",103,123,55,47,49,127,23,61,37,82
2020년06월_여_30~39세,"1,619","1,002",77,138,48,31,52,77,13,60,32,89
2020년06월_여_40~49세,"2,494","1,523",147,185,86,60,81,118,26,68,80,120
2020년06월_여_50~59세,"4,035","1,731",301,380,211,171,186,294,83,247,155,276
2020년06월_여_60~69세,"4,376","1,459",359,452,253,223,286,330,105,341,190,378
2020년06월_여_70~79세,"3,661","1,129",264,394,219,195,263,289,109,270,203,326
2020년06월_여_80~89세,"2,530",644,234,244,159,167,190,201,81,226,154,230
2020년06월_여_90~99세,416,93,42,34,30,22,41,31,12,46,32,33
2020년06월_여_100세 이상,26,9,4,4,0,1,2,1,1,3,0,1
