,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년12월_계_총인구수,"69,203","22,707","7,850","4,903","7,043","4,507","4,243","3,069","4,037","1,861","3,215","2,901","2,223",377,267
2020년12월_계_연령구간인구수,"69,203","22,707","7,850","4,903","7,043","4,507","4,243","3,069","4,037","1,861","3,215","2,901","2,223",377,267
2020년12월_계_0~9세,"3,334","1,471",511,181,309,150,163,72,125,64,131,71,70,9,7
2020년12월_계_10~19세,"4,617","2,190",672,212,405,203,229,120,148,76,140,110,98,12,2
2020년12월_계_20~29세,"5,356","2,296",718,314,505,257,251,178,228,87,209,173,113,18,9
2020년12월_계_30~39세,"5,326","2,124",650,336,618,326,262,186,240,72,216,149,121,20,6
2020년12월_계_40~49세,"7,764","3,244","1,083",433,741,381,424,266,339,148,275,200,193,22,15
2020년12월_계_50~59세,"11,963","3,788","1,357",872,"1,341",788,722,525,633,337,548,539,389,74,50
2020년12월_계_60~69세,"14,277","3,641","1,411","1,229","1,638","1,162",978,766,945,439,681,646,556,102,83
2020년12월_계_70~79세,"10,079","2,496",861,775,950,765,715,606,809,376,588,614,400,65,59
2020년12월_계_80~89세,"5,643","1,271",500,462,446,403,429,322,515,234,379,354,248,49,31
2020년12월_계_90~99세,809,169,87,87,87,71,67,27,53,28,44,44,34,6,5
2020년12월_계_100세 이상,35,17,0,2,3,1,3,1,2,0,4,1,1,0,0
2020년12월_남_총인구수,"34,644","11,199","3,918","2,478","3,537","2,306","2,116","1,509","2,050",916,"1,615","1,497","1,166",194,143
2020년12월_남_연령구간인구수,"34,644","11,199","3,918","2,478","3,537","2,306","2,116","1,509","2,050",916,"1,615","1,497","1,166",194,143
2020년12월_남_0~9세,"1,754",788,257,83,158,67,86,44,68,35,71,41,45,7,4
2020년12월_남_10~19세,"2,370","1,091",345,111,212,122,120,64,77,35,67,56,62,7,1
2020년12월_남_20~29세,"3,060","1,289",409,183,298,147,144,100,144,48,112,108,65,8,5
2020년12월_남_30~39세,"2,798","1,100",319,175,306,189,146,100,126,36,129,83,75,11,3
2020년12월_남_40~49세,"4,221","1,641",562,253,417,227,243,151,200,80,172,131,118,15,11
2020년12월_남_50~59세,"6,154","1,914",701,447,671,382,373,254,342,188,307,292,210,44,29
2020년12월_남_60~69세,"7,114","1,762",695,625,810,603,491,376,487,220,323,336,293,48,45
2020년12월_남_70~79세,"4,737","1,097",414,398,467,377,325,284,379,170,285,289,186,36,30
2020년12월_남_80~89세,"2,231",471,194,183,179,172,172,126,220,100,135,146,104,15,14
2020년12월_남_90~99세,196,41,22,20,17,20,15,9,7,4,14,15,8,3,1
2020년12월_남_100세 이상,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2020년12월_여_총인구수,"34,559","11,508","3,932","2,425","3,506","2,201","2,127","1,560","1,987",945,"1,600","1,404","1,057",183,124
2020년12월_여_연령구간인구수,"34,559","11,508","3,932","2,425","3,506","2,201","2,127","1,560","1,987",945,"1,600","1,404","1,057",183,124
2020년12월_여_0~9세,"1,580",683,254,98,151,83,77,28,57,29,60,30,25,2,3
2020년12월_여_10~19세,"2,247","1,099",327,101,193,81,109,56,71,41,73,54,36,5,1
2020년12월_여_20~29세,"2,296","1,007",309,131,207,110,107,78,84,39,97,65,48,10,4
2020년12월_여_30~39세,"2,528","1,024",331,161,312,137,116,86,114,36,87,66,46,9,3
2020년12월_여_40~49세,"3,543","1,603",521,180,324,154,181,115,139,68,103,69,75,7,4
2020년12월_여_50~59세,"5,809","1,874",656,425,670,406,349,271,291,149,241,247,179,30,21
2020년12월_여_60~69세,"7,163","1,879",716,604,828,559,487,390,458,219,358,310,263,54,38
2020년12월_여_70~79세,"5,342","1,399",447,377,483,388,390,322,430,206,303,325,214,29,29
2020년12월_여_80~89세,"3,412",800,306,279,267,231,257,196,295,134,244,208,144,34,17
2020년12월_여_90~99세,613,128,65,67,70,51,52,18,46,24,30,29,26,3,4
2020년12월_여_100세 이상,26,12,0,2,1,1,2,0,2,0,4,1,1,0,0
