,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년12월_계_총인구수,"164,528","8,419","9,788","16,631","9,721","9,263","9,798","6,095","7,647","10,002","7,823","8,028","9,905","18,034","1,739","3,939","20,072","7,624"
2021년12월_계_연령구간인구수,"164,528","8,419","9,788","16,631","9,721","9,263","9,798","6,095","7,647","10,002","7,823","8,028","9,905","18,034","1,739","3,939","20,072","7,624"
2021년12월_계_0~9세,"6,779",279,295,659,260,269,340,167,209,360,275,564,325,"1,200",58,96,"1,169",254
2021년12월_계_10~19세,"10,107",461,473,"1,135",644,461,556,291,445,506,455,591,543,"1,233",99,222,"1,618",374
2021년12월_계_20~29세,"19,897","1,278","1,191","2,253","1,086",949,"1,190",631,931,"1,110",985,856,"1,183","2,153",200,464,"2,528",909
2021년12월_계_30~39세,"16,715",919,938,"1,977",866,776,937,550,672,"1,004",723,910,968,"2,169",178,364,"2,074",690
2021년12월_계_40~49세,"21,323","1,009","1,171","2,166","1,238","1,058","1,240",695,953,"1,218",976,"1,190","1,235","2,616",225,456,"2,876","1,001"
2021년12월_계_50~59세,"32,298","1,601","1,907","2,966","2,063","1,780","1,991","1,234","1,587","2,116","1,575","1,417","2,067","3,411",351,854,"3,850","1,528"
2021년12월_계_60~69세,"32,000","1,577","2,004","3,097","1,910","1,960","1,994","1,291","1,583","2,050","1,558","1,472","2,054","3,092",368,892,"3,632","1,466"
2021년12월_계_70~79세,"17,251",875,"1,192","1,618","1,138","1,330","1,062",839,834,"1,137",824,723,"1,042","1,489",180,406,"1,619",943
2021년12월_계_80~89세,"7,373",383,572,678,476,617,444,367,393,459,415,283,439,582,77,161,611,416
2021년12월_계_90~99세,767,36,45,81,40,61,44,30,38,40,35,22,49,87,2,24,91,42
2021년12월_계_100세 이상,18,1,0,1,0,2,0,0,2,2,2,0,0,2,1,0,4,1
2021년12월_남_총인구수,"82,241","4,153","4,718","8,030","4,961","4,590","4,790","3,110","3,765","5,311","3,928","3,919","5,000","8,954",915,"2,126","10,107","3,864"
2021년12월_남_연령구간인구수,"82,241","4,153","4,718","8,030","4,961","4,590","4,790","3,110","3,765","5,311","3,928","3,919","5,000","8,954",915,"2,126","10,107","3,864"
2021년12월_남_0~9세,"3,505",156,152,325,127,140,167,92,114,193,132,288,173,619,32,46,634,115
2021년12월_남_10~19세,"5,244",256,248,588,342,253,290,143,241,254,229,286,302,619,57,121,841,174
2021년12월_남_20~29세,"10,876",678,605,"1,205",631,531,634,350,523,637,565,449,633,"1,154",123,270,"1,383",505
2021년12월_남_30~39세,"9,495",512,537,"1,109",505,443,547,328,386,577,421,493,567,"1,177",97,231,"1,161",404
2021년12월_남_40~49세,"11,496",542,662,"1,080",693,618,664,392,479,739,551,600,678,"1,372",128,269,"1,453",576
2021년12월_남_50~59세,"16,332",743,951,"1,352","1,094",932,977,687,810,"1,192",822,690,"1,038","1,678",176,471,"1,903",816
2021년12월_남_60~69세,"15,023",718,897,"1,381",923,928,893,615,709,"1,042",737,685,991,"1,448",180,470,"1,716",690
2021년12월_남_70~79세,"7,549",405,466,726,473,536,466,354,350,510,331,316,461,676,85,190,784,420
2021년12월_남_80~89세,"2,596",136,192,244,169,200,142,142,144,164,137,109,153,199,36,54,218,157
2021년12월_남_90~99세,124,7,8,19,4,9,10,7,9,3,3,3,4,12,1,4,14,7
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"82,287","4,266","5,070","8,601","4,760","4,673","5,008","2,985","3,882","4,691","3,895","4,109","4,905","9,080",824,"1,813","9,965","3,760"
2021년12월_여_연령구간인구수,"82,287","4,266","5,070","8,601","4,760","4,673","5,008","2,985","3,882","4,691","3,895","4,109","4,905","9,080",824,"1,813","9,965","3,760"
2021년12월_여_0~9세,"3,274",123,143,334,133,129,173,75,95,167,143,276,152,581,26,50,535,139
2021년12월_여_10~19세,"4,863",205,225,547,302,208,266,148,204,252,226,305,241,614,42,101,777,200
2021년12월_여_20~29세,"9,021",600,586,"1,048",455,418,556,281,408,473,420,407,550,999,77,194,"1,145",404
2021년12월_여_30~39세,"7,220",407,401,868,361,333,390,222,286,427,302,417,401,992,81,133,913,286
2021년12월_여_40~49세,"9,827",467,509,"1,086",545,440,576,303,474,479,425,590,557,"1,244",97,187,"1,423",425
2021년12월_여_50~59세,"15,966",858,956,"1,614",969,848,"1,014",547,777,924,753,727,"1,029","1,733",175,383,"1,947",712
2021년12월_여_60~69세,"16,977",859,"1,107","1,716",987,"1,032","1,101",676,874,"1,008",821,787,"1,063","1,644",188,422,"1,916",776
2021년12월_여_70~79세,"9,702",470,726,892,665,794,596,485,484,627,493,407,581,813,95,216,835,523
2021년12월_여_80~89세,"4,777",247,380,434,307,417,302,225,249,295,278,174,286,383,41,107,393,259
2021년12월_여_90~99세,643,29,37,62,36,52,34,23,29,37,32,19,45,75,1,20,77,35
2021년12월_여_100세 이상,17,1,0,0,0,2,0,0,2,2,2,0,0,2,1,0,4,1
