,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년02월_계_총인구수,"187,488","59,658","5,361","7,424","3,357","5,892","15,315","5,285","6,292","7,582","6,820","3,500","1,953","12,483","24,028","22,538"
2021년02월_계_연령구간인구수,"187,488","59,658","5,361","7,424","3,357","5,892","15,315","5,285","6,292","7,582","6,820","3,500","1,953","12,483","24,028","22,538"
2021년02월_계_0~9세,"13,872","5,884",165,400,85,232,"1,371",146,388,289,213,82,43,697,"2,103","1,774"
2021년02월_계_10~19세,"17,885","7,553",295,629,142,273,"1,121",283,350,439,354,199,88,"1,043","2,582","2,534"
2021년02월_계_20~29세,"22,661","6,983",499,729,278,540,"2,010",469,775,661,693,398,191,"1,608","3,560","3,267"
2021년02월_계_30~39세,"22,946","8,365",401,661,249,557,"2,579",408,879,603,535,275,143,"1,326","3,211","2,754"
2021년02월_계_40~49세,"30,275","12,095",550,"1,024",341,724,"2,546",554,911,844,748,353,178,"1,764","4,063","3,580"
2021년02월_계_50~59세,"31,530","8,873","1,036","1,339",680,"1,105","2,360","1,034","1,186","1,384","1,423",646,383,"2,248","3,876","3,957"
2021년02월_계_60~69세,"25,815","5,466","1,175","1,399",758,"1,252","1,888","1,195","1,008","1,700","1,463",758,472,"1,988","2,693","2,600"
2021년02월_계_70~79세,"13,743","2,923",709,698,465,686,911,648,488,988,817,467,251,"1,121","1,250","1,321"
2021년02월_계_80~89세,"7,661","1,345",453,468,322,461,465,453,266,583,514,296,176,591,609,659
2021년02월_계_90~99세,"1,044",165,74,74,35,58,61,91,38,86,55,25,26,88,79,89
2021년02월_계_100세 이상,56,6,4,3,2,4,3,4,3,5,5,1,2,9,2,3
2021년02월_남_총인구수,"96,622","30,082","2,834","3,730","1,767","3,206","8,576","2,771","3,520","3,949","3,619","1,823","1,012","6,261","12,153","11,319"
2021년02월_남_연령구간인구수,"96,622","30,082","2,834","3,730","1,767","3,206","8,576","2,771","3,520","3,949","3,619","1,823","1,012","6,261","12,153","11,319"
2021년02월_남_0~9세,"7,122","2,965",90,214,47,119,738,75,226,141,102,45,20,335,"1,090",915
2021년02월_남_10~19세,"9,300","3,910",173,319,78,147,582,133,182,241,182,91,53,536,"1,353","1,320"
2021년02월_남_20~29세,"12,479","3,720",287,401,177,338,"1,146",281,477,369,391,211,100,869,"1,892","1,820"
2021년02월_남_30~39세,"12,560","4,367",252,354,146,350,"1,536",239,541,368,331,182,86,715,"1,678","1,415"
2021년02월_남_40~49세,"16,162","6,176",327,555,202,451,"1,558",332,553,493,434,205,105,930,"2,085","1,756"
2021년02월_남_50~59세,"16,709","4,610",567,696,383,608,"1,374",584,646,755,822,352,205,"1,140","1,973","1,994"
2021년02월_남_60~69세,"13,039","2,565",643,708,390,687,999,639,556,862,773,397,245,969,"1,332","1,274"
2021년02월_남_70~79세,"6,290","1,290",320,298,216,333,455,309,233,489,379,226,122,514,536,570
2021년02월_남_80~89세,"2,738",443,160,173,118,160,179,164,91,214,194,112,71,235,190,234
2021년02월_남_90~99세,212,35,15,11,9,12,9,15,14,15,10,2,5,16,23,21
2021년02월_남_100세 이상,11,1,0,1,1,1,0,0,1,2,1,0,0,2,1,0
2021년02월_여_총인구수,"90,866","29,576","2,527","3,694","1,590","2,686","6,739","2,514","2,772","3,633","3,201","1,677",941,"6,222","11,875","11,219"
2021년02월_여_연령구간인구수,"90,866","29,576","2,527","3,694","1,590","2,686","6,739","2,514","2,772","3,633","3,201","1,677",941,"6,222","11,875","11,219"
2021년02월_여_0~9세,"6,750","2,919",75,186,38,113,633,71,162,148,111,37,23,362,"1,013",859
2021년02월_여_10~19세,"8,585","3,643",122,310,64,126,539,150,168,198,172,108,35,507,"1,229","1,214"
2021년02월_여_20~29세,"10,182","3,263",212,328,101,202,864,188,298,292,302,187,91,739,"1,668","1,447"
2021년02월_여_30~39세,"10,386","3,998",149,307,103,207,"1,043",169,338,235,204,93,57,611,"1,533","1,339"
2021년02월_여_40~49세,"14,113","5,919",223,469,139,273,988,222,358,351,314,148,73,834,"1,978","1,824"
2021년02월_여_50~59세,"14,821","4,263",469,643,297,497,986,450,540,629,601,294,178,"1,108","1,903","1,963"
2021년02월_여_60~69세,"12,776","2,901",532,691,368,565,889,556,452,838,690,361,227,"1,019","1,361","1,326"
2021년02월_여_70~79세,"7,453","1,633",389,400,249,353,456,339,255,499,438,241,129,607,714,751
2021년02월_여_80~89세,"4,923",902,293,295,204,301,286,289,175,369,320,184,105,356,419,425
2021년02월_여_90~99세,832,130,59,63,26,46,52,76,24,71,45,23,21,72,56,68
2021년02월_여_100세 이상,45,5,4,2,1,3,3,4,2,3,4,1,2,7,1,3
