,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년09월_계_총인구수,"84,917","30,118","29,420",0,"3,105","3,460","2,095","6,197","10,522"
2021년09월_계_연령구간인구수,"84,917","30,118","29,420",0,"3,105","3,460","2,095","6,197","10,522"
2021년09월_계_0~9세,"7,507","2,070","4,327",0,68,116,47,191,688
2021년09월_계_10~19세,"8,369","3,299","3,141",0,165,142,78,394,"1,150"
2021년09월_계_20~29세,"9,240","3,920","3,076",0,196,234,93,537,"1,184"
2021년09월_계_30~39세,"11,449","3,063","6,124",0,173,255,121,493,"1,220"
2021년09월_계_40~49세,"13,729","4,905","5,581",0,282,334,162,712,"1,753"
2021년09월_계_50~59세,"13,792","5,352","3,480",0,573,704,375,"1,197","2,111"
2021년09월_계_60~69세,"11,239","4,055","2,217",0,769,839,581,"1,404","1,374"
2021년09월_계_70~79세,"5,501","2,078",856,0,449,458,331,699,630
2021년09월_계_80~89세,"3,599","1,214",547,0,379,336,267,499,357
2021년09월_계_90~99세,479,159,69,0,48,41,37,70,55
2021년09월_계_100세 이상,13,3,2,0,3,1,3,1,0
2021년09월_남_총인구수,"44,559","15,488","15,542",0,"1,605","1,812","1,072","3,287","5,753"
2021년09월_남_연령구간인구수,"44,559","15,488","15,542",0,"1,605","1,812","1,072","3,287","5,753"
2021년09월_남_0~9세,"3,869","1,081","2,226",0,34,51,27,99,351
2021년09월_남_10~19세,"4,349","1,713","1,600",0,83,71,40,210,632
2021년09월_남_20~29세,"5,369","2,252","1,718",0,122,146,60,326,745
2021년09월_남_30~39세,"6,317","1,646","3,309",0,112,153,68,309,720
2021년09월_남_40~49세,"7,458","2,548","3,070",0,174,206,99,408,953
2021년09월_남_50~59세,"7,548","2,889","1,885",0,333,382,214,666,"1,179"
2021년09월_남_60~69세,"5,784","1,969","1,135",0,415,463,301,765,736
2021년09월_남_70~79세,"2,539",933,387,0,210,223,161,329,296
2021년09월_남_80~89세,"1,230",422,195,0,113,109,94,166,131
2021년09월_남_90~99세,92,33,17,0,9,7,8,8,10
2021년09월_남_100세 이상,4,2,0,0,0,1,0,1,0
2021년09월_여_총인구수,"40,358","14,630","13,878",0,"1,500","1,648","1,023","2,910","4,769"
2021년09월_여_연령구간인구수,"40,358","14,630","13,878",0,"1,500","1,648","1,023","2,910","4,769"
2021년09월_여_0~9세,"3,638",989,"2,101",0,34,65,20,92,337
2021년09월_여_10~19세,"4,020","1,586","1,541",0,82,71,38,184,518
2021년09월_여_20~29세,"3,871","1,668","1,358",0,74,88,33,211,439
2021년09월_여_30~39세,"5,132","1,417","2,815",0,61,102,53,184,500
2021년09월_여_40~49세,"6,271","2,357","2,511",0,108,128,63,304,800
2021년09월_여_50~59세,"6,244","2,463","1,595",0,240,322,161,531,932
2021년09월_여_60~69세,"5,455","2,086","1,082",0,354,376,280,639,638
2021년09월_여_70~79세,"2,962","1,145",469,0,239,235,170,370,334
2021년09월_여_80~89세,"2,369",792,352,0,266,227,173,333,226
2021년09월_여_90~99세,387,126,52,0,39,34,29,62,45
2021년09월_여_100세 이상,9,1,2,0,3,0,3,0,0
