카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년10월_계_총인구수,"3,356,311","40,676","105,557","87,705","111,111","354,428","266,912","263,236","283,766","397,516","306,605","229,148","142,444","205,607","175,583","209,138","176,879"
2021년10월_계_연령구간인구수,"3,356,311","40,676","105,557","87,705","111,111","354,428","266,912","263,236","283,766","397,516","306,605","229,148","142,444","205,607","175,583","209,138","176,879"
2021년10월_계_0~9세,"221,729","1,161","5,366","4,016","4,925","20,311","18,749","16,839","18,551","27,351","18,519","12,269","19,872","13,844","9,983","11,490","18,483"
2021년10월_계_10~19세,"266,634","1,894","7,108","4,837","7,103","24,193","24,587","22,605","22,539","37,037","24,613","17,281","12,732","16,178","11,464","14,491","17,972"
2021년10월_계_20~29세,"419,064","5,858","13,156","10,260","11,613","51,484","31,460","34,514","36,060","47,336","38,508","32,353","12,665","24,903","23,918","28,007","16,969"
2021년10월_계_30~39세,"407,480","4,495","10,635","10,361","10,312","47,232","31,802","28,560","33,775","45,405","35,209","24,467","27,038","25,973","23,595","24,409","24,212"
2021년10월_계_40~49세,"502,715","5,165","14,204","11,577","14,662","50,268","42,352","40,673","39,901","64,300","44,869","31,337","25,640","31,240","25,036","28,553","32,938"
2021년10월_계_50~59세,"555,902","6,773","17,172","14,302","18,718","56,889","43,430","42,231","52,586","69,475","53,320","39,232","17,130","33,368","27,177","39,190","24,909"
2021년10월_계_60~69세,"547,730","7,894","19,333","16,141","22,352","57,240","41,866","41,486","48,417","59,966","53,136","39,783","16,939","33,376","29,071","38,385","22,345"
2021년10월_계_70~79세,"296,893","4,953","12,239","10,670","14,550","31,638","22,699","25,088","22,045","31,113","26,798","21,896","7,145","18,420","17,246","17,628","12,765"
2021년10월_계_80~89세,"122,286","2,145","5,627","4,879","6,147","13,604","8,804","10,006","8,763","13,651","10,254","9,286","2,794","7,404","7,152","6,281","5,489"
2021년10월_계_90~99세,"15,197",322,691,593,693,"1,511","1,097","1,168","1,093","1,809","1,338","1,203",466,875,906,666,766
2021년10월_계_100세 이상,681,16,26,69,36,58,66,66,36,73,41,41,23,26,35,38,31
2021년10월_남_총인구수,"1,642,368","19,838","51,084","42,908","54,707","170,785","129,758","128,616","140,183","191,154","152,569","111,981","73,811","98,989","82,913","105,543","87,529"
2021년10월_남_연령구간인구수,"1,642,368","19,838","51,084","42,908","54,707","170,785","129,758","128,616","140,183","191,154","152,569","111,981","73,811","98,989","82,913","105,543","87,529"
2021년10월_남_0~9세,"113,771",610,"2,806","2,132","2,498","10,270","9,678","8,566","9,557","14,103","9,536","6,293","10,311","6,972","5,131","5,883","9,425"
2021년10월_남_10~19세,"137,336",947,"3,629","2,498","3,616","12,251","12,783","11,645","11,728","19,086","12,701","8,913","6,482","8,317","5,911","7,523","9,306"
2021년10월_남_20~29세,"217,496","2,846","6,390","5,173","6,374","24,952","16,406","18,206","19,317","24,690","20,664","17,446","6,915","12,650","11,547","14,921","8,999"
2021년10월_남_30~39세,"208,912","2,441","5,454","5,458","5,549","24,105","15,983","14,693","17,636","22,240","18,735","12,817","13,776","13,053","11,752","13,178","12,042"
2021년10월_남_40~49세,"253,605","2,834","7,369","6,244","7,667","25,449","20,770","20,406","19,879","30,620","23,022","15,577","14,235","15,369","12,353","15,035","16,776"
2021년10월_남_50~59세,"270,760","3,438","8,828","7,355","9,635","27,629","20,714","20,657","24,873","33,058","26,189","18,723","8,890","15,832","12,637","19,563","12,739"
2021년10월_남_60~69세,"258,529","3,739","9,041","7,595","10,696","26,794","19,360","19,113","23,806","28,208","25,505","18,548","8,563","15,295","12,867","19,040","10,359"
2021년10월_남_70~79세,"134,136","2,129","5,371","4,612","6,364","14,063","10,416","11,210","10,167","13,853","12,322","9,953","3,577","8,412","7,719","8,134","5,834"
2021년10월_남_80~89세,"44,446",773,"2,057","1,684","2,161","4,947","3,388","3,853","3,009","4,873","3,633","3,431",965,"2,885","2,750","2,149","1,888"
2021년10월_남_90~99세,"3,243",79,134,138,142,313,247,253,208,403,252,273,91,198,239,114,159
2021년10월_남_100세 이상,134,2,5,19,5,12,13,14,3,20,10,7,6,6,7,3,2
2021년10월_여_총인구수,"1,713,943","20,838","54,473","44,797","56,404","183,643","137,154","134,620","143,583","206,362","154,036","117,167","68,633","106,618","92,670","103,595","89,350"
2021년10월_여_연령구간인구수,"1,713,943","20,838","54,473","44,797","56,404","183,643","137,154","134,620","143,583","206,362","154,036","117,167","68,633","106,618","92,670","103,595","89,350"
2021년10월_여_0~9세,"107,958",551,"2,560","1,884","2,427","10,041","9,071","8,273","8,994","13,248","8,983","5,976","9,561","6,872","4,852","5,607","9,058"
2021년10월_여_10~19세,"129,298",947,"3,479","2,339","3,487","11,942","11,804","10,960","10,811","17,951","11,912","8,368","6,250","7,861","5,553","6,968","8,666"
2021년10월_여_20~29세,"201,568","3,012","6,766","5,087","5,239","26,532","15,054","16,308","16,743","22,646","17,844","14,907","5,750","12,253","12,371","13,086","7,970"
2021년10월_여_30~39세,"198,568","2,054","5,181","4,903","4,763","23,127","15,819","13,867","16,139","23,165","16,474","11,650","13,262","12,920","11,843","11,231","12,170"
2021년10월_여_40~49세,"249,110","2,331","6,835","5,333","6,995","24,819","21,582","20,267","20,022","33,680","21,847","15,760","11,405","15,871","12,683","13,518","16,162"
2021년10월_여_50~59세,"285,142","3,335","8,344","6,947","9,083","29,260","22,716","21,574","27,713","36,417","27,131","20,509","8,240","17,536","14,540","19,627","12,170"
2021년10월_여_60~69세,"289,201","4,155","10,292","8,546","11,656","30,446","22,506","22,373","24,611","31,758","27,631","21,235","8,376","18,081","16,204","19,345","11,986"
2021년10월_여_70~79세,"162,757","2,824","6,868","6,058","8,186","17,575","12,283","13,878","11,878","17,260","14,476","11,943","3,568","10,008","9,527","9,494","6,931"
