,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년02월_계_총인구수,"9,050","6,412",881,440,"1,317"
2021년02월_계_연령구간인구수,"9,050","6,412",881,440,"1,317"
2021년02월_계_0~9세,394,288,42,15,49
2021년02월_계_10~19세,446,353,37,14,42
2021년02월_계_20~29세,826,608,83,20,115
2021년02월_계_30~39세,857,653,62,32,110
2021년02월_계_40~49세,"1,278",972,98,31,177
2021년02월_계_50~59세,"1,826","1,308",186,88,244
2021년02월_계_60~69세,"1,778","1,222",175,102,279
2021년02월_계_70~79세,"1,049",676,115,91,167
2021년02월_계_80~89세,501,282,75,30,114
2021년02월_계_90~99세,83,38,8,17,20
2021년02월_계_100세 이상,12,12,0,0,0
2021년02월_남_총인구수,"4,965","3,522",483,236,724
2021년02월_남_연령구간인구수,"4,965","3,522",483,236,724
2021년02월_남_0~9세,202,149,20,9,24
2021년02월_남_10~19세,229,170,25,10,24
2021년02월_남_20~29세,505,357,66,8,74
2021년02월_남_30~39세,520,400,34,20,66
2021년02월_남_40~49세,785,593,60,20,112
2021년02월_남_50~59세,"1,074",771,108,50,145
2021년02월_남_60~69세,941,641,97,54,149
2021년02월_남_70~79세,483,312,47,47,77
2021년02월_남_80~89세,199,114,23,13,49
2021년02월_남_90~99세,22,10,3,5,4
2021년02월_남_100세 이상,5,5,0,0,0
2021년02월_여_총인구수,"4,085","2,890",398,204,593
2021년02월_여_연령구간인구수,"4,085","2,890",398,204,593
2021년02월_여_0~9세,192,139,22,6,25
2021년02월_여_10~19세,217,183,12,4,18
2021년02월_여_20~29세,321,251,17,12,41
2021년02월_여_30~39세,337,253,28,12,44
2021년02월_여_40~49세,493,379,38,11,65
2021년02월_여_50~59세,752,537,78,38,99
2021년02월_여_60~69세,837,581,78,48,130
2021년02월_여_70~79세,566,364,68,44,90
2021년02월_여_80~89세,302,168,52,17,65
2021년02월_여_90~99세,61,28,5,12,16
2021년02월_여_100세 이상,7,7,0,0,0
