,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년07월_계_총인구수,"21,981","13,970","3,359","2,053","1,305","1,294"
2021년07월_계_연령구간인구수,"21,981","13,970","3,359","2,053","1,305","1,294"
2021년07월_계_0~9세,"1,684","1,411",108,94,44,27
2021년07월_계_10~19세,"2,026","1,616",184,83,57,86
2021년07월_계_20~29세,"2,926","1,704",417,423,269,113
2021년07월_계_30~39세,"2,527","1,921",259,165,96,86
2021년07월_계_40~49세,"2,480","1,836",280,144,87,133
2021년07월_계_50~59세,"3,410","1,987",608,342,199,274
2021년07월_계_60~69세,"3,573","1,891",745,363,284,290
2021년07월_계_70~79세,"1,970",935,449,263,147,176
2021년07월_계_80~89세,"1,199",582,266,146,108,97
2021년07월_계_90~99세,172,77,39,30,14,12
2021년07월_계_100세 이상,14,10,4,0,0,0
2021년07월_남_총인구수,"11,584","7,103","1,869","1,153",759,700
2021년07월_남_연령구간인구수,"11,584","7,103","1,869","1,153",759,700
2021년07월_남_0~9세,849,698,59,53,21,18
2021년07월_남_10~19세,"1,006",785,99,42,31,49
2021년07월_남_20~29세,"1,937","1,015",330,299,225,68
2021년07월_남_30~39세,"1,404","1,015",167,111,63,48
2021년07월_남_40~49세,"1,327",950,167,82,46,82
2021년07월_남_50~59세,"1,823","1,039",345,181,110,148
2021년07월_남_60~69세,"1,913",983,402,206,157,165
2021년07월_남_70~79세,860,400,195,115,65,85
2021년07월_남_80~89세,419,193,95,57,38,36
2021년07월_남_90~99세,41,21,9,7,3,1
2021년07월_남_100세 이상,5,4,1,0,0,0
2021년07월_여_총인구수,"10,397","6,867","1,490",900,546,594
2021년07월_여_연령구간인구수,"10,397","6,867","1,490",900,546,594
2021년07월_여_0~9세,835,713,49,41,23,9
2021년07월_여_10~19세,"1,020",831,85,41,26,37
2021년07월_여_20~29세,989,689,87,124,44,45
2021년07월_여_30~39세,"1,123",906,92,54,33,38
2021년07월_여_40~49세,"1,153",886,113,62,41,51
2021년07월_여_50~59세,"1,587",948,263,161,89,126
2021년07월_여_60~69세,"1,660",908,343,157,127,125
2021년07월_여_70~79세,"1,110",535,254,148,82,91
2021년07월_여_80~89세,780,389,171,89,70,61
2021년07월_여_90~99세,131,56,30,23,11,11
2021년07월_여_100세 이상,9,6,3,0,0,0
