,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년08월_계_총인구수,"111,438","15,617","4,618","5,068","2,994","6,415","7,110","4,926","4,172","2,559","22,003","18,591","17,365"
2020년08월_계_연령구간인구수,"111,438","15,617","4,618","5,068","2,994","6,415","7,110","4,926","4,172","2,559","22,003","18,591","17,365"
2020년08월_계_0~9세,"7,581","1,061",183,179,99,296,227,155,144,111,"1,622","1,433","2,071"
2020년08월_계_10~19세,"9,634","1,323",265,285,142,442,424,382,256,145,"2,026","2,259","1,685"
2020년08월_계_20~29세,"12,116","1,660",459,413,234,551,614,410,352,214,"2,840","2,396","1,973"
2020년08월_계_30~39세,"11,679","1,852",292,363,191,519,461,305,307,176,"2,577","2,023","2,613"
2020년08월_계_40~49세,"16,027","2,248",413,520,283,706,721,610,488,279,"3,523","3,178","3,058"
2020년08월_계_50~59세,"20,091","2,830",866,981,590,"1,176","1,358",992,865,458,"3,897","3,309","2,769"
2020년08월_계_60~69세,"18,069","2,470","1,035","1,170",735,"1,310","1,607",990,859,599,"3,157","2,293","1,844"
2020년08월_계_70~79세,"10,184","1,353",662,706,457,856,"1,000",625,552,367,"1,558","1,150",898
2020년08월_계_80~89세,"5,214",707,389,382,219,481,601,391,292,183,687,483,399
2020년08월_계_90~99세,794,103,52,68,43,77,93,61,55,25,106,62,49
2020년08월_계_100세 이상,49,10,2,1,1,1,4,5,2,2,10,5,6
2020년08월_남_총인구수,"56,651","8,091","2,390","2,652","1,551","3,299","3,698","2,546","2,149","1,286","11,011","9,304","8,674"
2020년08월_남_연령구간인구수,"56,651","8,091","2,390","2,652","1,551","3,299","3,698","2,546","2,149","1,286","11,011","9,304","8,674"
2020년08월_남_0~9세,"3,911",519,108,97,54,128,123,81,70,52,836,751,"1,092"
2020년08월_남_10~19세,"4,979",685,145,155,65,230,234,222,136,68,"1,042","1,158",839
2020년08월_남_20~29세,"6,640",932,264,241,148,308,376,222,206,115,"1,508","1,269","1,051"
2020년08월_남_30~39세,"6,127","1,038",162,210,105,282,262,164,164,98,"1,321","1,036","1,285"
2020년08월_남_40~49세,"8,313","1,205",232,293,160,420,380,335,268,153,"1,780","1,543","1,544"
2020년08월_남_50~59세,"10,565","1,515",468,530,322,644,735,570,485,233,"1,953","1,734","1,376"
2020년08월_남_60~69세,"9,184","1,255",525,612,377,687,862,516,419,304,"1,573","1,130",924
2020년08월_남_70~79세,"4,805",651,338,345,226,420,456,276,281,178,720,500,414
2020년08월_남_80~89세,"1,940",260,136,155,87,165,240,141,110,77,255,172,142
2020년08월_남_90~99세,171,27,11,14,7,14,28,18,9,7,19,11,6
2020년08월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년08월_여_총인구수,"54,787","7,526","2,228","2,416","1,443","3,116","3,412","2,380","2,023","1,273","10,992","9,287","8,691"
2020년08월_여_연령구간인구수,"54,787","7,526","2,228","2,416","1,443","3,116","3,412","2,380","2,023","1,273","10,992","9,287","8,691"
2020년08월_여_0~9세,"3,670",542,75,82,45,168,104,74,74,59,786,682,979
2020년08월_여_10~19세,"4,655",638,120,130,77,212,190,160,120,77,984,"1,101",846
2020년08월_여_20~29세,"5,476",728,195,172,86,243,238,188,146,99,"1,332","1,127",922
2020년08월_여_30~39세,"5,552",814,130,153,86,237,199,141,143,78,"1,256",987,"1,328"
2020년08월_여_40~49세,"7,714","1,043",181,227,123,286,341,275,220,126,"1,743","1,635","1,514"
2020년08월_여_50~59세,"9,526","1,315",398,451,268,532,623,422,380,225,"1,944","1,575","1,393"
2020년08월_여_60~69세,"8,885","1,215",510,558,358,623,745,474,440,295,"1,584","1,163",920
2020년08월_여_70~79세,"5,379",702,324,361,231,436,544,349,271,189,838,650,484
2020년08월_여_80~89세,"3,274",447,253,227,132,316,361,250,182,106,432,311,257
2020년08월_여_90~99세,623,76,41,54,36,63,65,43,46,18,87,51,43
2020년08월_여_100세 이상,33,6,1,1,1,0,2,4,1,1,6,5,5
