카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년02월_계_총인구수,"532,257","32,481","36,688","28,848","15,757","23,630","22,578","29,076","29,313","16,126","25,347","18,385","22,094","16,089","25,463","20,845","39,620","21,852","32,706","33,368","41,991"
2020년02월_계_연령구간인구수,"532,257","32,481","36,688","28,848","15,757","23,630","22,578","29,076","29,313","16,126","25,347","18,385","22,094","16,089","25,463","20,845","39,620","21,852","32,706","33,368","41,991"
2020년02월_계_0~9세,"44,984","3,496","3,849","1,668",771,"1,435","1,786","1,804","1,929",793,"1,956","1,443","1,638",749,"1,667","1,815","6,264","1,462","3,040","2,729","4,690"
2020년02월_계_10~19세,"51,423","3,045","4,573","1,761","1,197","1,740","2,157","2,253","2,440","1,138","2,566","1,740","2,098","1,091","2,469","2,292","3,536","2,064","3,764","3,540","5,959"
2020년02월_계_20~29세,"72,204","4,270","4,422","6,385","2,208","3,357","2,965","4,229","4,387","2,038","3,397","2,552","3,006","2,281","3,595","2,487","3,910","2,997","4,266","4,624","4,828"
2020년02월_계_30~39세,"76,441","5,177","4,828","5,522","1,864","3,430","2,950","4,068","4,288","1,979","3,302","2,436","3,001","1,989","3,056","2,629","8,130","2,457","4,791","4,832","5,712"
2020년02월_계_40~49세,"90,457","5,634","6,866","4,513","2,472","3,653","3,965","4,485","4,588","2,381","4,307","2,924","3,477","2,255","3,960","3,577","7,072","3,587","5,944","5,862","8,935"
2020년02월_계_50~59세,"91,075","5,226","5,874","4,355","3,186","4,173","3,818","5,528","5,344","3,136","4,456","3,361","3,928","3,202","5,003","3,535","4,949","4,415","5,508","5,562","6,516"
2020년02월_계_60~69세,"62,013","3,434","3,821","2,765","2,211","3,161","2,863","3,853","3,752","2,418","3,251","2,333","2,930","2,610","3,256","2,766","3,721","2,858","3,233","3,451","3,326"
2020년02월_계_70~79세,"29,757","1,478","1,767","1,314","1,250","1,811","1,443","1,983","1,742","1,429","1,495","1,142","1,319","1,375","1,554","1,213","1,473","1,375","1,447","1,806","1,341"
2020년02월_계_80~89세,"11,855",609,563,491,518,748,525,750,716,724,513,380,591,473,748,463,487,557,591,824,584
2020년02월_계_90~99세,"1,928",108,115,72,70,113,103,110,116,88,90,65,103,63,149,67,75,77,118,130,96
2020년02월_계_100세 이상,120,4,10,2,10,9,3,13,11,2,14,9,3,1,6,1,3,3,4,8,4
2020년02월_남_총인구수,"264,677","15,836","18,097","14,386","7,985","11,679","11,383","14,553","14,633","7,782","12,445","9,244","10,834","8,115","12,446","10,366","19,659","11,217","16,420","16,834","20,763"
2020년02월_남_연령구간인구수,"264,677","15,836","18,097","14,386","7,985","11,679","11,383","14,553","14,633","7,782","12,445","9,244","10,834","8,115","12,446","10,366","19,659","11,217","16,420","16,834","20,763"
2020년02월_남_0~9세,"23,153","1,779","1,997",893,417,766,933,912,984,408,976,748,821,393,858,924,"3,212",745,"1,552","1,418","2,417"
2020년02월_남_10~19세,"26,272","1,481","2,388",873,639,904,"1,141","1,105","1,224",585,"1,272",891,"1,093",548,"1,242","1,187","1,857","1,111","1,931","1,851","2,949"
2020년02월_남_20~29세,"37,349","2,122","2,318","2,923","1,161","1,722","1,559","2,163","2,240","1,035","1,779","1,331","1,614","1,246","1,903","1,335","1,924","1,659","2,266","2,496","2,553"
2020년02월_남_30~39세,"39,193","2,490","2,262","3,013","1,044","1,828","1,515","2,155","2,277","1,048","1,700","1,296","1,582","1,117","1,585","1,312","3,956","1,285","2,507","2,606","2,615"
2020년02월_남_40~49세,"46,025","2,908","3,308","2,424","1,305","1,888","2,052","2,368","2,315","1,251","2,157","1,499","1,672","1,226","1,889","1,803","3,718","1,877","3,020","2,996","4,349"
2020년02월_남_50~59세,"44,847","2,532","2,937","2,130","1,621","2,029","1,910","2,764","2,623","1,536","2,123","1,666","1,869","1,563","2,409","1,694","2,300","2,255","2,740","2,764","3,382"
2020년02월_남_60~69세,"30,031","1,627","1,812","1,328","1,064","1,490","1,378","1,896","1,884","1,144","1,530","1,154","1,377","1,225","1,630","1,355","1,820","1,445","1,564","1,624","1,684"
2020년02월_남_70~79세,"13,414",687,832,591,544,793,674,895,817,559,706,519,596,614,676,565,712,633,626,774,601
2020년02월_남_80~89세,"3,971",192,210,186,176,246,186,266,244,199,180,124,182,175,225,175,149,190,194,277,195
2020년02월_남_90~99세,393,18,29,25,13,12,34,23,23,17,18,12,28,8,29,16,10,15,19,26,18
2020년02월_남_100세 이상,29,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020년02월_여_총인구수,"267,580","16,645","18,591","14,462","7,772","11,951","11,195","14,523","14,680","8,344","12,902","9,141","11,260","7,974","13,017","10,479","19,961","10,635","16,286","16,534","21,228"
2020년02월_여_연령구간인구수,"267,580","16,645","18,591","14,462","7,772","11,951","11,195","14,523","14,680","8,344","12,902","9,141","11,260","7,974","13,017","10,479","19,961","10,635","16,286","16,534","21,228"
2020년02월_여_0~9세,"21,831","1,717","1,852",775,354,669,853,892,945,385,980,695,817,356,809,891,"3,052",717,"1,488","1,311","2,273"
2020년02월_여_10~19세,"25,151","1,564","2,185",888,558,836,"1,016","1,148","1,216",553,"1,294",849,"1,005",543,"1,227","1,105","1,679",953,"1,833","1,689","3,010"
2020년02월_여_20~29세,"34,855","2,148","2,104","3,462","1,047","1,635","1,406","2,066","2,147","1,003","1,618","1,221","1,392","1,035","1,692","1,152","1,986","1,338","2,000","2,128","2,275"
2020년02월_여_30~39세,"37,248","2,687","2,566","2,509",820,"1,602","1,435","1,913","2,011",931,"1,602","1,140","1,419",872,"1,471","1,317","4,174","1,172","2,284","2,226","3,097"
2020년02월_여_40~49세,"44,432","2,726","3,558","2,089","1,167","1,765","1,913","2,117","2,273","1,130","2,150","1,425","1,805","1,029","2,071","1,774","3,354","1,710","2,924","2,866","4,586"
2020년02월_여_50~59세,"46,228","2,694","2,937","2,225","1,565","2,144","1,908","2,764","2,721","1,600","2,333","1,695","2,059","1,639","2,594","1,841","2,649","2,160","2,768","2,798","3,134"
2020년02월_여_60~69세,"31,982","1,807","2,009","1,437","1,147","1,671","1,485","1,957","1,868","1,274","1,721","1,179","1,553","1,385","1,626","1,411","1,901","1,413","1,669","1,827","1,642"
2020년02월_여_70~79세,"16,343",791,935,723,706,"1,018",769,"1,088",925,870,789,623,723,761,878,648,761,742,821,"1,032",740
2020년02월_여_80~89세,"7,884",417,353,305,342,502,339,484,472,525,333,256,409,298,523,288,338,367,397,547,389
2020년02월_여_90~99세,"1,535",90,86,47,57,101,69,87,93,71,72,53,75,55,120,51,65,62,99,104,78
