,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년10월_계_총인구수,"69,910","10,985","15,739","11,036","15,215","9,306","7,629"
2021년10월_계_연령구간인구수,"69,910","10,985","15,739","11,036","15,215","9,306","7,629"
2021년10월_계_0~9세,"6,027",813,"1,818",745,"1,523",603,525
2021년10월_계_10~19세,"6,744",964,"1,878","1,111","1,389",578,824
2021년10월_계_20~29세,"9,349","1,562","1,802","1,666","2,029","1,237","1,053"
2021년10월_계_30~39세,"9,960","1,425","2,120","1,395","2,473","1,603",944
2021년10월_계_40~49세,"10,437","1,423","2,838","1,460","2,191","1,343","1,182"
2021년10월_계_50~59세,"12,166","2,058","2,536","2,105","2,617","1,523","1,327"
2021년10월_계_60~69세,"8,798","1,620","1,635","1,435","1,761","1,434",913
2021년10월_계_70~79세,"3,968",656,700,617,757,666,572
2021년10월_계_80~89세,"2,067",382,359,416,390,278,242
2021년10월_계_90~99세,384,78,53,84,83,41,45
2021년10월_계_100세 이상,10,4,0,2,2,0,2
2021년10월_남_총인구수,"34,357","5,327","7,646","5,291","7,503","4,857","3,733"
2021년10월_남_연령구간인구수,"34,357","5,327","7,646","5,291","7,503","4,857","3,733"
2021년10월_남_0~9세,"3,149",418,953,384,814,297,283
2021년10월_남_10~19세,"3,448",476,916,564,722,321,449
2021년10월_남_20~29세,"4,926",833,930,843,"1,070",695,555
2021년10월_남_30~39세,"4,947",702,941,707,"1,208",900,489
2021년10월_남_40~49세,"5,100",666,"1,394",672,"1,056",746,566
2021년10월_남_50~59세,"5,846",955,"1,258",993,"1,248",741,651
2021년10월_남_60~69세,"4,296",808,803,688,883,705,409
2021년10월_남_70~79세,"1,784",308,296,272,335,331,242
2021년10월_남_80~89세,763,146,136,142,147,109,83
2021년10월_남_90~99세,95,14,19,24,20,12,6
2021년10월_남_100세 이상,3,1,0,2,0,0,0
2021년10월_여_총인구수,"35,553","5,658","8,093","5,745","7,712","4,449","3,896"
2021년10월_여_연령구간인구수,"35,553","5,658","8,093","5,745","7,712","4,449","3,896"
2021년10월_여_0~9세,"2,878",395,865,361,709,306,242
2021년10월_여_10~19세,"3,296",488,962,547,667,257,375
2021년10월_여_20~29세,"4,423",729,872,823,959,542,498
2021년10월_여_30~39세,"5,013",723,"1,179",688,"1,265",703,455
2021년10월_여_40~49세,"5,337",757,"1,444",788,"1,135",597,616
2021년10월_여_50~59세,"6,320","1,103","1,278","1,112","1,369",782,676
2021년10월_여_60~69세,"4,502",812,832,747,878,729,504
2021년10월_여_70~79세,"2,184",348,404,345,422,335,330
2021년10월_여_80~89세,"1,304",236,223,274,243,169,159
2021년10월_여_90~99세,289,64,34,60,63,29,39
2021년10월_여_100세 이상,7,3,0,0,2,0,2
