카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년03월_계_총인구수,"25,252","10,086",833,"1,085","1,381",864,"1,970","1,786","1,846","2,838","1,068","1,495"
2021년03월_계_연령구간인구수,"25,252","10,086",833,"1,085","1,381",864,"1,970","1,786","1,846","2,838","1,068","1,495"
2021년03월_계_0~9세,"1,241",665,16,43,52,34,84,68,57,133,55,34
2021년03월_계_10~19세,"1,648",836,24,82,81,39,88,86,82,204,61,65
2021년03월_계_20~29세,"1,913",941,33,63,69,47,143,128,143,201,62,83
2021년03월_계_30~39세,"1,595",827,25,48,56,59,100,98,83,182,75,42
2021년03월_계_40~49세,"2,678","1,312",64,93,118,68,186,178,142,300,91,126
2021년03월_계_50~59세,"4,462","1,677",179,193,246,160,362,295,341,546,192,271
2021년03월_계_60~69세,"4,988","1,643",235,225,309,208,425,388,362,621,240,332
2021년03월_계_70~79세,"3,807","1,247",153,184,240,137,311,318,365,391,149,312
2021년03월_계_80~89세,"2,531",819,89,130,180,107,228,199,238,219,123,199
2021년03월_계_90~99세,372,110,13,24,30,5,41,28,32,39,19,31
2021년03월_계_100세 이상,17,9,2,0,0,0,2,0,1,2,1,0
2021년03월_남_총인구수,"12,753","5,077",410,529,653,445,"1,022",901,921,"1,466",566,763
2021년03월_남_연령구간인구수,"12,753","5,077",410,529,653,445,"1,022",901,921,"1,466",566,763
2021년03월_남_0~9세,606,320,8,17,22,15,45,35,32,65,28,19
2021년03월_남_10~19세,873,431,13,43,42,16,49,48,42,112,40,37
2021년03월_남_20~29세,"1,104",536,18,40,37,32,83,72,72,125,42,47
2021년03월_남_30~39세,764,383,15,23,20,31,62,39,41,87,42,21
2021년03월_남_40~49세,"1,558",745,40,50,64,41,116,109,93,166,53,81
2021년03월_남_50~59세,"2,519",932,97,102,136,89,209,179,199,315,99,162
2021년03월_남_60~69세,"2,650",862,118,121,166,116,222,212,185,333,135,180
2021년03월_남_70~79세,"1,758",565,71,83,114,65,146,150,163,191,73,137
2021년03월_남_80~89세,830,271,27,44,44,38,84,53,85,64,49,71
2021년03월_남_90~99세,86,28,2,6,8,2,6,4,9,8,5,8
2021년03월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"12,499","5,009",423,556,728,419,948,885,925,"1,372",502,732
2021년03월_여_연령구간인구수,"12,499","5,009",423,556,728,419,948,885,925,"1,372",502,732
2021년03월_여_0~9세,635,345,8,26,30,19,39,33,25,68,27,15
2021년03월_여_10~19세,775,405,11,39,39,23,39,38,40,92,21,28
2021년03월_여_20~29세,809,405,15,23,32,15,60,56,71,76,20,36
2021년03월_여_30~39세,831,444,10,25,36,28,38,59,42,95,33,21
2021년03월_여_40~49세,"1,120",567,24,43,54,27,70,69,49,134,38,45
2021년03월_여_50~59세,"1,943",745,82,91,110,71,153,116,142,231,93,109
2021년03월_여_60~69세,"2,338",781,117,104,143,92,203,176,177,288,105,152
2021년03월_여_70~79세,"2,049",682,82,101,126,72,165,168,202,200,76,175
2021년03월_여_80~89세,"1,701",548,62,86,136,69,144,146,153,155,74,128
2021년03월_여_90~99세,286,82,11,18,22,3,35,24,23,31,14,23
2021년03월_여_100세 이상,12,5,1,0,0,0,2,0,1,2,1,0
