,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년12월_계_총인구수,"88,901","4,837","5,812","11,477","6,370","4,247","10,075","4,128","5,562","11,087","12,009","8,723","4,574"
2020년12월_계_연령구간인구수,"88,901","4,837","5,812","11,477","6,370","4,247","10,075","4,128","5,562","11,087","12,009","8,723","4,574"
2020년12월_계_0~9세,"4,085",171,164,990,195,181,416,112,177,463,377,460,379
2020년12월_계_10~19세,"5,145",278,278,732,408,319,594,238,349,631,631,425,262
2020년12월_계_20~29세,"10,472",663,634,"1,753",660,508,"1,211",370,569,"1,309","1,288","1,073",434
2020년12월_계_30~39세,"10,395",507,556,"2,342",521,402,"1,165",304,438,"1,149","1,155","1,179",677
2020년12월_계_40~49세,"11,953",709,767,"1,745",828,578,"1,306",487,695,"1,456","1,425","1,235",722
2020년12월_계_50~59세,"14,708",782,994,"1,597","1,055",723,"1,647",716,976,"1,861","2,131","1,614",612
2020년12월_계_60~69세,"16,094",873,"1,201","1,289","1,244",744,"1,881",815,"1,093","2,030","2,576","1,584",764
2020년12월_계_70~79세,"10,730",594,816,682,932,544,"1,253",726,856,"1,479","1,589",788,471
2020년12월_계_80~89세,"4,632",229,335,284,450,222,536,321,355,636,740,318,206
2020년12월_계_90~99세,586,26,58,55,64,21,50,37,52,57,84,40,42
2020년12월_계_100세 이상,101,5,9,8,13,5,16,2,2,16,13,7,5
2020년12월_남_총인구수,"43,509","2,419","2,874","5,630","3,080","2,066","4,810","2,056","2,645","5,378","5,917","4,402","2,232"
2020년12월_남_연령구간인구수,"43,509","2,419","2,874","5,630","3,080","2,066","4,810","2,056","2,645","5,378","5,917","4,402","2,232"
2020년12월_남_0~9세,"2,149",71,97,515,105,93,208,63,98,261,200,240,198
2020년12월_남_10~19세,"2,660",152,141,388,222,164,296,140,175,309,304,232,137
2020년12월_남_20~29세,"5,303",339,322,751,360,276,586,210,325,698,692,542,202
2020년12월_남_30~39세,"5,552",269,314,"1,208",294,219,639,178,229,602,633,621,346
2020년12월_남_40~49세,"6,410",402,440,902,425,301,677,276,373,772,789,657,396
2020년12월_남_50~59세,"7,492",429,528,808,538,360,800,401,474,916,"1,109",827,302
2020년12월_남_60~69세,"7,595",405,543,636,579,327,862,398,479,951,"1,238",788,389
2020년12월_남_70~79세,"4,593",270,352,307,384,231,551,283,366,625,685,354,185
2020년12월_남_80~89세,"1,579",73,113,97,155,90,172,95,114,230,243,129,68
2020년12월_남_90~99세,145,7,20,13,13,5,16,12,12,8,21,10,8
2020년12월_남_100세 이상,31,2,4,5,5,0,3,0,0,6,3,2,1
2020년12월_여_총인구수,"45,392","2,418","2,938","5,847","3,290","2,181","5,265","2,072","2,917","5,709","6,092","4,321","2,342"
2020년12월_여_연령구간인구수,"45,392","2,418","2,938","5,847","3,290","2,181","5,265","2,072","2,917","5,709","6,092","4,321","2,342"
2020년12월_여_0~9세,"1,936",100,67,475,90,88,208,49,79,202,177,220,181
2020년12월_여_10~19세,"2,485",126,137,344,186,155,298,98,174,322,327,193,125
2020년12월_여_20~29세,"5,169",324,312,"1,002",300,232,625,160,244,611,596,531,232
2020년12월_여_30~39세,"4,843",238,242,"1,134",227,183,526,126,209,547,522,558,331
2020년12월_여_40~49세,"5,543",307,327,843,403,277,629,211,322,684,636,578,326
2020년12월_여_50~59세,"7,216",353,466,789,517,363,847,315,502,945,"1,022",787,310
2020년12월_여_60~69세,"8,499",468,658,653,665,417,"1,019",417,614,"1,079","1,338",796,375
2020년12월_여_70~79세,"6,137",324,464,375,548,313,702,443,490,854,904,434,286
2020년12월_여_80~89세,"3,053",156,222,187,295,132,364,226,241,406,497,189,138
2020년12월_여_90~99세,441,19,38,42,51,16,34,25,40,49,63,30,34
2020년12월_여_100세 이상,70,3,5,3,8,5,13,2,2,10,10,5,4
