카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년02월_계_총인구수,"52,582","11,253","13,804","5,053","2,299","1,706","2,598","1,531","1,301","1,282","2,156","2,069","3,051","4,479"
2020년02월_계_연령구간인구수,"52,582","11,253","13,804","5,053","2,299","1,706","2,598","1,531","1,301","1,282","2,156","2,069","3,051","4,479"
2020년02월_계_0~9세,"2,447",598,"1,038",175,55,38,63,59,29,36,46,49,56,205
2020년02월_계_10~19세,"3,635",917,"1,546",231,61,64,111,75,62,28,70,84,116,270
2020년02월_계_20~29세,"4,056","1,062","1,370",320,107,91,161,83,62,39,102,111,227,321
2020년02월_계_30~39세,"3,693",909,"1,186",337,117,73,122,82,67,61,103,102,179,355
2020년02월_계_40~49세,"6,122","1,636","2,065",517,165,138,246,111,81,97,164,159,245,498
2020년02월_계_50~59세,"8,746","1,932","2,247",841,323,281,382,229,203,201,353,342,582,830
2020년02월_계_60~69세,"9,964","1,922","2,038","1,040",512,344,532,335,277,317,512,486,694,955
2020년02월_계_70~79세,"7,916","1,463","1,370",920,469,346,503,289,253,275,423,402,549,654
2020년02월_계_80~89세,"5,208",723,802,570,436,280,419,241,242,200,329,281,338,347
2020년02월_계_90~99세,752,86,135,96,50,49,56,27,24,25,51,50,61,42
2020년02월_계_100세 이상,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020년02월_남_총인구수,"25,992","5,628","6,740","2,520","1,101",837,"1,225",736,635,654,"1,054",996,"1,520","2,346"
2020년02월_남_연령구간인구수,"25,992","5,628","6,740","2,520","1,101",837,"1,225",736,635,654,"1,054",996,"1,520","2,346"
2020년02월_남_0~9세,"1,226",291,522,93,30,19,31,26,14,23,19,24,32,102
2020년02월_남_10~19세,"1,870",464,810,119,36,29,51,41,32,16,35,42,62,133
2020년02월_남_20~29세,"2,361",611,765,172,66,57,102,50,37,28,62,67,153,191
2020년02월_남_30~39세,"2,059",489,575,200,73,46,74,52,41,34,64,65,107,239
2020년02월_남_40~49세,"3,387",877,"1,012",324,102,89,136,67,49,68,97,90,157,319
2020년02월_남_50~59세,"4,705","1,080","1,145",471,174,153,196,117,113,116,194,189,306,451
2020년02월_남_60~69세,"4,852",902,975,523,242,174,259,168,147,147,247,244,336,488
2020년02월_남_70~79세,"3,467",617,616,385,211,157,212,131,112,135,199,177,241,274
2020년02월_남_80~89세,"1,884",277,282,211,154,102,151,78,82,83,130,81,114,139
2020년02월_남_90~99세,171,20,35,21,11,11,13,6,8,3,7,15,12,9
2020년02월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년02월_여_총인구수,"26,590","5,625","7,064","2,533","1,198",869,"1,373",795,666,628,"1,102","1,073","1,531","2,133"
2020년02월_여_연령구간인구수,"26,590","5,625","7,064","2,533","1,198",869,"1,373",795,666,628,"1,102","1,073","1,531","2,133"
2020년02월_여_0~9세,"1,221",307,516,82,25,19,32,33,15,13,27,25,24,103
2020년02월_여_10~19세,"1,765",453,736,112,25,35,60,34,30,12,35,42,54,137
2020년02월_여_20~29세,"1,695",451,605,148,41,34,59,33,25,11,40,44,74,130
2020년02월_여_30~39세,"1,634",420,611,137,44,27,48,30,26,27,39,37,72,116
2020년02월_여_40~49세,"2,735",759,"1,053",193,63,49,110,44,32,29,67,69,88,179
2020년02월_여_50~59세,"4,041",852,"1,102",370,149,128,186,112,90,85,159,153,276,379
2020년02월_여_60~69세,"5,112","1,020","1,063",517,270,170,273,167,130,170,265,242,358,467
2020년02월_여_70~79세,"4,449",846,754,535,258,189,291,158,141,140,224,225,308,380
2020년02월_여_80~89세,"3,324",446,520,359,282,178,268,163,160,117,199,200,224,208
2020년02월_여_90~99세,581,66,100,75,39,38,43,21,16,22,44,35,49,33
2020년02월_여_100세 이상,33,5,4,5,2,2,3,0,1,2,3,1,4,1
