,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년11월_계_총인구수,"34,670","13,760","4,313","2,314","1,152","2,522","1,805","2,803","1,865","1,674",651,"1,811"
2020년11월_계_연령구간인구수,"34,670","13,760","4,313","2,314","1,152","2,522","1,805","2,803","1,865","1,674",651,"1,811"
2020년11월_계_0~9세,"1,785","1,025",233,69,28,52,76,109,50,48,18,77
2020년11월_계_10~19세,"2,523","1,366",333,119,40,139,97,130,77,87,46,89
2020년11월_계_20~29세,"2,883","1,544",360,140,67,130,83,176,111,101,33,138
2020년11월_계_30~39세,"2,476","1,322",313,111,52,112,88,168,97,74,25,114
2020년11월_계_40~49세,"3,792","1,893",474,186,105,206,165,245,131,147,55,185
2020년11월_계_50~59세,"5,673","2,248",708,401,184,375,298,430,320,272,107,330
2020년11월_계_60~69세,"6,178","2,028",737,469,260,556,391,597,355,328,108,349
2020년11월_계_70~79세,"5,245","1,419",601,452,249,516,319,521,383,322,133,330
2020년11월_계_80~89세,"3,572",798,488,323,137,372,258,365,298,247,106,180
2020년11월_계_90~99세,514,107,64,42,29,58,29,59,41,46,20,19
2020년11월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년11월_남_총인구수,"16,756","6,643","2,090","1,123",546,"1,217",858,"1,367",902,795,317,898
2020년11월_남_연령구간인구수,"16,756","6,643","2,090","1,123",546,"1,217",858,"1,367",902,795,317,898
2020년11월_남_0~9세,886,526,108,40,10,23,29,54,28,20,10,38
2020년11월_남_10~19세,"1,298",685,187,55,21,74,48,61,39,51,26,51
2020년11월_남_20~29세,"1,619",839,215,80,39,80,46,110,64,60,18,68
2020년11월_남_30~39세,"1,275",658,171,61,29,63,37,84,55,42,10,65
2020년11월_남_40~49세,"2,111",950,251,111,65,127,107,150,93,95,40,122
2020년11월_남_50~59세,"3,059","1,133",376,225,104,219,167,243,190,151,65,186
2020년11월_남_60~69세,"3,075",980,396,242,121,280,189,302,176,165,57,167
2020년11월_남_70~79세,"2,247",618,238,197,114,225,148,226,154,123,62,142
2020년11월_남_80~89세,"1,083",230,136,107,39,111,84,124,95,78,23,56
2020년11월_남_90~99세,99,23,12,5,4,14,3,12,7,10,6,3
2020년11월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년11월_여_총인구수,"17,914","7,117","2,223","1,191",606,"1,305",947,"1,436",963,879,334,913
2020년11월_여_연령구간인구수,"17,914","7,117","2,223","1,191",606,"1,305",947,"1,436",963,879,334,913
2020년11월_여_0~9세,899,499,125,29,18,29,47,55,22,28,8,39
2020년11월_여_10~19세,"1,225",681,146,64,19,65,49,69,38,36,20,38
2020년11월_여_20~29세,"1,264",705,145,60,28,50,37,66,47,41,15,70
2020년11월_여_30~39세,"1,201",664,142,50,23,49,51,84,42,32,15,49
2020년11월_여_40~49세,"1,681",943,223,75,40,79,58,95,38,52,15,63
2020년11월_여_50~59세,"2,614","1,115",332,176,80,156,131,187,130,121,42,144
2020년11월_여_60~69세,"3,103","1,048",341,227,139,276,202,295,179,163,51,182
2020년11월_여_70~79세,"2,998",801,363,255,135,291,171,295,229,199,71,188
2020년11월_여_80~89세,"2,489",568,352,216,98,261,174,241,203,169,83,124
2020년11월_여_90~99세,415,84,52,37,25,44,26,47,34,36,14,16
2020년11월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
