카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년05월_계_총인구수,"313,761","6,604","73,594","4,252","21,021","19,828","21,302","5,590","6,597","3,190","4,519","20,168","9,556","10,897","36,982","18,464","21,904","29,293"
2020년05월_계_연령구간인구수,"313,761","6,604","73,594","4,252","21,021","19,828","21,302","5,590","6,597","3,190","4,519","20,168","9,556","10,897","36,982","18,464","21,904","29,293"
2020년05월_계_0~9세,"34,131",402,"9,648",225,"3,121","2,725","2,474",151,320,63,116,"1,752",937,474,"4,274","1,587","2,419","3,443"
2020년05월_계_10~19세,"34,192",501,"9,096",350,"2,852","1,658","1,404",276,405,123,196,"2,082",725,837,"4,842","2,461","2,774","3,610"
2020년05월_계_20~29세,"35,915",568,"9,020",302,"2,504","2,029","2,437",447,564,201,375,"2,385","1,084","1,732","4,498","2,099","2,759","2,911"
2020년05월_계_30~39세,"49,427",657,"13,721",267,"4,097","3,739","4,618",388,680,182,317,"2,530","1,823","1,223","5,424","2,137","3,216","4,408"
2020년05월_계_40~49세,"55,450",928,"14,052",597,"4,355","3,340","3,368",591,976,283,416,"3,465","1,514","1,523","6,884","3,466","4,088","5,604"
2020년05월_계_50~59세,"45,546","1,174","9,286",769,"2,226","2,710","3,020","1,055","1,303",533,886,"3,250","1,333","2,054","5,251","3,090","3,307","4,299"
2020년05월_계_60~69세,"30,406","1,109","4,964",780,968,"2,018","2,154","1,199","1,073",760,935,"2,338","1,095","1,589","3,114","1,895","1,769","2,646"
2020년05월_계_70~79세,"17,782",721,"2,486",568,549,986,"1,118",821,699,573,740,"1,483",674,975,"1,777","1,100","1,024","1,488"
2020년05월_계_80~89세,"9,537",475,"1,158",340,302,535,609,575,511,414,486,783,302,422,818,540,471,796
2020년05월_계_90~99세,"1,260",65,150,50,46,88,97,82,62,49,49,92,55,57,92,80,67,79
2020년05월_계_100세 이상,115,4,13,4,1,0,3,5,4,9,3,8,14,11,8,9,10,9
2020년05월_남_총인구수,"162,712","3,446","37,880","2,192","11,346","10,672","11,919","2,948","3,644","1,659","2,322","10,498","5,011","5,613","18,430","9,429","11,185","14,518"
