카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년10월_계_총인구수,"93,915","6,950","11,348","5,164","3,132","27,617","25,594","8,728","5,382"
2020년10월_계_연령구간인구수,"93,915","6,950","11,348","5,164","3,132","27,617","25,594","8,728","5,382"
2020년10월_계_0~9세,"6,373",486,729,150,165,"1,991","2,232",383,237
2020년10월_계_10~19세,"8,622",565,"1,171",213,205,"2,670","3,003",513,282
2020년10월_계_20~29세,"11,207",752,"1,260",498,343,"3,519","3,313",924,598
2020년10월_계_30~39세,"10,180",772,"1,091",445,294,"3,048","3,143",782,605
2020년10월_계_40~49세,"14,326",946,"1,809",593,398,"4,228","4,585","1,137",630
2020년10월_계_50~59세,"16,401","1,259","1,930","1,071",589,"4,906","4,018","1,610","1,018"
2020년10월_계_60~69세,"13,017","1,101","1,533","1,074",529,"3,693","2,503","1,621",963
2020년10월_계_70~79세,"8,802",664,"1,150",670,396,"2,314","1,835","1,114",659
2020년10월_계_80~89세,"4,299",364,608,344,186,"1,091",838,547,321
2020년10월_계_90~99세,604,38,60,81,25,144,120,76,60
2020년10월_계_100세 이상,84,3,7,25,2,13,4,21,9
2020년10월_남_총인구수,"46,846","3,456","5,590","2,689","1,475","13,650","12,613","4,523","2,850"
2020년10월_남_연령구간인구수,"46,846","3,456","5,590","2,689","1,475","13,650","12,613","4,523","2,850"
2020년10월_남_0~9세,"3,287",257,393,86,75,998,"1,154",191,133
2020년10월_남_10~19세,"4,352",265,602,112,93,"1,359","1,504",279,138
2020년10월_남_20~29세,"6,092",423,705,269,204,"1,880","1,733",530,348
2020년10월_남_30~39세,"5,258",394,532,264,151,"1,560","1,582",424,351
2020년10월_남_40~49세,"7,387",501,922,344,207,"2,106","2,290",654,363
2020년10월_남_50~59세,"8,645",651,"1,016",620,287,"2,516","2,108",873,574
2020년10월_남_60~69세,"6,360",543,722,564,257,"1,824","1,128",814,508
2020년10월_남_70~79세,"3,689",274,446,288,142,961,746,530,302
2020년10월_남_80~89세,"1,587",137,236,105,53,403,338,202,113
2020년10월_남_90~99세,170,11,14,31,6,39,29,23,17
2020년10월_남_100세 이상,19,0,2,6,0,4,1,3,3
2020년10월_여_총인구수,"47,069","3,494","5,758","2,475","1,657","13,967","12,981","4,205","2,532"
2020년10월_여_연령구간인구수,"47,069","3,494","5,758","2,475","1,657","13,967","12,981","4,205","2,532"
2020년10월_여_0~9세,"3,086",229,336,64,90,993,"1,078",192,104
2020년10월_여_10~19세,"4,270",300,569,101,112,"1,311","1,499",234,144
2020년10월_여_20~29세,"5,115",329,555,229,139,"1,639","1,580",394,250
2020년10월_여_30~39세,"4,922",378,559,181,143,"1,488","1,561",358,254
2020년10월_여_40~49세,"6,939",445,887,249,191,"2,122","2,295",483,267
2020년10월_여_50~59세,"7,756",608,914,451,302,"2,390","1,910",737,444
2020년10월_여_60~69세,"6,657",558,811,510,272,"1,869","1,375",807,455
2020년10월_여_70~79세,"5,113",390,704,382,254,"1,353","1,089",584,357
2020년10월_여_80~89세,"2,712",227,372,239,133,688,500,345,208
2020년10월_여_90~99세,434,27,46,50,19,105,91,53,43
2020년10월_여_100세 이상,65,3,5,19,2,9,3,18,6
