,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년11월_계_총인구수,"2,627,468","503,388","230,644","272,744","252,162","140,120","157,177","413,164","101,895","101,703","95,701","71,159","268,455","22,899","50,665","24,590","16,335","35,451","41,827","30,673","42,766","113,896","55,824","30,802","47,928","8,888"
2021년11월_계_연령구간인구수,"2,627,468","503,388","230,644","272,744","252,162","140,120","157,177","413,164","101,895","101,703","95,701","71,159","268,455","22,899","50,665","24,590","16,335","35,451","41,827","30,673","42,766","113,896","55,824","30,802","47,928","8,888"
2021년11월_계_0~9세,"179,383","37,449","16,442","21,007","15,427","9,993","10,060","38,906","5,755","5,569","4,902","3,835","19,783",603,"1,805",921,677,"1,485","1,416","1,330","1,832","8,774","4,475","1,248","2,760",378
2021년11월_계_10~19세,"222,205","46,215","20,950","25,265","20,235","12,240","13,347","44,214","8,601","6,542","7,349","5,463","22,869",917,"2,174","1,164",896,"2,031","2,202","1,906","2,192","11,359","4,478","1,806","3,552",453
2021년11월_계_20~29세,"276,881","56,565","26,560","30,005","25,815","14,174","16,363","54,775","9,502","9,647","7,700","6,133","36,442","1,395","2,858","1,573","1,071","2,250","2,580","2,304","3,173","11,602","4,056","1,818","4,275",810
2021년11월_계_30~39세,"280,402","57,613","25,888","31,725","24,651","14,511","15,086","63,286","8,090","9,115","7,058","5,434","33,085","1,205","2,966","1,565",995,"2,179","2,597","2,065","3,127","13,825","5,305","1,757","4,081",806
2021년11월_계_40~49세,"377,057","76,644","35,499","41,145","35,810","19,188","21,582","72,688","13,409","12,260","10,960","8,575","41,592","2,014","4,456","2,257","1,610","3,677","4,271","3,572","4,502","20,523","7,220","3,029","6,004","1,214"
2021년11월_계_50~59세,"454,422","89,077","40,870","48,207","46,585","23,528","25,713","70,037","17,350","18,075","16,213","11,824","45,886","4,130","8,227","4,492","2,836","5,988","7,106","5,726","8,091","19,965","7,926","5,535","8,336","1,776"
2021년11월_계_60~69세,"432,158","82,790","38,363","44,427","43,242","23,352","26,820","43,162","19,173","19,611","19,112","14,048","37,449","5,587","12,160","5,731","3,618","7,569","9,926","6,576","9,831","14,874","9,794","7,125","8,794","1,814"
2021년11월_계_70~79세,"243,700","38,337","17,903","20,434","25,009","13,429","16,653","16,406","11,783","12,729","12,390","9,168","20,226","4,002","8,845","3,976","2,585","5,776","6,673","4,124","5,919","7,669","6,755","4,652","5,539","1,055"
2021년11월_계_80~89세,"140,516","16,325","7,179","9,146","13,469","8,412","10,011","8,411","7,081","7,252","8,607","5,781","9,858","2,688","6,300","2,562","1,759","3,915","4,412","2,723","3,572","4,616","5,082","3,298","3,882",500
2021년11월_계_90~99세,"20,133","2,305",952,"1,353","1,866","1,254","1,497","1,244","1,093",882,"1,374",858,"1,237",343,853,338,271,560,634,341,518,670,710,510,695,80
2021년11월_계_100세 이상,611,68,38,30,53,39,45,35,58,21,36,40,28,15,21,11,17,21,10,6,9,19,23,24,10,2
2021년11월_남_총인구수,"1,324,021","255,032","119,349","135,683","126,155","70,260","77,742","212,262","50,546","51,660","46,949","34,928","135,017","11,730","24,806","12,269","8,138","16,834","20,549","15,762","22,166","59,313","27,414","15,571","24,056","4,862"
2021년11월_남_연령구간인구수,"1,324,021","255,032","119,349","135,683","126,155","70,260","77,742","212,262","50,546","51,660","46,949","34,928","135,017","11,730","24,806","12,269","8,138","16,834","20,549","15,762","22,166","59,313","27,414","15,571","24,056","4,862"
2021년11월_남_0~9세,"92,373","19,410","8,494","10,916","7,888","5,163","5,232","19,991","3,006","2,835","2,556","1,961","10,054",328,957,476,354,741,723,693,919,"4,540","2,276",650,"1,425",195
2021년11월_남_10~19세,"116,629","24,224","11,004","13,220","10,546","6,642","6,988","23,002","4,487","3,493","3,893","2,965","11,893",500,"1,136",619,463,"1,052","1,118","1,019","1,204","5,936","2,363",964,"1,895",227
2021년11월_남_20~29세,"156,877","32,637","15,850","16,787","14,569","7,932","8,918","30,712","5,521","5,690","4,440","3,449","19,812",838,"1,652",953,620,"1,313","1,507","1,342","1,914","6,648","2,273","1,098","2,538",501
2021년11월_남_30~39세,"150,083","30,761","14,141","16,620","13,182","7,608","7,904","33,825","4,349","4,921","3,789","2,863","17,847",710,"1,654",908,543,"1,139","1,410","1,122","1,687","7,502","2,663",968,"2,253",475
2021년11월_남_40~49세,"196,373","38,696","18,468","20,228","18,630","10,109","11,120","36,703","6,889","6,742","5,790","4,598","21,337","1,174","2,597","1,291",955,"2,007","2,364","2,011","2,666","11,044","3,871","1,754","3,282",743
2021년11월_남_50~59세,"235,707","44,789","21,295","23,494","24,075","12,277","13,258","35,687","8,959","9,697","8,611","6,147","22,987","2,361","4,484","2,408","1,588","3,237","3,782","3,255","4,492","10,811","4,168","3,008","4,569","1,057"
2021년11월_남_60~69세,"215,472","40,525","18,945","21,580","21,429","11,556","13,052","22,154","9,246","9,902","9,429","6,875","18,355","2,968","6,160","2,856","1,838","3,651","5,045","3,486","5,205","7,763","4,917","3,727","4,388",945
