,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년12월_계_총인구수,"47,475","20,911","3,298","4,376","2,300","1,943","2,388","3,249","1,014","2,852","1,872","3,272"
2020년12월_계_연령구간인구수,"47,475","20,911","3,298","4,376","2,300","1,943","2,388","3,249","1,014","2,852","1,872","3,272"
2020년12월_계_0~9세,"2,336","1,524",105,173,49,54,67,108,29,81,44,102
2020년12월_계_10~19세,"3,390","2,064",147,309,124,93,104,180,51,110,77,131
2020년12월_계_20~29세,"4,453","2,697",236,299,148,116,117,326,46,165,111,192
2020년12월_계_30~39세,"3,271","1,959",158,264,95,77,105,180,38,127,74,194
2020년12월_계_40~49세,"5,362","3,048",308,423,212,153,186,282,82,212,177,279
2020년12월_계_50~59세,"8,486","3,547",654,815,453,369,411,617,193,508,342,577
2020년12월_계_60~69세,"9,201","2,983",788,982,532,470,585,693,244,717,415,792
2020년12월_계_70~79세,"6,511","1,979",493,682,403,316,477,506,186,519,355,595
2020년12월_계_80~89세,"3,901",984,356,386,248,262,280,319,125,351,230,360
2020년12월_계_90~99세,524,111,47,38,34,32,53,37,19,58,47,48
2020년12월_계_100세 이상,40,15,6,5,2,1,3,1,1,4,0,2
2020년12월_남_총인구수,"23,624","10,322","1,675","2,210","1,131",958,"1,163","1,653",510,"1,433",933,"1,636"
2020년12월_남_연령구간인구수,"23,624","10,322","1,675","2,210","1,131",958,"1,163","1,653",510,"1,433",933,"1,636"
2020년12월_남_0~9세,"1,190",767,57,95,25,27,27,49,15,48,27,53
2020년12월_남_10~19세,"1,766","1,066",71,163,63,52,65,101,30,49,38,68
2020년12월_남_20~29세,"2,499","1,435",140,183,90,70,70,206,24,105,66,110
2020년12월_남_30~39세,"1,726",988,98,137,50,41,57,104,24,71,49,107
2020년12월_남_40~49세,"2,907","1,557",167,240,117,96,108,165,49,139,102,167
2020년12월_남_50~59세,"4,513","1,825",363,442,247,198,222,334,113,278,180,311
2020년12월_남_60~69세,"4,691","1,487",413,512,262,241,306,352,133,357,227,401
2020년12월_남_70~79세,"2,852",835,244,294,182,131,206,218,77,239,155,271
2020년12월_남_80~89세,"1,349",337,111,136,86,94,91,115,39,133,75,132
2020년12월_남_90~99세,120,20,10,7,8,8,10,9,6,13,14,15
2020년12월_남_100세 이상,11,5,1,1,1,0,1,0,0,1,0,1
2020년12월_여_총인구수,"23,851","10,589","1,623","2,166","1,169",985,"1,225","1,596",504,"1,419",939,"1,636"
2020년12월_여_연령구간인구수,"23,851","10,589","1,623","2,166","1,169",985,"1,225","1,596",504,"1,419",939,"1,636"
2020년12월_여_0~9세,"1,146",757,48,78,24,27,40,59,14,33,17,49
2020년12월_여_10~19세,"1,624",998,76,146,61,41,39,79,21,61,39,63
2020년12월_여_20~29세,"1,954","1,262",96,116,58,46,47,120,22,60,45,82
2020년12월_여_30~39세,"1,545",971,60,127,45,36,48,76,14,56,25,87
2020년12월_여_40~49세,"2,455","1,491",141,183,95,57,78,117,33,73,75,112
2020년12월_여_50~59세,"3,973","1,722",291,373,206,171,189,283,80,230,162,266
2020년12월_여_60~69세,"4,510","1,496",375,470,270,229,279,341,111,360,188,391
2020년12월_여_70~79세,"3,659","1,144",249,388,221,185,271,288,109,280,200,324
2020년12월_여_80~89세,"2,552",647,245,250,162,168,189,204,86,218,155,228
2020년12월_여_90~99세,404,91,37,31,26,24,43,28,13,45,33,33
2020년12월_여_100세 이상,29,10,5,4,1,1,2,1,1,3,0,1
