,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년04월_계_총인구수,"166,333","8,938","30,064","5,390","9,728","2,410","3,649","3,543","5,042","5,125","15,539","11,709","24,637","22,459","18,100"
2021년04월_계_연령구간인구수,"166,333","8,938","30,064","5,390","9,728","2,410","3,649","3,543","5,042","5,125","15,539","11,709","24,637","22,459","18,100"
2021년04월_계_0~9세,"15,195",310,"3,888",162,407,61,106,94,155,173,"1,416","1,098","2,494","2,858","1,973"
2021년04월_계_10~19세,"15,674",578,"2,601",281,487,88,188,187,314,320,"1,775",983,"2,543","2,605","2,724"
2021년04월_계_20~29세,"15,940",673,"2,286",386,898,138,278,221,359,402,"1,386",985,"3,416","2,337","2,175"
2021년04월_계_30~39세,"22,397",677,"5,304",287,"1,118",122,211,231,263,309,"1,579","1,888","4,466","3,556","2,386"
2021년04월_계_40~49세,"26,840","1,103","5,385",526,"1,382",205,322,365,507,582,"2,593","2,012","4,329","3,974","3,555"
2021년04월_계_50~59세,"25,982","1,534","4,464",933,"1,903",336,593,640,958,830,"2,477","1,843","3,479","3,200","2,792"
2021년04월_계_60~69세,"21,786","1,818","3,298","1,245","1,804",624,860,833,"1,075","1,095","2,122","1,428","2,168","2,113","1,303"
2021년04월_계_70~79세,"13,206","1,292","1,703",845,"1,005",495,601,561,769,805,"1,305",856,"1,148","1,101",720
2021년04월_계_80~89세,"8,086",824,997,622,625,294,420,350,550,532,774,538,520,627,413
2021년04월_계_90~99세,"1,176",121,135,100,93,44,69,60,90,75,108,75,73,76,57
2021년04월_계_100세 이상,51,8,3,3,6,3,1,1,2,2,4,3,1,12,2
2021년04월_남_총인구수,"88,408","4,703","16,663","2,752","5,772","1,204","1,867","1,819","2,543","2,585","7,905","6,692","13,137","11,442","9,324"
2021년04월_남_연령구간인구수,"88,408","4,703","16,663","2,752","5,772","1,204","1,867","1,819","2,543","2,585","7,905","6,692","13,137","11,442","9,324"
2021년04월_남_0~9세,"7,733",168,"2,004",86,212,39,44,45,68,79,707,533,"1,261","1,489",998
2021년04월_남_10~19세,"8,239",320,"1,375",143,263,47,98,97,172,174,913,508,"1,337","1,351","1,441"
2021년04월_남_20~29세,"9,283",407,"1,320",218,624,83,168,138,196,249,789,636,"1,948","1,267","1,240"
2021년04월_남_30~39세,"12,815",413,"2,985",160,780,75,127,134,150,171,822,"1,229","2,659","1,858","1,252"
2021년04월_남_40~49세,"15,123",671,"3,293",309,958,131,183,223,298,337,"1,386","1,260","2,307","2,032","1,735"
2021년04월_남_50~59세,"14,651",887,"2,691",543,"1,216",168,325,348,535,454,"1,358","1,136","1,807","1,682","1,501"
2021년04월_남_60~69세,"11,176",884,"1,783",629,993,308,450,414,532,553,"1,052",777,"1,107","1,040",654
2021년04월_남_70~79세,"6,194",609,834,404,471,236,297,287,378,357,581,393,503,500,344
2021년04월_남_80~89세,"2,889",311,336,235,231,105,163,120,188,184,275,200,192,211,138
2021년04월_남_90~99세,297,33,42,25,22,11,12,13,26,26,21,20,16,10,20
2021년04월_남_100세 이상,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021년04월_여_총인구수,"77,925","4,235","13,401","2,638","3,956","1,206","1,782","1,724","2,499","2,540","7,634","5,017","11,500","11,017","8,776"
2021년04월_여_연령구간인구수,"77,925","4,235","13,401","2,638","3,956","1,206","1,782","1,724","2,499","2,540","7,634","5,017","11,500","11,017","8,776"
2021년04월_여_0~9세,"7,462",142,"1,884",76,195,22,62,49,87,94,709,565,"1,233","1,369",975
2021년04월_여_10~19세,"7,435",258,"1,226",138,224,41,90,90,142,146,862,475,"1,206","1,254","1,283"
2021년04월_여_20~29세,"6,657",266,966,168,274,55,110,83,163,153,597,349,"1,468","1,070",935
2021년04월_여_30~39세,"9,582",264,"2,319",127,338,47,84,97,113,138,757,659,"1,807","1,698","1,134"
2021년04월_여_40~49세,"11,717",432,"2,092",217,424,74,139,142,209,245,"1,207",752,"2,022","1,942","1,820"
2021년04월_여_50~59세,"11,331",647,"1,773",390,687,168,268,292,423,376,"1,119",707,"1,672","1,518","1,291"
2021년04월_여_60~69세,"10,610",934,"1,515",616,811,316,410,419,543,542,"1,070",651,"1,061","1,073",649
2021년04월_여_70~79세,"7,012",683,869,441,534,259,304,274,391,448,724,463,645,601,376
2021년04월_여_80~89세,"5,197",513,661,387,394,189,257,230,362,348,499,338,328,416,275
2021년04월_여_90~99세,879,88,93,75,71,33,57,47,64,49,87,55,57,66,37
2021년04월_여_100세 이상,43,8,3,3,4,2,1,1,2,1,3,3,1,10,1
