,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년08월_계_총인구수,"74,125","8,198","6,642","4,948","4,432","4,892","8,010","4,959","4,292","6,831","11,642","7,251","2,028"
2021년08월_계_연령구간인구수,"74,125","8,198","6,642","4,948","4,432","4,892","8,010","4,959","4,292","6,831","11,642","7,251","2,028"
2021년08월_계_0~9세,"4,816",293,405,151,117,580,864,248,263,532,824,476,63
2021년08월_계_10~19세,"4,920",472,388,217,183,209,543,282,266,541,"1,057",628,134
2021년08월_계_20~29세,"11,415","1,414","1,827","1,463",783,536,798,876,611,696,"1,252",940,219
2021년08월_계_30~39세,"10,378","1,129","1,241",763,546,966,"1,279",631,629,876,"1,295",841,182
2021년08월_계_40~49세,"10,384","1,037",890,528,478,708,"1,205",650,597,"1,120","1,819","1,055",297
2021년08월_계_50~59세,"10,943","1,253",711,594,700,664,"1,201",772,662,"1,033","1,799","1,219",335
2021년08월_계_60~69세,"10,192","1,215",624,589,774,649,"1,114",719,548,963,"1,734",917,346
2021년08월_계_70~79세,"7,087",885,347,411,552,388,653,508,442,701,"1,184",700,316
2021년08월_계_80~89세,"3,441",430,182,187,241,172,300,248,222,324,595,418,122
2021년08월_계_90~99세,477,63,26,43,44,19,42,24,36,41,72,53,14
2021년08월_계_100세 이상,72,7,1,2,14,1,11,1,16,4,11,4,0
2021년08월_남_총인구수,"35,580","4,076","3,146","2,372","2,238","2,453","3,901","2,376","2,046","3,146","5,430","3,394","1,002"
2021년08월_남_연령구간인구수,"35,580","4,076","3,146","2,372","2,238","2,453","3,901","2,376","2,046","3,146","5,430","3,394","1,002"
2021년08월_남_0~9세,"2,476",127,207,80,59,284,427,132,130,303,443,250,34
2021년08월_남_10~19세,"2,505",238,188,112,88,105,303,137,131,265,564,296,78
2021년08월_남_20~29세,"5,451",691,801,621,370,278,417,419,289,330,644,468,123
2021년08월_남_30~39세,"5,370",617,664,425,344,483,626,324,310,430,632,413,102
2021년08월_남_40~49세,"5,252",569,458,272,257,391,626,332,302,536,873,499,137
2021년08월_남_50~59세,"5,436",681,344,322,381,322,569,395,342,492,825,587,176
2021년08월_남_60~69세,"4,707",592,259,297,390,336,534,336,252,407,734,408,162
2021년08월_남_70~79세,"2,994",376,152,168,240,191,272,218,196,268,495,279,139
2021년08월_남_80~89세,"1,256",168,65,65,95,61,117,77,84,105,202,171,46
2021년08월_남_90~99세,120,16,8,9,11,2,9,5,7,10,16,22,5
2021년08월_남_100세 이상,13,1,0,1,3,0,1,1,3,0,2,1,0
2021년08월_여_총인구수,"38,545","4,122","3,496","2,576","2,194","2,439","4,109","2,583","2,246","3,685","6,212","3,857","1,026"
2021년08월_여_연령구간인구수,"38,545","4,122","3,496","2,576","2,194","2,439","4,109","2,583","2,246","3,685","6,212","3,857","1,026"
2021년08월_여_0~9세,"2,340",166,198,71,58,296,437,116,133,229,381,226,29
2021년08월_여_10~19세,"2,415",234,200,105,95,104,240,145,135,276,493,332,56
2021년08월_여_20~29세,"5,964",723,"1,026",842,413,258,381,457,322,366,608,472,96
2021년08월_여_30~39세,"5,008",512,577,338,202,483,653,307,319,446,663,428,80
2021년08월_여_40~49세,"5,132",468,432,256,221,317,579,318,295,584,946,556,160
2021년08월_여_50~59세,"5,507",572,367,272,319,342,632,377,320,541,974,632,159
2021년08월_여_60~69세,"5,485",623,365,292,384,313,580,383,296,556,"1,000",509,184
2021년08월_여_70~79세,"4,093",509,195,243,312,197,381,290,246,433,689,421,177
2021년08월_여_80~89세,"2,185",262,117,122,146,111,183,171,138,219,393,247,76
2021년08월_여_90~99세,357,47,18,34,33,17,33,19,29,31,56,31,9
2021년08월_여_100세 이상,59,6,1,1,11,1,10,0,13,4,9,3,0
