카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년11월_계_총인구수,"31,378","10,106","1,436","1,882","2,594","8,433","1,950","1,583","3,394"
2020년11월_계_연령구간인구수,"31,378","10,106","1,436","1,882","2,594","8,433","1,950","1,583","3,394"
2020년11월_계_0~9세,"1,424",602,34,46,66,494,42,29,111
2020년11월_계_10~19세,"2,058",910,47,52,83,774,39,46,107
2020년11월_계_20~29세,"2,522",966,92,121,204,745,134,70,190
2020년11월_계_30~39세,"2,270",818,66,108,169,756,112,72,169
2020년11월_계_40~49세,"3,883","1,569",106,153,246,"1,238",148,141,282
2020년11월_계_50~59세,"5,901","1,832",260,342,562,"1,608",412,281,604
2020년11월_계_60~69세,"6,236","1,661",350,451,604,"1,510",462,363,835
2020년11월_계_70~79세,"4,107","1,082",240,347,378,835,343,312,570
2020년11월_계_80~89세,"2,660",596,216,233,251,434,224,250,456
2020년11월_계_90~99세,306,67,23,28,30,39,34,18,67
2020년11월_계_100세 이상,11,3,2,1,1,0,0,1,3
2020년11월_남_총인구수,"16,076","5,086",710,938,"1,419","4,380","1,041",813,"1,689"
2020년11월_남_연령구간인구수,"16,076","5,086",710,938,"1,419","4,380","1,041",813,"1,689"
2020년11월_남_0~9세,731,321,18,22,29,247,23,15,56
2020년11월_남_10~19세,"1,101",490,24,30,43,413,24,19,58
2020년11월_남_20~29세,"1,463",558,52,66,122,430,80,48,107
2020년11월_남_30~39세,"1,249",421,42,64,107,404,69,48,94
2020년11월_남_40~49세,"2,188",815,60,97,164,678,102,92,180
2020년11월_남_50~59세,"3,310","1,012",137,185,328,886,257,166,339
2020년11월_남_60~69세,"3,270",811,199,238,344,785,258,185,450
2020년11월_남_70~79세,"1,811",448,95,154,181,376,157,152,248
2020년11월_남_80~89세,876,198,75,74,93,151,62,83,140
2020년11월_남_90~99세,72,11,7,7,8,10,9,4,16
2020년11월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년11월_여_총인구수,"15,302","5,020",726,944,"1,175","4,053",909,770,"1,705"
2020년11월_여_연령구간인구수,"15,302","5,020",726,944,"1,175","4,053",909,770,"1,705"
2020년11월_여_0~9세,693,281,16,24,37,247,19,14,55
2020년11월_여_10~19세,957,420,23,22,40,361,15,27,49
2020년11월_여_20~29세,"1,059",408,40,55,82,315,54,22,83
2020년11월_여_30~39세,"1,021",397,24,44,62,352,43,24,75
2020년11월_여_40~49세,"1,695",754,46,56,82,560,46,49,102
2020년11월_여_50~59세,"2,591",820,123,157,234,722,155,115,265
2020년11월_여_60~69세,"2,966",850,151,213,260,725,204,178,385
2020년11월_여_70~79세,"2,296",634,145,193,197,459,186,160,322
2020년11월_여_80~89세,"1,784",398,141,159,158,283,162,167,316
2020년11월_여_90~99세,234,56,16,21,22,29,25,14,51
2020년11월_여_100세 이상,6,2,1,0,1,0,0,0,2
