카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년01월_계_총인구수,"419,761","15,379","37,229","1,918","1,771","2,314","4,256","25,573","3,285","16,398","3,940","3,414","30,753","2,326","47,852","15,357","17,901","3,402","3,353","6,345","6,730","4,524","4,552","29,355","19,898","49,443","16,320","46,173"
2020년01월_계_연령구간인구수,"419,761","15,379","37,229","1,918","1,771","2,314","4,256","25,573","3,285","16,398","3,940","3,414","30,753","2,326","47,852","15,357","17,901","3,402","3,353","6,345","6,730","4,524","4,552","29,355","19,898","49,443","16,320","46,173"
2020년01월_계_0~9세,"43,360",974,"3,421",43,20,43,72,"5,397",82,922,77,101,"2,553",84,"5,166","1,177","1,003",162,287,702,921,683,342,"2,829","2,425","5,424","1,067","7,383"
2020년01월_계_10~19세,"46,705","1,219","4,119",70,77,173,171,"1,973",228,"1,352",125,172,"3,806",136,"6,510","1,847","2,201",206,248,507,662,197,371,"3,813","2,722","6,183","1,198","6,419"
2020년01월_계_20~29세,"58,378","1,655","5,000",116,108,158,328,"2,844",288,"2,648",556,331,"4,253",263,"6,099","2,151","2,917",631,469,"1,038",945,725,734,"4,354","2,620","7,184","4,333","5,630"
2020년01월_계_30~39세,"68,136","1,429","4,639",102,78,105,243,"7,940",197,"2,287",568,310,"3,762",191,"6,474","1,803","1,857",525,581,"1,365","1,404","1,211",746,"4,110","3,300","9,366","4,182","9,361"
2020년01월_계_40~49세,"73,650","2,059","5,985",146,152,216,480,"3,802",421,"2,456",727,392,"5,263",298,"9,222","2,665","3,054",468,459,"1,001","1,148",660,768,"5,955","4,042","9,486","2,627","9,698"
2020년01월_계_50~59세,"68,997","3,063","7,670",392,346,419,853,"1,967",671,"3,242",860,732,"6,144",503,"8,295","3,090","4,008",647,663,"1,101","1,057",646,839,"5,362","3,143","6,778","1,695","4,811"
2020년01월_계_60~69세,"36,083","2,498","3,691",450,409,489,882,942,605,"2,337",620,754,"3,287",493,"4,051","1,704","2,002",445,362,414,434,314,442,"1,830","1,062","3,096",790,"1,680"
2020년01월_계_70~79세,"15,550","1,429","1,614",307,298,405,683,396,459,840,283,437,"1,114",231,"1,386",628,609,234,180,153,114,67,227,740,385,"1,279",273,779
2020년01월_계_80~89세,"7,746",907,935,248,244,270,474,274,303,278,96,166,506,115,568,259,223,74,90,58,41,15,71,305,174,568,126,358
2020년01월_계_90~99세,"1,109",142,146,43,38,34,67,38,30,32,25,18,65,11,78,33,25,10,11,6,4,5,12,55,25,77,27,52
2020년01월_계_100세 이상,47,4,9,1,1,2,3,0,1,4,3,1,0,1,3,0,2,0,3,0,0,1,0,2,0,2,2,2
2020년01월_남_총인구수,"215,196","7,641","18,944",954,905,"1,181","2,215","13,419","1,691","8,109","2,172","1,762","15,073","1,216","24,193","7,592","9,010","1,892","1,817","3,418","3,470","2,487","2,426","15,260","10,391","25,372","8,680","23,906"
2020년01월_남_연령구간인구수,"215,196","7,641","18,944",954,905,"1,181","2,215","13,419","1,691","8,109","2,172","1,762","15,073","1,216","24,193","7,592","9,010","1,892","1,817","3,418","3,470","2,487","2,426","15,260","10,391","25,372","8,680","23,906"
2020년01월_남_0~9세,"22,410",491,"1,783",21,10,20,41,"2,751",54,470,39,53,"1,337",45,"2,651",612,538,78,161,380,468,357,166,"1,432","1,248","2,909",543,"3,752"
2020년01월_남_10~19세,"24,404",619,"2,191",38,37,112,89,"1,046",131,678,59,95,"1,933",69,"3,396",987,"1,196",106,134,257,323,96,190,"2,009","1,466","3,227",616,"3,304"
2020년01월_남_20~29세,"31,991",977,"2,873",69,73,92,195,"1,332",154,"1,454",316,207,"2,327",156,"3,400","1,205","1,636",388,261,551,522,425,436,"2,487","1,462","3,759","2,116","3,118"
2020년01월_남_30~39세,"36,207",756,"2,378",63,49,66,160,"4,348",110,"1,275",304,203,"1,888",120,"3,155",906,997,344,347,807,777,707,434,"2,153","1,725","4,909","2,477","4,749"
2020년01월_남_40~49세,"37,108","1,059","2,819",88,101,130,315,"2,103",240,"1,145",427,220,"2,393",164,"4,502","1,199","1,337",271,265,515,580,387,412,"2,928","1,976","4,907","1,484","5,141"
2020년01월_남_50~59세,"35,354","1,524","3,915",223,196,249,507,"1,079",372,"1,506",518,377,"2,930",263,"4,180","1,461","1,916",355,344,588,530,333,426,"2,889","1,734","3,440",893,"2,606"
2020년01월_남_60~69세,"18,390","1,293","1,992",229,214,237,450,499,314,"1,107",337,373,"1,635",251,"2,089",848,"1,058",220,197,223,215,147,216,948,567,"1,538",388,805
2020년01월_남_70~79세,"6,758",636,678,137,140,184,274,169,210,383,138,181,458,105,635,292,265,98,74,79,46,30,114,319,156,523,121,313
2020년01월_남_80~89세,"2,361",262,288,73,73,84,170,80,100,88,32,49,160,43,175,80,64,31,31,17,8,5,28,82,53,146,35,104
2020년01월_남_90~99세,207,24,26,13,12,6,13,12,6,2,2,4,12,0,10,2,3,1,3,1,1,0,4,12,4,14,7,13
2020년01월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년01월_여_총인구수,"204,565","7,738","18,285",964,866,"1,133","2,041","12,154","1,594","8,289","1,768","1,652","15,680","1,110","23,659","7,765","8,891","1,510","1,536","2,927","3,260","2,037","2,126","14,095","9,507","24,071","7,640","22,267"
2020년01월_여_연령구간인구수,"204,565","7,738","18,285",964,866,"1,133","2,041","12,154","1,594","8,289","1,768","1,652","15,680","1,110","23,659","7,765","8,891","1,510","1,536","2,927","3,260","2,037","2,126","14,095","9,507","24,071","7,640","22,267"
2020년01월_여_0~9세,"20,950",483,"1,638",22,10,23,31,"2,646",28,452,38,48,"1,216",39,"2,515",565,465,84,126,322,453,326,176,"1,397","1,177","2,515",524,"3,631"
2020년01월_여_10~19세,"22,301",600,"1,928",32,40,61,82,927,97,674,66,77,"1,873",67,"3,114",860,"1,005",100,114,250,339,101,181,"1,804","1,256","2,956",582,"3,115"
2020년01월_여_20~29세,"26,387",678,"2,127",47,35,66,133,"1,512",134,"1,194",240,124,"1,926",107,"2,699",946,"1,281",243,208,487,423,300,298,"1,867","1,158","3,425","2,217","2,512"
2020년01월_여_30~39세,"31,929",673,"2,261",39,29,39,83,"3,592",87,"1,012",264,107,"1,874",71,"3,319",897,860,181,234,558,627,504,312,"1,957","1,575","4,457","1,705","4,612"
