,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년02월_계_총인구수,"1,035,574","261,339","19,921","43,411","7,205","50,855","37,736","42,094","30,235","29,882","213,520","41,739","22,889","28,044","45,426","41,024","26,501","7,897","177,905","4,275","12,248","3,526","3,983","14,128",986,"38,039","11,204","14,740","9,207","10,744","15,874","19,562","6,864","12,525","190,068","64,276","10,408","10,117","17,056","6,238","11,196","31,608","9,434","7,715","9,049","9,620","3,351","192,742","17,187","8,665","4,981","11,301","7,509","17,388","8,578","21,427","10,235","25,906","12,827","6,411","40,327"
2021년02월_계_연령구간인구수,"1,035,574","261,339","19,921","43,411","7,205","50,855","37,736","42,094","30,235","29,882","213,520","41,739","22,889","28,044","45,426","41,024","26,501","7,897","177,905","4,275","12,248","3,526","3,983","14,128",986,"38,039","11,204","14,740","9,207","10,744","15,874","19,562","6,864","12,525","190,068","64,276","10,408","10,117","17,056","6,238","11,196","31,608","9,434","7,715","9,049","9,620","3,351","192,742","17,187","8,665","4,981","11,301","7,509","17,388","8,578","21,427","10,235","25,906","12,827","6,411","40,327"
2021년02월_계_0~9세,"82,618","21,163","1,136","6,476",247,"4,334","3,057","2,342","1,452","2,119","16,237","3,238","1,180","2,068","3,440","3,646","2,184",481,"13,029",119,"1,096",69,57,"2,156",49,"3,923",502,875,423,471,"1,213","1,039",318,719,"13,107","5,034",386,649,"1,113",152,571,"3,172",662,278,424,515,151,"19,082","1,506",345,173,"1,041",540,"1,486",366,"2,399","1,065","3,433","1,825",510,"4,393"
2021년02월_계_10~19세,"99,084","23,448","1,870","3,745",391,"4,659","3,857","3,974","2,239","2,713","22,793","5,279","1,438","3,392","4,802","4,045","3,087",750,"13,913",157,"1,023",148,141,"1,205",38,"3,714",711,"1,368",724,878,"1,289","1,152",412,953,"18,004","7,995",608,796,"1,240",333,839,"3,440",603,476,653,801,220,"20,926","1,839",658,280,"1,008",752,"2,405",541,"2,227","1,209","3,229",956,688,"5,134"
2021년02월_계_20~29세,"129,021","35,445","2,273","3,890",650,"6,998","5,631","6,522","4,834","4,647","32,034","5,621","4,497","4,152","6,531","6,123","4,104","1,006","19,036",300,"1,072",272,228,"1,188",135,"4,673","1,693","1,585","1,122","1,179","1,570","1,995",617,"1,407","22,027","8,169",943,"1,142","1,825",588,"1,337","3,352","1,135",946,963,"1,296",331,"20,479","2,128",825,493,"1,132",773,"2,196","1,043","2,298","1,171","2,301","1,261",609,"4,249"
2021년02월_계_30~39세,"133,049","35,016","1,779","8,006",657,"7,114","5,387","4,289","3,758","4,026","29,133","4,524","4,272","3,460","6,328","6,224","3,359",966,"20,855",283,"1,449",206,182,"2,441",103,"5,348","1,108","1,500",836,963,"1,927","2,271",740,"1,498","21,426","6,549",924,"1,332","2,318",543,"1,288","4,046","1,267",798,880,"1,092",389,"26,619","2,193",696,378,"1,538",806,"2,130","1,006","3,236","1,321","3,905","2,478",712,"6,220"
2021년02월_계_40~49세,"167,502","40,801","3,153","7,275",792,"7,984","6,264","6,464","4,218","4,651","35,417","7,417","3,631","4,702","7,665","6,489","4,278","1,235","26,101",391,"1,945",320,307,"2,470",118,"6,019","1,375","2,238","1,220","1,451","2,408","2,992",988,"1,859","29,948","11,410","1,387","1,368","2,360",709,"1,573","5,605","1,335","1,091","1,187","1,390",533,"35,235","2,936","1,186",611,"1,755","1,271","3,381","1,272","3,771","1,740","5,029","2,083","1,086","9,114"
2021년02월_계_50~59세,"186,064","50,312","3,896","6,158","1,330","9,710","7,643","9,227","6,175","6,173","43,218","8,359","4,115","6,005","9,092","8,318","5,892","1,437","29,589",781,"2,031",718,730,"1,912",157,"6,165","1,897","2,482","1,726","1,960","2,497","3,251","1,162","2,120","34,350","12,433","1,764","1,623","2,923","1,171","1,942","5,288","1,657","1,399","1,783","1,722",645,"28,595","2,225","1,402",873,"1,815","1,167","2,763","1,531","3,420","1,407","3,475","1,758","1,074","5,685"
2021년02월_계_60~69세,"143,802","35,100","3,191","4,926","1,636","6,561","4,107","6,081","4,940","3,658","24,266","4,970","2,596","3,089","5,274","4,404","2,709","1,224","30,370","1,149","2,029",885,982,"1,698",216,"5,005","2,075","2,415","1,751","2,144","2,716","3,671","1,396","2,238","30,180","7,705","2,307","1,816","2,989","1,472","2,190","4,258","1,595","1,593","1,915","1,703",637,"23,886","2,129","1,582","1,030","1,729","1,192","1,942","1,669","2,580","1,311","2,896","1,424",971,"3,431"
2021년02월_계_70~79세,"63,943","13,453","1,663","1,853",919,"2,434","1,232","2,257","1,803","1,292","6,986","1,640",797,752,"1,519","1,165",581,532,"16,697",693,"1,050",532,748,740,116,"2,284","1,222","1,504",905,"1,174","1,558","2,136",793,"1,242","14,955","3,418","1,440",984,"1,689",847,"1,066","1,757",858,863,902,817,314,"11,852","1,431","1,237",728,869,655,742,791,"1,000",679,"1,094",650,471,"1,505"
