,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년03월_계_총인구수,"31,245","10,108","2,188","2,279","3,583","1,559","1,955","2,389","2,782","2,225","2,177"
2020년03월_계_연령구간인구수,"31,245","10,108","2,188","2,279","3,583","1,559","1,955","2,389","2,782","2,225","2,177"
2020년03월_계_0~9세,"1,343",690,54,82,155,30,50,81,85,64,52
2020년03월_계_10~19세,"2,098",987,95,94,275,85,116,126,104,112,104
2020년03월_계_20~29세,"2,767","1,312",167,157,332,107,118,131,186,121,136
2020년03월_계_30~39세,"2,164",934,110,117,281,81,104,127,148,124,138
2020년03월_계_40~49세,"3,280","1,300",191,222,421,140,190,224,233,178,181
2020년03월_계_50~59세,"5,406","1,689",381,437,615,308,321,378,498,382,397
2020년03월_계_60~69세,"5,937","1,508",443,502,636,325,425,528,573,504,493
2020년03월_계_70~79세,"4,534",954,393,350,499,248,351,462,511,397,369
2020년03월_계_80~89세,"3,272",630,321,286,326,208,239,292,396,305,269
2020년03월_계_90~99세,426,97,33,32,41,27,39,37,48,37,35
2020년03월_계_100세 이상,18,7,0,0,2,0,2,3,0,1,3
2020년03월_남_총인구수,"15,804","5,071","1,091","1,192","1,855",804,"1,000","1,199","1,389","1,123","1,080"
2020년03월_남_연령구간인구수,"15,804","5,071","1,091","1,192","1,855",804,"1,000","1,199","1,389","1,123","1,080"
2020년03월_남_0~9세,692,359,29,40,84,20,18,41,41,35,25
2020년03월_남_10~19세,"1,101",500,57,57,146,46,61,64,58,51,61
2020년03월_남_20~29세,"1,589",740,91,89,212,61,74,62,107,76,77
2020년03월_남_30~39세,"1,238",484,69,73,162,47,66,83,92,75,87
2020년03월_남_40~49세,"1,915",691,107,140,235,89,123,151,149,117,113
2020년03월_남_50~59세,"2,936",884,203,254,339,169,184,208,277,203,215
2020년03월_남_60~69세,"3,036",734,245,271,327,179,221,265,294,247,253
2020년03월_남_70~79세,"2,011",431,175,154,215,113,160,198,225,187,153
2020년03월_남_80~89세,"1,174",224,107,104,116,75,82,119,138,120,89
2020년03월_남_90~99세,109,21,8,10,19,5,11,8,8,12,7
2020년03월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"15,441","5,037","1,097","1,087","1,728",755,955,"1,190","1,393","1,102","1,097"
2020년03월_여_연령구간인구수,"15,441","5,037","1,097","1,087","1,728",755,955,"1,190","1,393","1,102","1,097"
2020년03월_여_0~9세,651,331,25,42,71,10,32,40,44,29,27
2020년03월_여_10~19세,997,487,38,37,129,39,55,62,46,61,43
2020년03월_여_20~29세,"1,178",572,76,68,120,46,44,69,79,45,59
2020년03월_여_30~39세,926,450,41,44,119,34,38,44,56,49,51
2020년03월_여_40~49세,"1,365",609,84,82,186,51,67,73,84,61,68
2020년03월_여_50~59세,"2,470",805,178,183,276,139,137,170,221,179,182
2020년03월_여_60~69세,"2,901",774,198,231,309,146,204,263,279,257,240
2020년03월_여_70~79세,"2,523",523,218,196,284,135,191,264,286,210,216
2020년03월_여_80~89세,"2,098",406,214,182,210,133,157,173,258,185,180
2020년03월_여_90~99세,317,76,25,22,22,22,28,29,40,25,28
2020년03월_여_100세 이상,15,4,0,0,2,0,2,3,0,1,3
