카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년09월_계_총인구수,"477,819","48,447","13,553","10,467","29,909","9,768","13,472","11,330","3,877","7,487",716,"22,234","32,927","27,669","46,750","50,306","63,006","85,901"
2021년09월_계_연령구간인구수,"477,819","48,447","13,553","10,467","29,909","9,768","13,472","11,330","3,877","7,487",716,"22,234","32,927","27,669","46,750","50,306","63,006","85,901"
2021년09월_계_0~9세,"43,452","4,717",602,313,"1,651",171,629,444,82,557,22,"1,071","3,116","2,176","4,408","5,090","8,705","9,698"
2021년09월_계_10~19세,"49,883","4,832",827,682,"2,716",274,965,619,183,506,44,"1,451","4,179","2,727","5,723","6,249","7,758","10,148"
2021년09월_계_20~29세,"58,974","5,643","1,578","1,275","3,636","2,560","1,511","1,240",435,977,56,"3,446","4,168","3,873","5,619","6,263","6,411","10,283"
2021년09월_계_30~39세,"67,906","7,496","1,387",873,"2,937","2,184","1,474",995,227,880,56,"2,865","4,289","3,554","6,566","7,407","11,218","13,498"
2021년09월_계_40~49세,"82,030","7,541","1,731","1,113","4,400","1,017","2,075","1,279",345,792,82,"3,178","5,937","4,327","8,801","9,588","12,620","17,204"
2021년09월_계_50~59세,"75,750","7,037","2,590","2,057","5,867","1,357","2,635","2,297",734,"1,130",141,"4,172","5,327","4,873","7,490","7,650","7,915","12,478"
2021년09월_계_60~69세,"53,733","5,658","2,466","2,120","4,798","1,219","2,202","2,348",853,"1,300",132,"3,318","3,107","3,383","4,520","4,639","4,555","7,115"
2021년09월_계_70~79세,"28,736","3,412","1,372","1,238","2,436",591,"1,145","1,244",573,869,114,"1,725","1,771","1,728","2,251","2,213","2,510","3,544"
2021년09월_계_80~89세,"15,101","1,869",862,691,"1,292",340,716,713,367,400,62,877,905,904,"1,181","1,047","1,154","1,721"
2021년09월_계_90~99세,"2,177",234,130,104,165,54,112,146,74,71,7,128,126,123,187,154,156,206
2021년09월_계_100세 이상,77,8,8,1,11,1,8,5,4,5,0,3,2,1,4,6,4,6
2021년09월_남_총인구수,"242,418","24,807","7,222","5,586","15,180","6,507","7,316","6,192","2,045","4,075",369,"11,851","16,063","14,198","23,641","24,679","30,724","41,963"
2021년09월_남_연령구간인구수,"242,418","24,807","7,222","5,586","15,180","6,507","7,316","6,192","2,045","4,075",369,"11,851","16,063","14,198","23,641","24,679","30,724","41,963"
2021년09월_남_0~9세,"22,176","2,378",322,163,838,81,330,229,47,280,10,557,"1,586","1,084","2,245","2,607","4,444","4,975"
2021년09월_남_10~19세,"25,581","2,491",416,363,"1,361",152,500,342,99,295,18,762,"2,151","1,450","2,994","3,100","3,901","5,186"
