카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년08월_계_총인구수,"263,333","15,833","32,617","12,414","16,944","15,467","44,413","16,883","12,309","8,582","8,272","13,180","6,810","12,954","13,740","8,597","15,773","8,545"
2021년08월_계_연령구간인구수,"263,333","15,833","32,617","12,414","16,944","15,467","44,413","16,883","12,309","8,582","8,272","13,180","6,810","12,954","13,740","8,597","15,773","8,545"
2021년08월_계_0~9세,"17,043",489,"2,654","1,016","1,050","1,723","3,288","1,344",475,501,509,615,261,596,720,353,"1,132",317
2021년08월_계_10~19세,"22,623",923,"3,166",877,"1,400","1,573","5,019","1,772",870,639,765,929,473,875,"1,172",374,"1,277",519
2021년08월_계_20~29세,"34,447","3,620","6,353","1,191","2,744","1,684","4,845","1,593","1,383",892,"1,031","1,405",646,"1,239","1,657","1,261","1,891","1,012"
2021년08월_계_30~39세,"28,694","1,805","4,023","1,677","1,950","2,075","3,971","1,748","1,096","1,000",794,"1,315",610,"1,202","1,256","1,319","2,054",799
2021년08월_계_40~49세,"40,883","2,038","5,639","1,872","2,579","2,784","7,564","2,793","1,608","1,318","1,244","1,873","1,000","1,789","2,103","1,158","2,421","1,100"
2021년08월_계_50~59세,"42,190","2,206","4,573","1,825","2,501","2,251","7,939","2,663","2,098","1,335","1,492","2,218","1,118","2,092","2,460","1,266","2,626","1,527"
2021년08월_계_60~69세,"41,335","2,336","3,493","2,014","2,437","1,870","6,514","2,790","2,558","1,621","1,365","2,598","1,350","2,704","2,318","1,389","2,347","1,631"
2021년08월_계_70~79세,"24,997","1,672","1,867","1,348","1,583","1,057","3,604","1,559","1,589",907,759,"1,549",938,"1,721","1,425",940,"1,393","1,086"
2021년08월_계_80~89세,"9,910",672,741,540,638,396,"1,458",541,567,322,273,612,378,644,569,479,578,502
2021년08월_계_90~99세,"1,145",62,104,52,61,53,210,74,62,39,38,51,34,89,60,55,54,47
2021년08월_계_100세 이상,66,10,4,2,1,1,1,6,3,8,2,15,2,3,0,3,0,5
2021년08월_남_총인구수,"128,710","7,961","15,907","6,063","8,162","7,444","21,371","8,270","5,948","4,137","4,199","6,718","3,357","6,414","6,682","4,243","7,658","4,176"
2021년08월_남_연령구간인구수,"128,710","7,961","15,907","6,063","8,162","7,444","21,371","8,270","5,948","4,137","4,199","6,718","3,357","6,414","6,682","4,243","7,658","4,176"
2021년08월_남_0~9세,"8,671",234,"1,355",521,553,839,"1,645",676,232,276,269,321,133,333,380,187,558,159
2021년08월_남_10~19세,"11,651",466,"1,638",466,716,820,"2,557",919,442,311,396,498,262,446,593,200,641,280
2021년08월_남_20~29세,"18,197","1,971","3,231",627,"1,323",857,"2,614",881,756,459,594,816,365,697,886,560,"1,004",556
2021년08월_남_30~39세,"14,720","1,048","1,984",843,979,996,"1,871",871,603,531,429,723,334,637,640,725,"1,062",444
2021년08월_남_40~49세,"20,521","1,081","2,767","1,001","1,278","1,344","3,522","1,383",829,675,625,"1,027",534,968,"1,054",642,"1,207",584
2021년08월_남_50~59세,"20,655","1,107","2,182",874,"1,225","1,081","3,832","1,293","1,003",630,759,"1,137",583,"1,059","1,205",668,"1,272",745
2021년08월_남_60~69세,"19,036","1,003","1,590",921,"1,107",837,"3,093","1,287","1,141",708,679,"1,251",585,"1,230","1,100",684,"1,066",754
2021년08월_남_70~79세,"11,185",731,851,588,697,498,"1,614",758,729,409,330,700,407,792,613,406,619,443
2021년08월_남_80~89세,"3,819",303,289,210,268,159,565,193,202,120,113,232,148,239,201,160,218,199
2021년08월_남_90~99세,241,15,19,12,15,13,58,8,11,15,4,10,6,12,10,11,11,11
2021년08월_남_100세 이상,14,2,1,0,1,0,0,1,0,3,1,3,0,1,0,0,0,1
2021년08월_여_총인구수,"134,623","7,872","16,710","6,351","8,782","8,023","23,042","8,613","6,361","4,445","4,073","6,462","3,453","6,540","7,058","4,354","8,115","4,369"
2021년08월_여_연령구간인구수,"134,623","7,872","16,710","6,351","8,782","8,023","23,042","8,613","6,361","4,445","4,073","6,462","3,453","6,540","7,058","4,354","8,115","4,369"
2021년08월_여_0~9세,"8,372",255,"1,299",495,497,884,"1,643",668,243,225,240,294,128,263,340,166,574,158
2021년08월_여_10~19세,"10,972",457,"1,528",411,684,753,"2,462",853,428,328,369,431,211,429,579,174,636,239
2021년08월_여_20~29세,"16,250","1,649","3,122",564,"1,421",827,"2,231",712,627,433,437,589,281,542,771,701,887,456
2021년08월_여_30~39세,"13,974",757,"2,039",834,971,"1,079","2,100",877,493,469,365,592,276,565,616,594,992,355
2021년08월_여_40~49세,"20,362",957,"2,872",871,"1,301","1,440","4,042","1,410",779,643,619,846,466,821,"1,049",516,"1,214",516
2021년08월_여_50~59세,"21,535","1,099","2,391",951,"1,276","1,170","4,107","1,370","1,095",705,733,"1,081",535,"1,033","1,255",598,"1,354",782
