,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년03월_계_총인구수,"92,135","14,115","26,239","7,157","4,493","14,576","6,255","5,845","4,738","1,919","1,976","2,767","1,072",983
2020년03월_계_연령구간인구수,"92,135","14,115","26,239","7,157","4,493","14,576","6,255","5,845","4,738","1,919","1,976","2,767","1,072",983
2020년03월_계_0~9세,"7,441",735,"3,192",413,331,"1,791",261,214,235,68,54,80,42,25
2020년03월_계_10~19세,"8,429","1,250","3,368",542,399,"1,357",342,394,294,118,68,214,42,41
2020년03월_계_20~29세,"8,988","1,619","2,623",720,404,"1,456",581,571,413,129,113,224,85,50
2020년03월_계_30~39세,"9,967","1,219","3,671",617,399,"2,401",471,387,362,112,85,138,50,55
2020년03월_계_40~49세,"13,658","2,083","4,686",984,671,"2,504",636,613,565,212,205,320,97,82
2020년03월_계_50~59세,"15,472","2,452","3,636","1,319",801,"2,197","1,276","1,251",876,333,400,483,264,184
2020년03월_계_60~69세,"13,239","2,229","2,453","1,205",709,"1,474","1,309","1,176",848,376,443,544,244,229
2020년03월_계_70~79세,"8,972","1,479","1,607",833,504,899,823,737,660,315,368,420,145,182
2020년03월_계_80~89세,"5,186",919,863,454,226,446,494,431,425,206,213,292,92,125
2020년03월_계_90~99세,745,123,135,63,45,49,58,66,60,48,27,51,11,9
2020년03월_계_100세 이상,38,7,5,7,4,2,4,5,0,2,0,1,0,1
2020년03월_남_총인구수,"47,328","7,273","13,619","3,719","2,293","7,333","3,241","2,948","2,431",975,983,"1,467",554,492
2020년03월_남_연령구간인구수,"47,328","7,273","13,619","3,719","2,293","7,333","3,241","2,948","2,431",975,983,"1,467",554,492
2020년03월_남_0~9세,"3,763",358,"1,643",204,174,908,127,93,119,38,25,41,23,10
2020년03월_남_10~19세,"4,431",643,"1,772",300,204,674,198,204,177,59,42,115,21,22
2020년03월_남_20~29세,"4,989",923,"1,488",423,233,726,319,294,243,74,60,129,45,32
2020년03월_남_30~39세,"5,120",687,"1,812",327,203,"1,173",265,197,202,57,58,82,27,30
2020년03월_남_40~49세,"7,610","1,150","2,591",559,353,"1,366",370,341,329,121,124,194,59,53
2020년03월_남_50~59세,"8,603","1,403","2,044",758,443,"1,147",689,678,490,194,211,303,140,103
2020년03월_남_60~69세,"6,823","1,121","1,232",599,353,764,694,641,433,199,231,297,143,116
2020년03월_남_70~79세,"4,094",651,731,374,248,413,398,346,289,153,158,190,65,78
2020년03월_남_80~89세,"1,731",309,276,153,76,148,170,140,139,69,69,107,29,46
2020년03월_남_90~99세,157,27,29,21,6,14,9,14,10,9,5,9,2,2
2020년03월_남_100세 이상,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020년03월_여_총인구수,"44,807","6,842","12,620","3,438","2,200","7,243","3,014","2,897","2,307",944,993,"1,300",518,491
2020년03월_여_연령구간인구수,"44,807","6,842","12,620","3,438","2,200","7,243","3,014","2,897","2,307",944,993,"1,300",518,491
2020년03월_여_0~9세,"3,678",377,"1,549",209,157,883,134,121,116,30,29,39,19,15
2020년03월_여_10~19세,"3,998",607,"1,596",242,195,683,144,190,117,59,26,99,21,19
2020년03월_여_20~29세,"3,999",696,"1,135",297,171,730,262,277,170,55,53,95,40,18
2020년03월_여_30~39세,"4,847",532,"1,859",290,196,"1,228",206,190,160,55,27,56,23,25
2020년03월_여_40~49세,"6,048",933,"2,095",425,318,"1,138",266,272,236,91,81,126,38,29
2020년03월_여_50~59세,"6,869","1,049","1,592",561,358,"1,050",587,573,386,139,189,180,124,81
2020년03월_여_60~69세,"6,416","1,108","1,221",606,356,710,615,535,415,177,212,247,101,113
2020년03월_여_70~79세,"4,878",828,876,459,256,486,425,391,371,162,210,230,80,104
2020년03월_여_80~89세,"3,455",610,587,301,150,298,324,291,286,137,144,185,63,79
2020년03월_여_90~99세,588,96,106,42,39,35,49,52,50,39,22,42,9,7
2020년03월_여_100세 이상,31,6,4,6,4,2,2,5,0,0,0,1,0,1
