카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년04월_남_30~39세,"39,589","2,774","2,231",598,"3,928",621,"4,467","1,617","1,250","2,918","2,286","2,494","1,989","1,286","7,823",130,"1,340",796,"1,041"
2020년04월_남_40~49세,"46,706","2,690","2,999",737,"4,188","1,101","4,047","2,220","1,706","2,890","2,898","3,417","2,793","1,875","7,399",133,"2,259","1,765","1,589"
2020년04월_남_50~59세,"44,702","3,660","4,307","1,245","4,155","1,386","2,931","2,192","1,386","2,385","2,636","3,200","2,595","2,198","4,171",302,"2,546","1,754","1,653"
2020년04월_남_60~69세,"22,377","2,267","2,485",828,"2,147",818,"2,120","1,326",809,981,"1,126","1,222","1,176",755,"1,723",314,"1,015",478,787
2020년04월_남_70~79세,"8,273",794,908,346,749,376,844,568,384,333,327,430,390,281,423,128,441,195,356
2020년04월_남_80~89세,"2,721",279,240,126,221,133,226,201,117,89,103,170,133,131,112,33,199,87,121
2020년04월_남_90~99세,249,22,32,15,20,14,17,15,9,7,6,12,8,14,10,4,17,13,14
2020년04월_남_100세 이상,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1
2020년04월_여_총인구수,"228,152","17,864","18,153","4,873","24,331","5,949","21,307","10,816","7,428","7,665","9,355","14,915","10,123","10,897","34,174",775,"11,976","8,692","8,859"
2020년04월_여_연령구간인구수,"228,152","17,864","18,153","4,873","24,331","5,949","21,307","10,816","7,428","7,665","9,355","14,915","10,123","10,897","34,174",775,"11,976","8,692","8,859"
2020년04월_여_0~9세,"22,849","1,334",894,258,"2,817",389,"3,204",843,728,614,733,"1,307",890,853,"5,608",20,927,762,668
2020년04월_여_10~19세,"24,036","1,515","1,740",390,"2,585",607,"1,650","1,115",704,552,972,"1,835","1,044","1,380","3,791",28,"1,529","1,411","1,188"
2020년04월_여_20~29세,"30,573","2,726","2,774",648,"3,111",751,"2,111","1,332",796,"1,112","1,268","2,218","1,338","1,768","4,300",63,"1,755","1,250","1,252"
2020년04월_여_30~39세,"34,237","2,468","1,816",468,"4,085",559,"4,532","1,286","1,115","1,398","1,351","1,855","1,357","1,241","7,470",66,"1,285",927,958
2020년04월_여_40~49세,"40,518","2,609","2,809",693,"4,094",995,"3,341","1,786","1,397","1,392","1,799","2,916","1,880","2,129","6,529",57,"2,380","1,975","1,737"
2020년04월_여_50~59세,"39,304","3,550","4,052","1,069","4,095","1,128","2,909","1,976","1,186","1,408","1,736","2,774","1,923","2,107","4,078",174,"2,203","1,420","1,516"
2020년04월_여_60~69세,"19,802","1,965","2,189",695,"2,006",711,"2,053","1,312",835,676,837,"1,059",905,679,"1,585",210,894,447,744
2020년04월_여_70~79세,"10,136",975,"1,146",384,884,478,913,707,418,321,425,568,467,442,538,96,611,303,460
2020년04월_여_80~89세,"5,666",603,627,237,555,293,490,386,208,162,198,342,255,265,233,47,327,163,275
2020년04월_여_90~99세,964,111,88,28,94,35,94,65,40,28,36,39,64,31,41,14,62,33,61
2020년04월_여_100세 이상,67,8,18,3,5,3,10,8,1,2,0,2,0,2,1,0,3,1,0
