카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년11월_계_총인구수,"2,942,307","139,646","62,747","402,392","385,973","526,337","495,882","297,148","542,611","69,074","20,497"
2020년11월_계_연령구간인구수,"2,942,307","139,646","62,747","402,392","385,973","526,337","495,882","297,148","542,611","69,074","20,497"
2020년11월_계_0~9세,"229,469","11,959","3,812","26,988","38,238","42,186","33,169","18,632","50,207","3,330",948
2020년11월_계_10~19세,"274,765","12,615","5,094","31,602","42,675","50,098","43,434","26,824","56,677","4,630","1,116"
2020년11월_계_20~29세,"401,509","19,184","6,645","56,973","52,260","71,019","70,296","44,314","72,752","5,347","2,719"
2020년11월_계_30~39세,"406,373","21,319","6,927","55,191","57,631","72,769","67,598","37,900","79,806","5,336","1,896"
2020년11월_계_40~49세,"484,427","24,541","10,086","63,130","68,263","89,021","77,690","46,003","95,517","7,740","2,436"
2020년11월_계_50~59세,"512,755","20,399","10,165","67,085","64,387","90,497","90,409","60,801","93,427","11,963","3,622"
2020년11월_계_60~69세,"365,387","15,896","9,987","55,274","38,363","65,363","65,682","38,725","57,935","14,175","3,987"
2020년11월_계_70~79세,"177,282","9,314","6,698","31,208","15,559","30,783","31,432","15,513","24,287","10,102","2,386"
2020년11월_계_80~89세,"77,078","3,732","2,821","12,768","7,241","12,437","13,860","7,252","10,227","5,607","1,133"
2020년11월_계_90~99세,"12,301",608,439,"1,993","1,293","2,027","2,110","1,113","1,669",809,240
2020년11월_계_100세 이상,961,79,73,180,63,137,202,71,107,35,14
2020년11월_남_총인구수,"1,473,795","72,385","31,690","202,669","191,853","261,423","245,186","148,225","274,090","34,607","11,667"
2020년11월_남_연령구간인구수,"1,473,795","72,385","31,690","202,669","191,853","261,423","245,186","148,225","274,090","34,607","11,667"
2020년11월_남_0~9세,"117,812","6,161","2,023","13,807","19,460","21,703","16,978","9,459","25,979","1,752",490
2020년11월_남_10~19세,"141,315","6,543","2,631","16,253","21,930","25,613","22,510","13,803","29,046","2,382",604
2020년11월_남_20~29세,"209,376","9,726","3,619","30,116","27,036","36,641","36,209","23,235","37,748","3,058","1,988"
2020년11월_남_30~39세,"210,123","11,554","3,671","29,681","28,434","37,448","34,874","19,734","40,750","2,805","1,172"
2020년11월_남_40~49세,"247,531","13,405","5,446","33,410","33,660","45,244","39,068","22,860","48,702","4,203","1,533"
2020년11월_남_50~59세,"256,431","11,210","5,414","33,688","31,817","44,634","44,304","29,664","47,458","6,163","2,079"
2020년11월_남_60~69세,"181,049","7,944","4,802","26,488","19,707","31,557","31,947","19,901","29,486","7,067","2,150"
2020년11월_남_70~79세,"80,775","4,332","2,965","14,113","7,156","13,934","14,153","6,974","11,206","4,759","1,183"
2020년11월_남_80~89세,"26,471","1,334",986,"4,607","2,338","4,213","4,679","2,334","3,355","2,210",415
2020년11월_남_90~99세,"2,656",150,110,459,298,404,419,243,325,199,49
2020년11월_남_100세 이상,256,26,23,47,17,32,45,18,35,9,4
2020년11월_여_총인구수,"1,468,512","67,261","31,057","199,723","194,120","264,914","250,696","148,923","268,521","34,467","8,830"
2020년11월_여_연령구간인구수,"1,468,512","67,261","31,057","199,723","194,120","264,914","250,696","148,923","268,521","34,467","8,830"
2020년11월_여_0~9세,"111,657","5,798","1,789","13,181","18,778","20,483","16,191","9,173","24,228","1,578",458
2020년11월_여_10~19세,"133,450","6,072","2,463","15,349","20,745","24,485","20,924","13,021","27,631","2,248",512
2020년11월_여_20~29세,"192,133","9,458","3,026","26,857","25,224","34,378","34,087","21,079","35,004","2,289",731
2020년11월_여_30~39세,"196,250","9,765","3,256","25,510","29,197","35,321","32,724","18,166","39,056","2,531",724
2020년11월_여_40~49세,"236,896","11,136","4,640","29,720","34,603","43,777","38,622","23,143","46,815","3,537",903
2020년11월_여_50~59세,"256,324","9,189","4,751","33,397","32,570","45,863","46,105","31,137","45,969","5,800","1,543"
2020년11월_여_60~69세,"184,338","7,952","5,185","28,786","18,656","33,806","33,735","18,824","28,449","7,108","1,837"
2020년11월_여_70~79세,"96,507","4,982","3,733","17,095","8,403","16,849","17,279","8,539","13,081","5,343","1,203"
2020년11월_여_80~89세,"50,607","2,398","1,835","8,161","4,903","8,224","9,181","4,918","6,872","3,397",718
2020년11월_여_90~99세,"9,645",458,329,"1,534",995,"1,623","1,691",870,"1,344",610,191
2020년11월_여_100세 이상,705,53,50,133,46,105,157,53,72,26,10
