카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년10월_계_총인구수,"219,150","10,306","5,065","4,608","9,430","10,490","12,648","4,940","7,465","5,262","5,926","2,759","3,998","3,067","9,111","16,667","10,665","21,303","11,833","16,320","4,705","11,309","8,218","23,055"
2021년10월_계_연령구간인구수,"219,150","10,306","5,065","4,608","9,430","10,490","12,648","4,940","7,465","5,262","5,926","2,759","3,998","3,067","9,111","16,667","10,665","21,303","11,833","16,320","4,705","11,309","8,218","23,055"
2021년10월_계_0~9세,"16,629",405,203,142,635,"1,498",863,459,195,179,375,49,120,128,597,"1,537",936,"1,768",752,"1,169",343,"1,057",612,"2,607"
2021년10월_계_10~19세,"23,813",682,297,295,"1,042","1,267","1,433",443,391,303,590,115,193,212,966,"2,395","1,420","2,368","1,100","1,816",491,"1,574",821,"3,599"
2021년10월_계_20~29세,"26,367","1,021",490,376,"1,145","1,230","1,673",505,680,488,667,181,388,282,"1,064","1,743","1,159","2,510","2,214","2,516",539,"1,420","1,185","2,891"
2021년10월_계_30~39세,"23,880",895,424,345,977,"1,820","1,268",648,557,404,548,179,254,230,894,"1,843","1,066","2,463","1,536","1,850",504,"1,367",967,"2,841"
2021년10월_계_40~49세,"36,169","1,333",654,604,"1,465","1,891","2,103",780,912,673,920,364,458,407,"1,456","3,160","1,872","3,512","2,000","2,638",793,"2,108","1,321","4,745"
2021년10월_계_50~59세,"35,952","1,714",820,791,"1,610","1,281","2,281",773,"1,312",831,903,485,655,499,"1,591","2,494","1,581","3,469","2,004","3,031",768,"1,860","1,573","3,626"
2021년10월_계_60~69세,"29,904","2,064","1,066",885,"1,367",879,"1,664",684,"1,502","1,057",988,655,819,563,"1,402","1,858","1,448","2,947","1,338","2,062",683,"1,137","1,026","1,810"
2021년10월_계_70~79세,"17,875","1,522",812,771,790,429,923,425,"1,284",932,672,498,716,504,772,"1,073",777,"1,527",591,799,386,531,462,679
2021년10월_계_80~89세,"7,545",591,252,350,346,169,398,207,540,352,242,208,360,217,341,500,357,641,261,388,169,222,221,213
2021년10월_계_90~99세,974,76,46,44,51,26,42,14,86,41,21,24,33,25,28,61,44,95,34,49,29,33,30,42
2021년10월_계_100세 이상,42,3,1,5,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021년10월_남_총인구수,"109,103","5,159","2,541","2,351","4,584","5,175","6,229","2,437","3,805","2,750","2,894","1,474","2,140","1,587","4,559","8,193","5,258","10,439","6,111","8,094","2,349","5,440","4,003","11,531"
2021년10월_남_연령구간인구수,"109,103","5,159","2,541","2,351","4,584","5,175","6,229","2,437","3,805","2,750","2,894","1,474","2,140","1,587","4,559","8,193","5,258","10,439","6,111","8,094","2,349","5,440","4,003","11,531"
2021년10월_남_0~9세,"8,570",216,109,69,304,774,446,254,99,90,189,23,69,59,326,775,517,923,388,597,172,532,300,"1,339"
2021년10월_남_10~19세,"12,177",340,157,143,541,655,731,217,194,159,285,63,101,102,484,"1,238",713,"1,207",601,934,263,779,438,"1,832"
2021년10월_남_20~29세,"14,279",556,283,218,599,633,950,261,388,279,346,105,252,172,594,955,642,"1,336","1,126","1,370",281,731,613,"1,589"
2021년10월_남_30~39세,"12,313",528,227,213,520,881,673,320,322,243,289,110,165,136,479,902,523,"1,316",829,921,258,622,490,"1,346"
2021년10월_남_40~49세,"18,672",759,386,384,732,946,"1,058",413,528,417,497,244,315,244,781,"1,591",932,"1,733","1,058","1,290",409,981,676,"2,298"
2021년10월_남_50~59세,"18,204",896,439,459,771,630,"1,134",392,741,470,432,303,408,298,792,"1,235",752,"1,653","1,073","1,440",397,912,736,"1,841"
2021년10월_남_60~69세,"14,192",938,477,417,623,393,752,323,742,496,444,326,430,292,634,848,654,"1,394",686,"1,037",334,549,476,927
2021년10월_남_70~79세,"7,918",687,370,321,374,206,368,190,573,426,312,213,294,213,344,457,370,678,267,360,180,232,185,298
2021년10월_남_80~89세,"2,571",220,88,113,107,54,110,65,197,154,96,84,100,68,120,172,151,180,76,134,53,94,81,54
2021년10월_남_90~99세,201,19,5,12,12,3,7,2,19,15,4,3,6,3,5,20,4,19,7,11,2,8,8,7
2021년10월_남_100세 이상,6,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"110,047","5,147","2,524","2,257","4,846","5,315","6,419","2,503","3,660","2,512","3,032","1,285","1,858","1,480","4,552","8,474","5,407","10,864","5,722","8,226","2,356","5,869","4,215","11,524"
2021년10월_여_연령구간인구수,"110,047","5,147","2,524","2,257","4,846","5,315","6,419","2,503","3,660","2,512","3,032","1,285","1,858","1,480","4,552","8,474","5,407","10,864","5,722","8,226","2,356","5,869","4,215","11,524"
2021년10월_여_0~9세,"8,059",189,94,73,331,724,417,205,96,89,186,26,51,69,271,762,419,845,364,572,171,525,312,"1,268"
2021년10월_여_10~19세,"11,636",342,140,152,501,612,702,226,197,144,305,52,92,110,482,"1,157",707,"1,161",499,882,228,795,383,"1,767"
2021년10월_여_20~29세,"12,088",465,207,158,546,597,723,244,292,209,321,76,136,110,470,788,517,"1,174","1,088","1,146",258,689,572,"1,302"
2021년10월_여_30~39세,"11,567",367,197,132,457,939,595,328,235,161,259,69,89,94,415,941,543,"1,147",707,929,246,745,477,"1,495"
2021년10월_여_40~49세,"17,497",574,268,220,733,945,"1,045",367,384,256,423,120,143,163,675,"1,569",940,"1,779",942,"1,348",384,"1,127",645,"2,447"
2021년10월_여_50~59세,"17,748",818,381,332,839,651,"1,147",381,571,361,471,182,247,201,799,"1,259",829,"1,816",931,"1,591",371,948,837,"1,785"
2021년10월_여_60~69세,"15,712","1,126",589,468,744,486,912,361,760,561,544,329,389,271,768,"1,010",794,"1,553",652,"1,025",349,588,550,883
2021년10월_여_70~79세,"9,957",835,442,450,416,223,555,235,711,506,360,285,422,291,428,616,407,849,324,439,206,299,277,381
2021년10월_여_80~89세,"4,974",371,164,237,239,115,288,142,343,198,146,124,260,149,221,328,206,461,185,254,116,128,140,159
2021년10월_여_90~99세,773,57,41,32,39,23,35,12,67,26,17,21,27,22,23,41,40,76,27,38,27,25,22,35
2021년10월_여_100세 이상,36,3,1,3,1,0,0,2,4,1,0,1,2,0,0,3,5,3,3,2,0,0,0,2
