카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년09월_계_총인구수,"112,151","15,340","4,754","5,087","2,977","6,296","6,987","4,905","4,237","2,553","21,726","18,605","18,684"
2021년09월_계_연령구간인구수,"112,151","15,340","4,754","5,087","2,977","6,296","6,987","4,905","4,237","2,553","21,726","18,605","18,684"
2021년09월_계_0~9세,"6,997",919,190,175,91,261,202,143,136,110,"1,440","1,325","2,005"
2021년09월_계_10~19세,"9,453","1,233",250,260,135,423,404,330,259,167,"1,953","2,147","1,892"
2021년09월_계_20~29세,"12,075","1,659",447,385,219,534,618,418,332,206,"2,755","2,440","2,062"
2021년09월_계_30~39세,"11,185","1,697",283,354,188,470,428,286,307,178,"2,394","1,938","2,662"
2021년09월_계_40~49세,"15,765","2,191",421,507,252,677,655,555,447,245,"3,453","3,044","3,318"
2021년09월_계_50~59세,"20,060","2,755",873,903,559,"1,073","1,257",997,881,422,"3,889","3,372","3,079"
2021년09월_계_60~69세,"19,902","2,695","1,157","1,299",795,"1,450","1,713","1,080",971,634,"3,374","2,551","2,183"
2021년09월_계_70~79세,"10,177","1,339",666,725,455,807,972,614,547,362,"1,564","1,156",970
2021년09월_계_80~89세,"5,613",736,397,400,237,520,634,413,291,197,790,548,450
2021년09월_계_90~99세,893,111,66,77,46,80,102,68,66,31,107,80,59
2021년09월_계_100세 이상,31,5,4,2,0,1,2,1,0,1,7,4,4
2021년09월_남_총인구수,"57,058","7,974","2,461","2,665","1,543","3,242","3,649","2,544","2,192","1,286","10,871","9,334","9,297"
2021년09월_남_연령구간인구수,"57,058","7,974","2,461","2,665","1,543","3,242","3,649","2,544","2,192","1,286","10,871","9,334","9,297"
2021년09월_남_0~9세,"3,621",452,112,98,48,126,98,77,68,50,760,693,"1,039"
2021년09월_남_10~19세,"4,859",641,138,146,61,215,231,187,131,84,984,"1,100",941
2021년09월_남_20~29세,"6,606",920,262,215,143,292,369,235,197,115,"1,476","1,287","1,095"
2021년09월_남_30~39세,"5,909",959,150,203,102,257,248,158,158,97,"1,218","1,016","1,343"
2021년09월_남_40~49세,"8,181","1,176",238,278,141,401,370,295,248,135,"1,757","1,490","1,652"
2021년09월_남_50~59세,"10,534","1,495",466,499,300,602,676,569,490,215,"1,953","1,760","1,509"
2021년09월_남_60~69세,"10,135","1,363",590,678,423,754,923,574,486,330,"1,682","1,242","1,090"
2021년09월_남_70~79세,"4,891",655,346,369,226,400,451,280,277,169,732,530,456
2021년09월_남_80~89세,"2,103",277,137,161,91,178,247,154,125,83,287,203,160
2021년09월_남_90~99세,211,33,21,18,8,16,36,15,12,7,21,13,11
2021년09월_남_100세 이상,8,3,1,0,0,1,0,0,0,1,1,0,1
2021년09월_여_총인구수,"55,093","7,366","2,293","2,422","1,434","3,054","3,338","2,361","2,045","1,267","10,855","9,271","9,387"
2021년09월_여_연령구간인구수,"55,093","7,366","2,293","2,422","1,434","3,054","3,338","2,361","2,045","1,267","10,855","9,271","9,387"
2021년09월_여_0~9세,"3,376",467,78,77,43,135,104,66,68,60,680,632,966
2021년09월_여_10~19세,"4,594",592,112,114,74,208,173,143,128,83,969,"1,047",951
2021년09월_여_20~29세,"5,469",739,185,170,76,242,249,183,135,91,"1,279","1,153",967
2021년09월_여_30~39세,"5,276",738,133,151,86,213,180,128,149,81,"1,176",922,"1,319"
2021년09월_여_40~49세,"7,584","1,015",183,229,111,276,285,260,199,110,"1,696","1,554","1,666"
2021년09월_여_50~59세,"9,526","1,260",407,404,259,471,581,428,391,207,"1,936","1,612","1,570"
2021년09월_여_60~69세,"9,767","1,332",567,621,372,696,790,506,485,304,"1,692","1,309","1,093"
2021년09월_여_70~79세,"5,286",684,320,356,229,407,521,334,270,193,832,626,514
2021년09월_여_80~89세,"3,510",459,260,239,146,342,387,259,166,114,503,345,290
2021년09월_여_90~99세,682,78,45,59,38,64,66,53,54,24,86,67,48
2021년09월_여_100세 이상,23,2,3,2,0,0,2,1,0,0,6,4,3
