카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년04월_계_총인구수,"475,622","22,727","15,212","17,417","16,429","16,236","12,414","27,440","19,182","12,120","23,940","21,626","25,052","11,214","15,003","21,583","41,601","15,778","50,505","3,779","17,101","36,312","12,931","20,020"
2021년04월_계_연령구간인구수,"475,622","22,727","15,212","17,417","16,429","16,236","12,414","27,440","19,182","12,120","23,940","21,626","25,052","11,214","15,003","21,583","41,601","15,778","50,505","3,779","17,101","36,312","12,931","20,020"
2021년04월_계_0~9세,"37,149","2,108",707,838,"1,088",983,614,"1,685","1,164",825,"1,888","1,124","1,427",377,774,"1,794","5,292","1,282","6,153",97,"1,623","3,162",957,"1,187"
2021년04월_계_10~19세,"48,899","3,030","1,001","1,390","1,448","1,209",616,"2,399","1,273","1,111","2,660","1,648","2,031",556,"1,288","2,689","4,779","1,600","6,129",165,"3,387","4,271","1,314","2,905"
2021년04월_계_20~29세,"73,706","2,837","2,488","2,459","2,037","2,164","2,467","5,449","4,562","1,629","3,161","4,226","5,647","2,848","1,882","2,740","5,053","2,777","6,815",302,"1,648","5,505","2,372","2,638"
2021년04월_계_30~39세,"65,395","2,633","1,605","1,819","1,749","2,032","2,167","4,640","3,563","1,461","2,722","3,442","4,166","1,874","1,535","2,637","6,590","2,068","8,017",264,"1,378","5,369","1,976","1,688"
2021년04월_계_40~49세,"77,468","4,296","1,797","2,372","2,281","2,271","1,710","4,461","2,790","1,855","4,005","3,095","3,776","1,518","1,942","3,399","7,801","2,361","9,460",407,"4,018","6,333","2,101","3,419"
2021년04월_계_50~59세,"77,024","3,532","2,620","2,974","3,111","2,906","1,749","4,330","2,504","1,962","3,951","3,398","4,029","1,902","2,829","3,916","5,727","2,786","7,580",696,"2,459","6,278","2,231","3,554"
2021년04월_계_60~69세,"56,471","2,512","2,747","3,083","2,761","2,617","1,693","2,740","1,961","1,819","3,146","2,989","2,597","1,315","2,579","2,958","4,018","1,647","3,788",764,"1,336","3,574","1,276","2,551"
2021년04월_계_70~79세,"26,176","1,227","1,553","1,670","1,294","1,406",931,"1,111",946,999,"1,662","1,177",893,563,"1,287",933,"1,581",805,"1,690",591,811,"1,188",468,"1,390"
2021년04월_계_80~89세,"11,572",483,612,725,576,564,412,544,358,398,659,461,440,226,748,443,649,395,761,397,374,557,197,593
2021년04월_계_90~99세,"1,703",66,76,86,82,82,51,78,57,61,85,65,45,33,137,73,107,55,109,91,65,71,39,89
2021년04월_계_100세 이상,59,3,6,1,2,2,4,3,4,0,1,1,1,2,2,1,4,2,3,5,2,4,0,6
2021년04월_남_총인구수,"233,902","11,195","7,730","8,800","8,020","8,271","5,917","13,203","9,361","5,874","11,497","11,020","12,516","6,001","7,147","10,594","20,478","7,546","24,682","1,954","8,430","17,547","6,469","9,650"
2021년04월_남_연령구간인구수,"233,902","11,195","7,730","8,800","8,020","8,271","5,917","13,203","9,361","5,874","11,497","11,020","12,516","6,001","7,147","10,594","20,478","7,546","24,682","1,954","8,430","17,547","6,469","9,650"
2021년04월_남_0~9세,"19,175","1,084",387,459,569,532,328,894,589,418,951,609,716,199,378,910,"2,710",653,"3,153",59,831,"1,645",483,618
2021년04월_남_10~19세,"25,203","1,539",522,727,771,631,316,"1,264",652,557,"1,266",869,972,299,663,"1,458","2,446",839,"3,131",86,"1,771","2,216",683,"1,525"
2021년04월_남_20~29세,"37,594","1,448","1,380","1,360","1,088","1,161","1,119","2,514","2,104",821,"1,659","2,219","2,878","1,532","1,020","1,506","2,549","1,315","3,455",170,878,"2,701","1,307","1,410"
2021년04월_남_30~39세,"33,435","1,303",901,995,891,"1,129","1,138","2,350","1,898",745,"1,369","1,965","2,249","1,131",790,"1,261","3,179","1,053","3,926",155,577,"2,559","1,040",831
2021년04월_남_40~49세,"37,495","2,043",993,"1,269","1,117","1,182",892,"2,113","1,457",912,"1,903","1,554","1,913",849,908,"1,546","3,910","1,072","4,475",247,"1,809","2,860",988,"1,483"
2021년04월_남_50~59세,"37,317","1,762","1,285","1,477","1,424","1,472",810,"2,073","1,156",951,"1,863","1,619","1,952",980,"1,327","1,802","2,752","1,284","3,768",382,"1,335","3,011","1,056","1,776"
2021년04월_남_60~69세,"27,084","1,203","1,286","1,422","1,352","1,271",747,"1,304",931,828,"1,435","1,407","1,248",652,"1,276","1,504","1,926",843,"1,766",431,659,"1,791",634,"1,168"
2021년04월_남_70~79세,"12,009",603,725,779,590,636,402,481,420,468,774,590,433,270,545,440,740,330,763,266,386,556,198,614
2021년04월_남_80~89세,"4,183",193,230,292,198,236,147,193,142,161,256,177,147,82,209,151,238,140,230,137,158,191,71,204
