카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년06월_계_총인구수,"316,716","18,579","24,417","16,342","21,056","8,873","27,181","48,852","20,526","31,973","26,509","30,226","16,908","14,314","10,960"
2021년06월_계_연령구간인구수,"316,716","18,579","24,417","16,342","21,056","8,873","27,181","48,852","20,526","31,973","26,509","30,226","16,908","14,314","10,960"
2021년06월_계_0~9세,"23,090",799,"1,914","1,265","1,774",470,"1,583","3,419","1,130","2,057","2,079","3,310","1,549","1,114",627
2021년06월_계_10~19세,"29,650","1,088","3,064","1,213","2,280",595,"2,013","4,301","1,651","3,381","3,126","3,300","1,811","1,254",573
2021년06월_계_20~29세,"44,667","2,460","3,184","2,090","2,788","1,328","4,149","7,862","3,106","5,757","3,599","3,276","2,213","1,769","1,086"
2021년06월_계_30~39세,"41,541","2,234","2,773","2,041","2,670","1,294","3,846","7,654","2,251","3,543","3,131","4,444","2,321","1,922","1,417"
2021년06월_계_40~49세,"50,470","2,449","4,261","2,482","3,602","1,365","4,090","8,332","2,885","5,081","4,163","5,474","2,583","2,270","1,433"
2021년06월_계_50~59세,"61,013","3,578","4,716","3,260","3,711","1,709","5,220","9,347","4,586","6,617","5,456","4,864","3,249","2,681","2,019"
2021년06월_계_60~69세,"42,958","3,675","2,829","2,514","2,716","1,297","4,082","5,595","3,112","3,606","3,425","3,531","2,215","2,186","2,175"
2021년06월_계_70~79세,"16,820","1,684","1,250","1,046","1,112",597,"1,499","1,748","1,241","1,344","1,106","1,495",718,804,"1,176"
2021년06월_계_80~89세,"5,818",558,372,378,353,197,635,519,510,522,381,480,218,287,408
2021년06월_계_90~99세,670,52,53,52,49,21,61,75,53,65,43,49,29,26,42
2021년06월_계_100세 이상,19,2,1,1,1,0,3,0,1,0,0,3,2,1,4
2021년06월_남_총인구수,"161,614","9,403","12,494","8,320","10,648","4,716","13,753","25,360","10,469","16,395","13,309","15,085","8,452","7,392","5,818"
2021년06월_남_연령구간인구수,"161,614","9,403","12,494","8,320","10,648","4,716","13,753","25,360","10,469","16,395","13,309","15,085","8,452","7,392","5,818"
2021년06월_남_0~9세,"11,866",414,"1,012",633,934,236,817,"1,734",631,"1,055","1,077","1,658",768,575,322
2021년06월_남_10~19세,"15,699",571,"1,652",650,"1,182",317,"1,090","2,269",865,"1,748","1,708","1,708",955,664,320
2021년06월_남_20~29세,"24,898","1,391","1,799","1,136","1,526",772,"2,282","4,329","1,739","3,325","2,061","1,763","1,189",964,622
2021년06월_남_30~39세,"22,238","1,255","1,441","1,103","1,414",724,"2,116","4,217","1,232","1,912","1,598","2,190","1,169","1,037",830
2021년06월_남_40~49세,"24,780","1,315","1,970","1,277","1,744",745,"2,073","4,100","1,447","2,379","1,825","2,682","1,199","1,191",833
2021년06월_남_50~59세,"30,562","1,759","2,435","1,643","1,866",887,"2,500","4,715","2,249","3,304","2,622","2,469","1,618","1,360","1,135"
2021년06월_남_60~69세,"21,384","1,722","1,428","1,234","1,314",654,"1,973","2,879","1,586","1,846","1,750","1,712","1,114","1,099","1,073"
2021년06월_남_70~79세,"8,028",763,605,484,526,300,683,925,542,628,539,725,364,410,534
2021년06월_남_80~89세,"2,044",205,145,153,132,79,207,177,168,187,122,165,72,87,145
2021년06월_남_90~99세,114,8,7,7,10,2,12,15,10,11,7,13,4,4,4
2021년06월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년06월_여_총인구수,"155,102","9,176","11,923","8,022","10,408","4,157","13,428","23,492","10,057","15,578","13,200","15,141","8,456","6,922","5,142"
2021년06월_여_연령구간인구수,"155,102","9,176","11,923","8,022","10,408","4,157","13,428","23,492","10,057","15,578","13,200","15,141","8,456","6,922","5,142"
2021년06월_여_0~9세,"11,224",385,902,632,840,234,766,"1,685",499,"1,002","1,002","1,652",781,539,305
2021년06월_여_10~19세,"13,951",517,"1,412",563,"1,098",278,923,"2,032",786,"1,633","1,418","1,592",856,590,253
2021년06월_여_20~29세,"19,769","1,069","1,385",954,"1,262",556,"1,867","3,533","1,367","2,432","1,538","1,513","1,024",805,464
2021년06월_여_30~39세,"19,303",979,"1,332",938,"1,256",570,"1,730","3,437","1,019","1,631","1,533","2,254","1,152",885,587
2021년06월_여_40~49세,"25,690","1,134","2,291","1,205","1,858",620,"2,017","4,232","1,438","2,702","2,338","2,792","1,384","1,079",600
2021년06월_여_50~59세,"30,451","1,819","2,281","1,617","1,845",822,"2,720","4,632","2,337","3,313","2,834","2,395","1,631","1,321",884
2021년06월_여_60~69세,"21,574","1,953","1,401","1,280","1,402",643,"2,109","2,716","1,526","1,760","1,675","1,819","1,101","1,087","1,102"
2021년06월_여_70~79세,"8,792",921,645,562,586,297,816,823,699,716,567,770,354,394,642
2021년06월_여_80~89세,"3,774",353,227,225,221,118,428,342,342,335,259,315,146,200,263
2021년06월_여_90~99세,556,44,46,45,39,19,49,60,43,54,36,36,25,22,38
2021년06월_여_100세 이상,18,2,1,1,1,0,3,0,1,0,0,3,2,0,4
