,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년05월_계_총인구수,"460,923","32,145","31,248","36,164","34,940","20,456","43,411","48,051","40,451","33,635","46,868","27,028","26,004","18,618","21,904"
2021년05월_계_연령구간인구수,"460,923","32,145","31,248","36,164","34,940","20,456","43,411","48,051","40,451","33,635","46,868","27,028","26,004","18,618","21,904"
2021년05월_계_0~9세,"33,671","1,125","1,749","2,236","2,367","1,449","2,713","3,441","3,422","2,748","6,528","1,892","1,487","1,060","1,454"
2021년05월_계_10~19세,"41,864","1,633","2,085","2,800","3,374","2,035","3,855","5,047","3,567","4,197","5,210","2,442","2,020","1,521","2,078"
2021년05월_계_20~29세,"64,786","6,659","5,362","4,701","4,533","2,393","6,082","6,914","5,522","4,588","5,202","3,775","3,572","2,497","2,986"
2021년05월_계_30~39세,"59,555","4,916","4,585","4,483","3,931","2,234","5,074","5,478","5,720","3,767","8,108","3,216","3,287","2,196","2,560"
2021년05월_계_40~49세,"73,829","4,394","4,714","5,731","5,518","3,388","6,582","7,580","6,506","6,202","9,161","4,115","3,806","2,659","3,473"
2021년05월_계_50~59세,"80,450","5,468","5,515","5,903","5,985","3,428","8,548","8,906","7,013","6,032","6,182","5,076","4,949","3,502","3,943"
2021년05월_계_60~69세,"59,164","4,559","4,097","5,335","4,653","2,879","6,084","6,212","5,046","3,110","3,908","3,582","3,828","2,886","2,985"
2021년05월_계_70~79세,"31,128","2,222","2,098","3,472","3,003","1,710","2,941","2,878","2,261","1,903","1,731","1,866","2,026","1,475","1,542"
2021년05월_계_80~89세,"14,509","1,027",926,"1,357","1,412",811,"1,358","1,374","1,218",951,732,945,915,725,758
2021년05월_계_90~99세,"1,891",133,112,144,159,120,168,217,169,134,103,114,108,87,123
2021년05월_계_100세 이상,76,9,5,2,5,9,6,4,7,3,3,5,6,10,2
2021년05월_남_총인구수,"227,073","16,414","15,513","17,637","16,942","9,783","21,312","23,341","20,070","16,649","22,772","13,241","12,986","9,479","10,934"
2021년05월_남_연령구간인구수,"227,073","16,414","15,513","17,637","16,942","9,783","21,312","23,341","20,070","16,649","22,772","13,241","12,986","9,479","10,934"
2021년05월_남_0~9세,"17,395",597,923,"1,168","1,218",728,"1,435","1,793","1,733","1,427","3,348",938,761,551,775
2021년05월_남_10~19세,"21,613",823,"1,129","1,420","1,705","1,044","1,969","2,632","1,857","2,153","2,603","1,279","1,066",805,"1,128"
2021년05월_남_20~29세,"32,806","3,090","2,594","2,280","2,332","1,198","3,147","3,529","2,855","2,417","2,586","1,976","1,857","1,359","1,586"
2021년05월_남_30~39세,"30,399","2,707","2,427","2,273","1,986","1,118","2,614","2,766","2,942","1,867","3,836","1,619","1,757","1,186","1,301"
2021년05월_남_40~49세,"37,094","2,465","2,437","2,986","2,650","1,681","3,222","3,657","3,261","2,992","4,594","2,032","1,939","1,425","1,753"
2021년05월_남_50~59세,"39,552","2,978","2,747","2,859","2,932","1,622","4,104","4,187","3,421","3,094","2,969","2,455","2,448","1,775","1,961"
2021년05월_남_60~69세,"28,627","2,343","1,946","2,436","2,171","1,381","2,977","2,981","2,526","1,499","1,819","1,761","1,906","1,453","1,428"
2021년05월_남_70~79세,"13,729",989,911,"1,585","1,295",716,"1,333","1,259","1,041",807,771,815,890,637,680
2021년05월_남_80~89세,"5,406",391,364,587,594,276,479,489,406,365,219,333,343,272,288
2021년05월_남_90~99세,434,28,32,42,58,18,31,48,26,27,26,32,18,14,34
2021년05월_남_100세 이상,18,3,3,1,1,1,1,0,2,1,1,1,1,2,0
2021년05월_여_총인구수,"233,850","15,731","15,735","18,527","17,998","10,673","22,099","24,710","20,381","16,986","24,096","13,787","13,018","9,139","10,970"
2021년05월_여_연령구간인구수,"233,850","15,731","15,735","18,527","17,998","10,673","22,099","24,710","20,381","16,986","24,096","13,787","13,018","9,139","10,970"
2021년05월_여_0~9세,"16,276",528,826,"1,068","1,149",721,"1,278","1,648","1,689","1,321","3,180",954,726,509,679
2021년05월_여_10~19세,"20,251",810,956,"1,380","1,669",991,"1,886","2,415","1,710","2,044","2,607","1,163",954,716,950
2021년05월_여_20~29세,"31,980","3,569","2,768","2,421","2,201","1,195","2,935","3,385","2,667","2,171","2,616","1,799","1,715","1,138","1,400"
2021년05월_여_30~39세,"29,156","2,209","2,158","2,210","1,945","1,116","2,460","2,712","2,778","1,900","4,272","1,597","1,530","1,010","1,259"
2021년05월_여_40~49세,"36,735","1,929","2,277","2,745","2,868","1,707","3,360","3,923","3,245","3,210","4,567","2,083","1,867","1,234","1,720"
2021년05월_여_50~59세,"40,898","2,490","2,768","3,044","3,053","1,806","4,444","4,719","3,592","2,938","3,213","2,621","2,501","1,727","1,982"
2021년05월_여_60~69세,"30,537","2,216","2,151","2,899","2,482","1,498","3,107","3,231","2,520","1,611","2,089","1,821","1,922","1,433","1,557"
2021년05월_여_70~79세,"17,399","1,233","1,187","1,887","1,708",994,"1,608","1,619","1,220","1,096",960,"1,051","1,136",838,862
2021년05월_여_80~89세,"9,103",636,562,770,818,535,879,885,812,586,513,612,572,453,470
2021년05월_여_90~99세,"1,457",105,80,102,101,102,137,169,143,107,77,82,90,73,89
2021년05월_여_100세 이상,58,6,2,1,4,8,5,4,5,2,2,4,5,8,2
